dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",448,5,     514.009247
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",448,6,     513.929750
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",448,7,     514.400997
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",448,8,     512.814769
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",448,9,     513.822029
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",448,10,     513.493486
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",448,11,     514.630903
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",448,12,     514.064257
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",448,13,     513.710757
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",448,14,     513.704593
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",448,15,     514.210382
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",448,16,     518.116468
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",448,17,     513.948765
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",448,18,     514.875553
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",448,19,     516.124497
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",512,0,     683.232617
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",512,1,     684.671894
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",512,2,     681.071528
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",512,3,     691.556150
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",512,4,     683.923781
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",512,5,     689.649992
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",512,6,     695.078776
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",512,7,     683.522353
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",512,8,     682.456361
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",512,9,     685.462146
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",512,10,     697.194057
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",512,11,     685.740592
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",512,12,     687.767054
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",512,13,     685.909283
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",512,14,     684.105902
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",512,15,     684.961075
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",512,16,     681.308066
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",512,17,     692.151511
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",512,18,     686.262624
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",512,19,     692.777653
