dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,35,       5.867898
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,36,       5.669990
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,37,       5.871699
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,38,       5.600901
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,39,       5.511312
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,40,       5.587092
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,41,       5.681601
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,42,       5.935488
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,43,       5.591372
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,44,       5.764190
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,45,       5.891838
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,46,       5.852908
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,47,       5.872018
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,48,       5.567711
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,49,       5.874898
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,50,       5.928558
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,51,       5.878978
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,52,       5.625381
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,53,       5.670790
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,54,       5.566632
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,55,       5.677020
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,56,       5.692931
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,57,       5.796609
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,58,       5.777140
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,59,       5.555452
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,60,       5.546662
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,61,       5.515052
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,62,       5.920288
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,63,       5.845969
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,64,       5.617611
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,65,       5.633671
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,66,       5.751209
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,67,       5.636771
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,68,       5.859228
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,69,       5.773330
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,70,       5.732710
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,71,       5.795859
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,72,       5.859209
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,73,       7.601400
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",192,74,       5.591931
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,0,      13.066723
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,1,      13.046193
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,2,      12.896565
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,3,      13.309660
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,4,      13.006514
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,5,      13.046963
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,6,      12.893735
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,7,      12.988914
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,8,      13.005393
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,9,      12.919074
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,10,      13.148842
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,11,      13.280460
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,12,      13.081883
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,13,      12.867064
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,14,      12.909134
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,15,      13.374440
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,16,      13.087933
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,17,      13.144802
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,18,      13.213121
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,19,      12.989973
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,20,      13.199532
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,21,      13.067563
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,22,      13.180311
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,23,      13.120853
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,24,      13.135592
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,25,      13.177852
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,26,      13.126833
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,27,      12.899404
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,28,      13.170492
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,29,      13.065973
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,30,      13.041774
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,31,      12.957794
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,32,      13.249061
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,33,      12.986594
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,34,      12.822335
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,35,      12.899745
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,36,      13.084303
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,37,      13.110343
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,38,      13.289230
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,39,      12.780986
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,40,      13.020173
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,41,      13.118062
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,42,      13.197001
