dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,44,      15.028580
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,45,      14.981740
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,46,      14.392206
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,47,      14.922221
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,48,      14.427295
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,49,      14.801071
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,50,      14.467335
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,51,      15.054579
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,52,      14.960880
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,53,      15.383325
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,54,      15.218617
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,55,      15.122318
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,56,      14.766912
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,57,      14.600664
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,58,      15.075959
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,59,      14.867590
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,60,      14.568044
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,61,      15.000909
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,62,      14.929051
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,63,      15.177997
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,64,      15.060809
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,65,      14.984360
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,66,      15.089489
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,67,      15.433085
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,68,      15.289776
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,69,      15.431495
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,70,      15.609003
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,71,      14.838842
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,72,      14.939410
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,73,      15.159418
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",192,74,      15.684603
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,0,      52.562988
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,1,      52.321999
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,2,      53.161071
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,3,      52.085523
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,4,      52.491478
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,5,      52.653287
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,6,      53.304769
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,7,      52.323680
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,8,      54.452937
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,9,      53.031012
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,10,      53.588646
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,11,      54.150250
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,12,      52.386200
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,13,      53.558366
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,14,      52.641456
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,15,      52.946163
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,16,      53.398099
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,17,      52.502708
