dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,7,      14.704765
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,8,      14.708365
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,9,      14.601656
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,10,      14.620165
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,11,      14.640456
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,12,      14.480337
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,13,      14.735824
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,14,      14.629675
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,15,      14.741095
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,16,      14.623816
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,17,      14.636706
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,18,      14.744035
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,19,      14.942722
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,20,      14.774575
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,21,      14.617706
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,22,      14.712245
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,23,      14.645165
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,24,      14.828713
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,25,      14.476057
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,26,      14.599867
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,27,      14.847524
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,28,      14.528807
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,29,      14.770644
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,30,      14.638035
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,31,      14.520667
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,32,      14.497467
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,33,      14.576216
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,34,      14.732574
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,35,      14.633495
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,36,      14.720595
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,37,      14.762944
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,38,      14.910413
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,39,      14.657656
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,40,      14.583366
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,41,      14.783514
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,42,      14.776894
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,43,      14.707796
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,44,      14.456108
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,45,      14.418598
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,46,      14.508856
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,47,      14.651516
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,48,      14.751735
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,49,      14.684225
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",256,50,      14.791974
