dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,38,      17.819201
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,39,      17.916600
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,40,      17.937319
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,41,      18.069029
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,42,      17.918779
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,43,      17.806781
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,44,      17.849261
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,45,      17.837771
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,46,      17.840651
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,47,      17.868310
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,48,      17.891101
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,49,      17.932320
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,50,      17.882331
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,51,      18.086638
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,52,      17.768291
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,53,      17.911930
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,54,      17.894680
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,55,      17.865711
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,56,      17.892450
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,57,      17.957180
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,58,      17.914590
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,59,      17.860991
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,60,      17.703532
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,61,      18.076118
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,62,      17.881031
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,63,      17.898991
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,64,      17.706222
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,65,      17.910500
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,66,      17.796402
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,67,      17.971889
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,68,      17.948700
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,69,      17.898521
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,70,      17.898500
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,71,      17.930800
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,72,      17.717002
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,73,      17.804281
3,double,uniform,PoisFFT,"P | P | P | P | D | N",256,74,      17.851550
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,0,      35.632383
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,1,      35.507474
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,2,      35.983909
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,3,      36.032398
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,4,      36.032688
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,5,      35.550173
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,6,      36.083228
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,7,      35.375415
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,8,      35.966479
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,9,      36.053728
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,10,      36.219936
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,11,      35.992798
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,12,      35.681262
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,13,      35.566733
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,14,      35.982679
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,15,      36.014468
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,16,      35.991459
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,17,      36.148697
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,18,      35.577383
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,19,      35.955759
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,20,      36.048088
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,21,      35.484484
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,22,      36.121127
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,23,      36.249096
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,24,      36.109847
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,25,      36.003179
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,26,      36.024008
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,27,      36.150587
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,28,      35.547623
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,29,      36.126037
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,30,      35.771991
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,31,      36.052738
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,32,      36.064908
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,33,      35.917469
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,34,      35.760771
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,35,      36.008579
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,36,      35.572933
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,37,      36.087787
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,38,      35.907880
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,39,      35.518394
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,40,      36.003178
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,41,      34.975569
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,42,      37.570182
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,43,      35.945409
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,44,      35.633212
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,45,      35.529853
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,46,      35.956728
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,47,      36.285975
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,48,      36.127617
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,49,      36.034398
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,50,      35.955479
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,51,      35.944970
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,52,      35.963399
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,53,      35.988119
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,54,      36.092458
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,55,      36.019599
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,56,      36.030798
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,57,      36.096377
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,58,      36.007928
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,59,      36.110837
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,60,      36.175426
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,61,      35.973939
3,double,uniform,PoisFFT,"P | P | P | P | D | N",320,62,      36.049658
