dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"D | N",384,51,       0.002580
1,float,uniform,PoisFFT,"D | N",384,52,       0.002570
1,float,uniform,PoisFFT,"D | N",384,53,       0.002580
1,float,uniform,PoisFFT,"D | N",384,54,       0.002600
1,float,uniform,PoisFFT,"D | N",384,55,       0.002570
1,float,uniform,PoisFFT,"D | N",384,56,       0.002560
1,float,uniform,PoisFFT,"D | N",384,57,       0.002590
1,float,uniform,PoisFFT,"D | N",384,58,       0.002559
1,float,uniform,PoisFFT,"D | N",384,59,       0.002600
1,float,uniform,PoisFFT,"D | N",384,60,       0.002591
1,float,uniform,PoisFFT,"D | N",384,61,       0.002620
1,float,uniform,PoisFFT,"D | N",384,62,       0.002590
1,float,uniform,PoisFFT,"D | N",384,63,       0.002570
1,float,uniform,PoisFFT,"D | N",384,64,       0.002600
1,float,uniform,PoisFFT,"D | N",384,65,       0.002580
1,float,uniform,PoisFFT,"D | N",384,66,       0.002600
1,float,uniform,PoisFFT,"D | N",384,67,       0.002600
1,float,uniform,PoisFFT,"D | N",384,68,       0.002590
1,float,uniform,PoisFFT,"D | N",384,69,       0.002570
1,float,uniform,PoisFFT,"D | N",384,70,       0.002570
1,float,uniform,PoisFFT,"D | N",384,71,       0.002590
1,float,uniform,PoisFFT,"D | N",384,72,       0.002571
1,float,uniform,PoisFFT,"D | N",384,73,       0.002600
1,float,uniform,PoisFFT,"D | N",384,74,       0.002570
1,float,uniform,PoisFFT,"D | N",448,0,       0.004519
1,float,uniform,PoisFFT,"D | N",448,1,       0.003400
1,float,uniform,PoisFFT,"D | N",448,2,       0.003250
1,float,uniform,PoisFFT,"D | N",448,3,       0.003260
1,float,uniform,PoisFFT,"D | N",448,4,       0.003270
1,float,uniform,PoisFFT,"D | N",448,5,       0.003280
1,float,uniform,PoisFFT,"D | N",448,6,       0.003270
1,float,uniform,PoisFFT,"D | N",448,7,       0.003250
1,float,uniform,PoisFFT,"D | N",448,8,       0.003290
1,float,uniform,PoisFFT,"D | N",448,9,       0.003251
