dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,40,      67.280484
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,41,      67.196225
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,42,      67.157745
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,43,      67.064445
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,44,      67.008997
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,45,      67.012876
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,46,      67.086136
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,47,      67.122375
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,48,      67.077826
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,49,      67.119375
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,50,      67.323533
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,51,      67.096776
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,52,      67.252614
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,53,      67.377072
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,54,      67.143835
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,55,      67.176384
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,56,      67.152295
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,57,      67.044526
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,58,      67.014137
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,59,      67.058486
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,60,      67.247054
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,61,      67.149805
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,62,      67.058636
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,63,      67.108315
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,64,      67.170214
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,65,      67.187234
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,66,      67.183515
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,67,      67.184984
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,68,      67.314734
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,69,      67.061266
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,70,      67.037486
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,71,      67.212594
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,72,      67.167025
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,73,      67.194994
3,float,uniform,PoisFFT,"D | D | D | D | D | D",256,74,      67.042506
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,0,     175.420445
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,1,     175.548474
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,2,     175.775952
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,3,     175.605033
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,4,     175.900181
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,5,     175.815602
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,6,     175.593513
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,7,     175.808522
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,8,     181.135280
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,9,     175.873071
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,10,     175.826341
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,11,     175.721321
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,12,     175.755532
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,13,     175.881531
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,14,     176.067348
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,15,     176.027269
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,16,     175.842931
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,17,     175.754292
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,18,     175.819442
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,19,     175.758651
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,20,     175.928590
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,21,     175.737212
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,22,     175.680783
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,23,     175.887100
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,24,     175.622194
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,25,     175.821812
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,26,     175.785362
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,27,     175.898121
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,28,     175.663083
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,29,     175.550154
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,30,     175.856241
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,31,     175.846871
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,32,     176.011049
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,33,     175.727862
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,34,     175.816581
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,35,     175.646533
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,36,     175.769402
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,37,     181.753674
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,38,     175.911201
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,39,     175.728923
