dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"D | D | D | D",256,13,       6.996426
2,double,uniform,PoisFFT,"D | D | D | D",256,14,       7.018036
2,double,uniform,PoisFFT,"D | D | D | D",256,15,       6.999656
2,double,uniform,PoisFFT,"D | D | D | D",256,16,       7.011755
2,double,uniform,PoisFFT,"D | D | D | D",256,17,       7.014275
2,double,uniform,PoisFFT,"D | D | D | D",256,18,       7.000806
2,double,uniform,PoisFFT,"D | D | D | D",256,19,       6.996266
2,double,uniform,PoisFFT,"D | D | D | D",256,20,       7.016395
2,double,uniform,PoisFFT,"D | D | D | D",256,21,       7.008756
2,double,uniform,PoisFFT,"D | D | D | D",256,22,       7.001346
2,double,uniform,PoisFFT,"D | D | D | D",256,23,       6.999696
2,double,uniform,PoisFFT,"D | D | D | D",256,24,       7.007386
2,double,uniform,PoisFFT,"D | D | D | D",256,25,       7.011386
2,double,uniform,PoisFFT,"D | D | D | D",256,26,       7.004126
2,double,uniform,PoisFFT,"D | D | D | D",256,27,       7.010325
2,double,uniform,PoisFFT,"D | D | D | D",256,28,       7.010036
2,double,uniform,PoisFFT,"D | D | D | D",256,29,       6.997736
2,double,uniform,PoisFFT,"D | D | D | D",256,30,       7.010706
2,double,uniform,PoisFFT,"D | D | D | D",256,31,       7.000886
2,double,uniform,PoisFFT,"D | D | D | D",256,32,       7.006126
2,double,uniform,PoisFFT,"D | D | D | D",256,33,       7.014756
2,double,uniform,PoisFFT,"D | D | D | D",256,34,       7.001196
2,double,uniform,PoisFFT,"D | D | D | D",256,35,       7.002636
2,double,uniform,PoisFFT,"D | D | D | D",256,36,       7.007535
2,double,uniform,PoisFFT,"D | D | D | D",256,37,       6.994956
2,double,uniform,PoisFFT,"D | D | D | D",256,38,       7.013016
2,double,uniform,PoisFFT,"D | D | D | D",256,39,       7.006976
2,double,uniform,PoisFFT,"D | D | D | D",256,40,       7.005476
2,double,uniform,PoisFFT,"D | D | D | D",256,41,       7.007386
2,double,uniform,PoisFFT,"D | D | D | D",256,42,       7.000976
2,double,uniform,PoisFFT,"D | D | D | D",256,43,       7.004105
2,double,uniform,PoisFFT,"D | D | D | D",256,44,       6.998966
2,double,uniform,PoisFFT,"D | D | D | D",256,45,       7.001635
2,double,uniform,PoisFFT,"D | D | D | D",256,46,       7.011326
2,double,uniform,PoisFFT,"D | D | D | D",256,47,       7.011065
2,double,uniform,PoisFFT,"D | D | D | D",256,48,       6.992486
2,double,uniform,PoisFFT,"D | D | D | D",256,49,       7.002046
2,double,uniform,PoisFFT,"D | D | D | D",256,50,       7.002926
2,double,uniform,PoisFFT,"D | D | D | D",256,51,       6.992026
2,double,uniform,PoisFFT,"D | D | D | D",256,52,       7.002045
2,double,uniform,PoisFFT,"D | D | D | D",256,53,       7.010266
2,double,uniform,PoisFFT,"D | D | D | D",256,54,       7.002565
2,double,uniform,PoisFFT,"D | D | D | D",256,55,       7.005446
2,double,uniform,PoisFFT,"D | D | D | D",256,56,       6.998226
2,double,uniform,PoisFFT,"D | D | D | D",256,57,       6.996426
2,double,uniform,PoisFFT,"D | D | D | D",256,58,       7.003176
2,double,uniform,PoisFFT,"D | D | D | D",256,59,       6.999356
2,double,uniform,PoisFFT,"D | D | D | D",256,60,       7.003455
2,double,uniform,PoisFFT,"D | D | D | D",256,61,       7.005946
2,double,uniform,PoisFFT,"D | D | D | D",256,62,       6.996076
2,double,uniform,PoisFFT,"D | D | D | D",256,63,       7.004236
2,double,uniform,PoisFFT,"D | D | D | D",256,64,       6.999566
2,double,uniform,PoisFFT,"D | D | D | D",256,65,       7.005755
2,double,uniform,PoisFFT,"D | D | D | D",256,66,       7.006206
2,double,uniform,PoisFFT,"D | D | D | D",256,67,       7.009766
2,double,uniform,PoisFFT,"D | D | D | D",256,68,       7.001876
2,double,uniform,PoisFFT,"D | D | D | D",256,69,       7.016265
2,double,uniform,PoisFFT,"D | D | D | D",256,70,       6.992957
2,double,uniform,PoisFFT,"D | D | D | D",256,71,       7.022596
2,double,uniform,PoisFFT,"D | D | D | D",256,72,       7.007756
2,double,uniform,PoisFFT,"D | D | D | D",256,73,       6.998485
2,double,uniform,PoisFFT,"D | D | D | D",256,74,       7.003226
2,double,uniform,PoisFFT,"D | D | D | D",320,0,      12.823684
2,double,uniform,PoisFFT,"D | D | D | D",320,1,      12.842444
2,double,uniform,PoisFFT,"D | D | D | D",320,2,      12.819895
2,double,uniform,PoisFFT,"D | D | D | D",320,3,      12.813434
2,double,uniform,PoisFFT,"D | D | D | D",320,4,      12.810414
2,double,uniform,PoisFFT,"D | D | D | D",320,5,      12.812714
2,double,uniform,PoisFFT,"D | D | D | D",320,6,      12.824904
2,double,uniform,PoisFFT,"D | D | D | D",320,7,      12.822624
2,double,uniform,PoisFFT,"D | D | D | D",320,8,      12.818924
2,double,uniform,PoisFFT,"D | D | D | D",320,9,      12.815734
2,double,uniform,PoisFFT,"D | D | D | D",320,10,      12.808314
2,double,uniform,PoisFFT,"D | D | D | D",320,11,      12.816264
2,double,uniform,PoisFFT,"D | D | D | D",320,12,      12.819964
2,double,uniform,PoisFFT,"D | D | D | D",320,13,      12.826484
2,double,uniform,PoisFFT,"D | D | D | D",320,14,      12.817425
2,double,uniform,PoisFFT,"D | D | D | D",320,15,      12.821354
2,double,uniform,PoisFFT,"D | D | D | D",320,16,      12.811774
2,double,uniform,PoisFFT,"D | D | D | D",320,17,      12.813194
2,double,uniform,PoisFFT,"D | D | D | D",320,18,      12.815764
