dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,37,      20.750158
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,38,      20.694089
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,39,      20.709339
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,40,      20.596490
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,41,      20.788448
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,42,      20.818427
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,43,      20.622700
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,44,      20.590311
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,45,      20.633470
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,46,      20.784128
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,47,      20.765238
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,48,      20.749508
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,49,      20.776898
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,50,      20.817928
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,51,      20.788118
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,52,      20.702119
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,53,      20.723669
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,54,      20.819728
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,55,      20.853138
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,56,      20.785588
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,57,      20.773328
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,58,      20.914307
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,59,      20.703209
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,60,      20.575590
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,61,      20.780998
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,62,      20.652200
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,63,      20.783338
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,64,      20.871077
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,65,      20.640730
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,66,      20.837438
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,67,      20.781348
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,68,      20.783238
