dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,10,93.0308,0,8.35855,1.68243,103.146,103.072
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,11,92.7641,0,8.36208,1.69062,102.894,102.817
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,12,93.2738,0,8.36327,1.69062,103.407,103.328
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,13,93.4542,0,8.36426,1.68858,103.586,103.507
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,14,93.4369,0,8.36334,1.6896,103.578,103.49
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,15,93.6958,0,8.35542,1.69472,103.823,103.746
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,16,94.2448,0,8.35849,1.6896,104.371,104.293
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,17,94.3992,0,8.35688,1.69062,104.524,104.447
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,18,93.351,0,8.36133,1.6855,103.474,103.398
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",384,19,93.4644,0,8.36007,1.69165,103.601,103.516
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,0,148.352,0,13.8807,2.76787,165.08,165.001
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,1,146.53,0,13.8881,2.77299,163.268,163.191
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,2,145.599,0,13.1935,2.71565,161.585,161.509
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,3,148.424,0,13.2061,2.73715,164.469,164.367
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,4,149.276,0,13.1917,2.7177,165.263,165.186
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,5,146.345,0,12.2459,2.65318,161.321,161.244
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,6,146.424,0,12.2424,2.6409,161.382,161.308
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,7,146.246,0,12.2332,2.64192,161.197,161.121
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,8,147.161,0,12.2374,2.65318,162.128,162.052
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,9,148.005,0,12.2461,2.65216,162.978,162.903
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,10,147.93,0,12.2295,2.64806,162.885,162.808
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,11,145.985,0,12.2243,2.64704,160.933,160.856
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,12,144.961,0,12.2403,2.64806,159.93,159.849
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,13,147.889,0,12.2251,2.66342,162.856,162.777
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,14,146.434,0,12.231,2.64909,161.389,161.314
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,15,145.384,0,12.2427,2.65318,160.353,160.28
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,16,145.271,0,12.2331,2.65011,160.233,160.155
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,17,147.015,0,12.2356,2.65626,161.982,161.907
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,18,145.817,0,12.2372,2.64192,160.771,160.696
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",448,19,147.864,0,12.2357,2.65011,162.827,162.75
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,0,222.341,0,21.2993,3.64442,247.367,247.285
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,1,220.302,0,21.2672,3.64954,245.298,245.219
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,2,218.366,0,21.2669,3.64237,243.354,243.275
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,3,222.147,0,21.2557,3.65568,247.14,247.059
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,4,222.109,0,21.273,3.64544,247.107,247.028
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,5,219.762,0,21.2721,3.64032,244.755,244.674
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,6,221.231,0,21.261,3.64134,246.215,246.133
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,7,220.045,0,21.2785,3.64851,245.051,244.972
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,8,218.935,0,21.2767,3.64339,243.934,243.855
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,9,221.85,0,21.2811,3.63725,246.847,246.768
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,10,219.677,0,21.2684,3.64851,244.673,244.593
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,11,217.999,0,21.2748,3.6393,242.992,242.913
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,12,220.815,0,21.2895,3.65363,245.838,245.758
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,13,220.888,0,21.2718,3.64851,245.89,245.809
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,14,222.144,0,21.2826,3.63725,247.142,247.064
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,15,218.785,0,21.2815,3.65158,243.799,243.718
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,16,220.242,0,21.27,3.64954,245.241,245.162
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,17,222.239,0,21.2731,3.64339,247.237,247.155
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,18,221.508,0,21.2953,3.64442,246.529,246.448
3,float,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",512,19,217.638,0,21.2889,3.64442,242.649,242.572
