dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",448,14,1.8736,0.003487,15.1793,5.38419,22.5745,22.4406
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",448,15,1.87606,0.003018,15.1867,5.38112,22.5839,22.4469
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",448,16,1.87309,0.003093,15.1792,5.3801,22.5731,22.4355
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",448,17,1.87814,0.002924,15.1734,5.36986,22.5625,22.4243
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",448,18,1.87565,0.00294,15.147,5.39136,22.5552,22.417
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",448,19,1.87594,0.003063,15.1871,5.39136,22.5955,22.4574
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",512,0,2.76426,0.002977,27.3552,7.57965,37.8459,37.7021
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",512,1,2.75549,0.003022,27.2972,7.56838,37.7665,37.6241
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",512,2,2.75706,0.002923,27.1985,7.56736,37.6689,37.5258
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",512,3,2.7537,0.002992,27.3211,7.57658,37.7965,37.6544
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",512,4,2.75814,0.002955,27.3383,7.58579,37.827,37.6852
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",512,5,2.75498,0.003049,27.3997,7.56326,37.8651,37.721
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",512,6,2.75795,0.002928,27.3809,7.58886,37.874,37.7307
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",512,7,2.75754,0.003045,27.1467,7.57453,37.6234,37.4818
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",512,8,2.75613,0.003062,27.3348,7.57146,37.809,37.6654
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",512,9,2.75552,0.003109,27.3868,7.56122,37.8505,37.7066
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",512,10,2.75571,0.003063,27.4781,7.57146,37.9509,37.8083
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",512,11,2.75786,0.00303,27.3508,7.55814,37.8143,37.6699
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",512,12,2.75424,0.003007,27.3216,7.58784,37.8107,37.6667
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",512,13,2.75622,0.002974,27.237,7.56634,37.7044,37.5625
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",512,14,2.7537,0.002957,27.4292,7.57658,37.9049,37.7624
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",512,15,2.75651,0.002976,27.2738,7.58272,37.7567,37.6161
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",512,16,2.75565,0.003111,27.2996,7.58784,37.7907,37.6462
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",512,17,2.75827,0.003287,26.9287,7.58579,37.4212,37.2761
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",512,18,2.75539,0.002908,27.4751,7.55814,37.9344,37.7915
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",512,19,2.75373,0.002893,27.254,7.56838,37.7242,37.579
