dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,CPU,"P | P | P | P",512,8,0.598432,0,0.038161,0.028288,0.727747,0.664881
2,float,uniform,CPU,"P | P | P | P",512,9,0.595136,0,0.037967,0.028608,0.722962,0.661711
2,float,uniform,CPU,"P | P | P | P",512,10,0.609312,0,0.038677,0.028672,0.739212,0.676661
2,float,uniform,CPU,"P | P | P | P",512,11,0.60432,0,0.037902,0.028,0.733794,0.670222
2,float,uniform,CPU,"P | P | P | P",512,12,0.596096,0,0.038379,0.026848,0.725841,0.661323
2,float,uniform,CPU,"P | P | P | P",512,13,0.594432,0,0.038056,0.028288,0.724068,0.660776
2,float,uniform,CPU,"P | P | P | P",512,14,0.605536,0,0.03808,0.028512,0.735525,0.672128
2,float,uniform,CPU,"P | P | P | P",512,15,0.60576,0,0.038292,0.028096,0.735081,0.672148
2,float,uniform,CPU,"P | P | P | P",512,16,0.597376,0,0.03754,0.029536,0.729804,0.664452
2,float,uniform,CPU,"P | P | P | P",512,17,0.598848,0,0.038034,0.027808,0.726893,0.66469
2,float,uniform,CPU,"P | P | P | P",512,18,0.60608,0,0.03762,0.027104,0.73496,0.670804
2,float,uniform,CPU,"P | P | P | P",512,19,0.594784,0,0.038192,0.02832,0.725792,0.661296
