dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | D | D",512,10,2.75722,0,31.6044,3.77651,38.2679,38.1381
3,float,uniform,GPU,"D | D | D | D | D | D",512,11,2.76067,0,31.5756,3.77754,38.2444,38.1138
3,float,uniform,GPU,"D | D | D | D | D | D",512,12,2.75699,0,31.5983,3.77549,38.2591,38.1308
3,float,uniform,GPU,"D | D | D | D | D | D",512,13,2.75555,0,31.5865,3.77958,38.2504,38.1216
3,float,uniform,GPU,"D | D | D | D | D | D",512,14,2.75811,0,31.5778,3.78573,38.2472,38.1216
3,float,uniform,GPU,"D | D | D | D | D | D",512,15,2.76054,0,31.5753,3.77651,38.2406,38.1123
3,float,uniform,GPU,"D | D | D | D | D | D",512,16,2.75846,0,31.5829,3.78675,38.2559,38.1281
3,float,uniform,GPU,"D | D | D | D | D | D",512,17,2.75693,0,31.5865,3.78982,38.2602,38.1333
3,float,uniform,GPU,"D | D | D | D | D | D",512,18,2.75686,0,31.5726,3.77754,38.2358,38.107
3,float,uniform,GPU,"D | D | D | D | D | D",512,19,2.7568,0,31.6075,3.78778,38.2778,38.1521
