dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,18,3.75299,0.002685,28.1948,4.29773,36.3785,36.2482
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",448,19,3.75488,0.00273,28.1851,4.30899,36.3801,36.2517
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,0,5.54797,0.002722,46.0025,6.016,57.6992,57.5692
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,1,5.53507,0.002672,46.032,6.00678,57.7054,57.5765
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,2,5.53642,0.002686,46.1057,6.00166,57.7735,57.6464
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,3,5.53648,0.003081,46.105,5.99962,57.7734,57.6441
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,4,5.53568,0.002644,46.4228,5.98221,58.0705,57.9433
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,5,5.53773,0.002633,46.1304,5.9863,57.7862,57.6571
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,6,5.53424,0.002699,46.0221,5.98323,57.6708,57.5423
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,7,5.5367,0.002887,46.1536,5.98323,57.8061,57.6764
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,8,5.53606,0.002714,46.1876,5.99654,57.8529,57.723
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,9,5.53469,0.002746,46.143,6.00678,57.817,57.6873
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,10,5.53786,0.002664,45.9165,5.9904,57.5791,57.4474
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,11,5.53677,0.002702,46.0005,5.98938,57.6597,57.5294
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,12,5.53571,0.002729,46.2357,5.9863,57.8918,57.7604
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,13,5.53533,0.002693,46.5266,6.00986,58.2004,58.0745
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,14,5.53702,0.002643,46.362,5.97402,58.004,57.8757
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,15,5.53347,0.002665,46.3502,5.99962,58.0155,57.886
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,16,5.53773,0.002965,46.1858,5.98323,57.8406,57.7098
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,17,5.53562,0.002684,46.0316,5.9904,57.6905,57.5603
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,18,5.5359,0.002676,45.8951,6.00269,57.567,57.4363
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",512,19,5.5361,0.002683,46.3133,5.99347,57.9749,57.8455
