dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",512,7,2.75421,0.003044,27.3564,7.48749,37.7443,37.6012
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",512,8,2.75354,0.002996,27.2933,7.48749,37.6801,37.5373
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",512,9,2.76102,0.003065,27.176,7.46394,37.5494,37.404
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",512,10,2.75312,0.003029,27.2899,7.48237,37.6724,37.5284
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",512,11,2.75434,0.002988,27.2486,7.46189,37.6091,37.4679
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",512,12,2.75418,0.003051,27.1349,7.48646,37.5265,37.3786
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",512,13,2.75942,0.003005,27.3775,7.49056,37.7728,37.6305
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",512,14,2.75286,0.003009,27.1768,7.47827,37.555,37.411
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",512,15,2.75485,0.003174,27.458,7.48134,37.8429,37.6974
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",512,16,2.7543,0.003045,27.2725,7.48339,37.6571,37.5133
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",512,17,2.75398,0.003073,27.2329,7.48749,37.6203,37.4775
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",512,18,2.75648,0.003006,27.3139,7.48851,37.7069,37.5619
3,float,uniform,GPU,"P | P | P | P | Ds | Ds",512,19,2.75546,0.003039,27.2897,7.46496,37.6595,37.5132
