dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,10,2.45824,0.003044,12.7956,2.67162,18.0591,17.9285
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,11,2.46157,0.003004,12.8136,2.68186,18.091,17.96
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,12,2.45856,0.003305,12.7994,2.69005,18.0818,17.9513
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,13,2.45894,0.003007,12.8004,2.68083,18.0748,17.9432
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,14,2.45763,0.00305,12.8106,2.68083,18.082,17.9522
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,15,2.48422,0.004093,12.8534,2.67981,18.1532,18.0215
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,16,2.45408,0.003056,12.7977,2.67366,18.0601,17.9285
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,17,2.45693,0.003008,12.8078,2.67878,18.0767,17.9465
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,18,2.45846,0.003378,12.8181,2.68595,18.0962,17.9659
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",384,19,2.45875,0.003105,12.7997,2.68595,18.0776,17.9475
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",448,0,3.79536,0.002987,31.9067,4.37146,40.2143,40.0765
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",448,1,3.76621,0.003012,29.6354,4.3223,37.8635,37.727
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",448,2,3.76109,0.003332,28.1186,4.29875,36.3185,36.1817
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",448,3,3.75466,0.002984,28.12,4.30797,36.3206,36.1856
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",448,4,3.7567,0.002983,28.1255,4.29978,36.32,36.185
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",448,5,3.75715,0.002993,28.1225,4.30899,36.3276,36.1916
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",448,6,3.75846,0.003044,28.1185,4.31104,36.332,36.191
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",448,7,3.75878,0.002964,28.1114,4.30182,36.3115,36.175
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",448,8,3.76096,0.003078,28.1167,4.30797,36.324,36.1887
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",448,9,3.75914,0.00296,28.1189,4.29978,36.3146,36.1807
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",448,10,3.75914,0.003044,28.1188,4.30285,36.3255,36.1838
