dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",384,13,0.018016,0,0.040868,0.013312,0.164364,0.072196
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",384,14,0.016704,0,0.040952,0.014336,0.165194,0.071992
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",384,15,0.016384,0,0.040949,0.013312,0.163449,0.070645
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",384,16,0.01904,0,0.04067,0.014336,0.166932,0.074046
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",384,17,0.018336,0,0.041564,0.014336,0.165032,0.074236
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",384,18,0.017408,0,0.040689,0.013312,0.164547,0.071409
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",384,19,0.01776,0,0.041237,0.014336,0.170445,0.073333
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",448,0,0.0232,0,0.051027,0.019456,0.206806,0.093683
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",448,1,0.023392,0,0.04289,0.017408,0.191924,0.08369
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",448,2,0.023392,0,0.040948,0.01536,0.187293,0.0797
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",448,3,0.022336,0,0.041073,0.01536,0.186524,0.078769
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",448,4,0.02128,0,0.041217,0.01536,0.186825,0.077857
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",448,5,0.021536,0,0.041282,0.01536,0.186064,0.078178
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",448,6,0.023264,0,0.04119,0.01536,0.187251,0.079814
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",448,7,0.023488,0,0.041774,0.01536,0.188292,0.080622
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",448,8,0.023104,0,0.041334,0.014336,0.188425,0.078774
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",448,9,0.022496,0,0.041068,0.01536,0.187866,0.078924
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",448,10,0.023104,0,0.041743,0.01536,0.188513,0.080207
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",448,11,0.02064,0,0.041441,0.014336,0.186272,0.076417
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",448,12,0.02144,0,0.041256,0.014336,0.186409,0.077032
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",448,13,0.023264,0,0.041344,0.014336,0.188166,0.078944
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",448,14,0.029664,0,0.041569,0.014336,0.19506,0.085569
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",448,15,0.022656,0,0.041122,0.01536,0.186467,0.079138
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",448,16,0.022976,0,0.041567,0.01536,0.186612,0.079903
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",448,17,0.021152,0,0.041297,0.01536,0.186362,0.077809
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",448,18,0.022176,0,0.04122,0.01536,0.187248,0.078756
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",448,19,0.021504,0,0.041281,0.014336,0.186701,0.077121
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",512,0,0.027104,0,0.055431,0.019456,0.235368,0.101991
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",512,1,0.024896,0,0.046036,0.017408,0.216996,0.08834
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",512,2,0.021216,0,0.046195,0.016384,0.214045,0.083795
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",512,3,0.020928,0,0.045467,0.01536,0.211717,0.081755
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",512,4,0.020192,0,0.045578,0.01536,0.211138,0.08113
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",512,5,0.019872,0,0.04531,0.01536,0.210422,0.080542
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",512,6,0.020576,0,0.047771,0.016384,0.214625,0.084731
