dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,55,1.50858,0.00171,0.520324,0.09696,2.1828,2.12757
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,56,1.49462,0.001591,0.527754,0.09728,2.17506,2.12125
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,57,1.50189,0.00155,0.522944,0.096544,2.17941,2.12293
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,58,1.53366,0.00174,0.524094,0.097568,2.2162,2.15707
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,59,1.49834,0.001589,0.518685,0.099328,2.16828,2.11794
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,60,1.51885,0.0017,0.523205,0.097024,2.19451,2.14078
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,61,1.5119,0.00157,0.523264,0.096192,2.18811,2.13293
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,62,1.53795,0.00164,0.523174,0.098048,2.21288,2.16081
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,63,1.50774,0.00186,0.522675,0.098624,2.1838,2.1309
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,64,1.50838,0.00164,0.518624,0.097344,2.17795,2.12599
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,65,1.52826,0.00179,0.521885,0.096576,2.2026,2.14851
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,66,1.4977,0.001549,0.522424,0.096864,2.17031,2.11853
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,67,1.52045,0.001569,0.522454,0.097344,2.19767,2.14181
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,68,1.51917,0.001731,0.520885,0.096288,2.19931,2.13807
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,69,1.49421,0.001641,0.522835,0.096224,2.1708,2.11491
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,70,1.4999,0.00167,0.522524,0.097568,2.17793,2.12167
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,71,1.52154,0.00161,0.522314,0.09712,2.19775,2.14258
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,72,1.50928,0.001599,0.523812,0.096416,2.18588,2.13111
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,73,1.50842,0.00181,0.522685,0.097152,2.18365,2.13006
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",128,74,1.55002,0.001591,0.520662,0.09712,2.22383,2.16939
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,0,5.4753,0.002131,1.80218,0.336096,7.69684,7.6157
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,1,5.47818,0.00201,1.79917,0.333824,7.68171,7.61318
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,2,5.4919,0.001841,1.79192,0.33456,7.68436,7.62022
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,3,5.4903,0.0018,1.79481,0.334976,7.68577,7.62189
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,4,5.5104,0.00218,1.79977,0.335712,7.71401,7.64806
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,5,5.54432,0.00206,1.79915,0.33472,7.74449,7.68025
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,6,5.5088,0.00194,1.79457,0.334112,7.70453,7.63942
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,7,5.51853,0.001899,1.81334,0.333248,7.73659,7.66702
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,8,5.41622,0.0021,1.7949,0.33488,7.6139,7.5481
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,9,5.89846,0.00225,1.80537,0.336992,8.10611,8.04308
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,10,5.43053,0.00197,1.79592,0.336992,7.62705,7.56541
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,11,5.49414,0.002071,1.79955,0.335776,7.69646,7.63154
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,12,5.6663,0.002,1.79654,0.33376,7.86567,7.7986
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,13,5.49661,0.00186,1.79366,0.334112,7.69285,7.62624
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,14,5.54925,0.00215,1.79157,0.332608,7.74026,7.67558
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,15,5.43466,0.0019,1.79949,0.33152,7.63197,7.56757
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,16,5.55171,0.00181,1.79414,0.333056,7.75006,7.68072
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,17,5.54173,0.002131,1.81579,0.337504,7.77084,7.69715
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,18,5.55427,0.002101,1.79843,0.333504,7.75126,7.68831
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,19,5.48582,0.001949,1.79482,0.333568,7.68009,7.61616
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,20,5.8209,0.00199,1.79823,0.337344,8.0256,7.95846
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,21,5.4505,0.002089,1.80575,0.33376,7.65794,7.59209
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,22,5.47155,0.00203,1.79548,0.334048,7.67553,7.60311
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,23,5.59069,0.00193,1.79547,0.335872,7.78782,7.72396
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,24,5.63085,0.00216,1.80722,0.33376,7.84237,7.77399
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,25,5.43091,0.002109,1.80676,0.336544,7.6411,7.57633
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,26,5.56515,0.00215,1.79534,0.334208,7.75831,7.69685
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,27,5.53536,0.00186,1.80026,0.334784,7.7433,7.67226
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,28,5.60403,0.00226,1.79425,0.335424,7.81064,7.73597
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,29,5.54054,0.00223,1.80816,0.338304,7.75427,7.68924
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,30,5.51549,0.0018,1.79446,0.333664,7.71264,7.64541
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,31,5.4425,0.00193,1.79372,0.334016,7.64438,7.57216
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,32,5.46982,0.001959,1.79073,0.359968,7.68445,7.62248
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,33,5.55213,0.001991,1.80593,0.337472,7.76768,7.69752
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,34,5.572,0.00199,1.79942,0.334496,7.77459,7.70791
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,35,5.4576,0.00194,1.79663,0.335232,7.65753,7.5914
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,36,5.53827,0.001781,1.79137,0.335136,7.7253,7.66656
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,37,5.63574,0.002339,1.80534,0.336768,7.84695,7.78019
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,38,5.50646,0.00198,1.80715,0.337344,7.71944,7.65294
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,39,5.5143,0.0019,1.80492,0.336544,7.7188,7.65767
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,40,5.47581,0.001809,1.80057,0.334752,7.68066,7.61294
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,41,5.55808,0.00188,1.80595,0.336992,7.76721,7.7029
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,42,5.53885,0.00195,1.79894,0.334592,7.73828,7.67433
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,43,5.52074,0.001979,1.79455,0.337888,7.7184,7.65515
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,44,5.4615,0.00201,1.80668,0.333984,7.66775,7.60418
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,45,5.5056,0.00176,1.79843,0.336896,7.70502,7.64269
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,46,5.49018,0.00195,1.79249,0.332768,7.68079,7.61738
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,47,5.48074,0.00201,1.80484,0.333408,7.68811,7.62099
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,48,5.46205,0.00194,1.80599,0.335168,7.67024,7.60515
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,49,5.53706,0.00198,1.79844,0.332608,7.7331,7.67008
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,50,5.53763,0.0018,1.79874,0.33184,7.73668,7.67001
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,51,5.49459,0.00191,1.79165,0.334432,7.68961,7.62258
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,52,5.5711,0.00202,1.79922,0.333536,7.76789,7.70588
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,53,5.85414,0.00216,1.81148,0.341376,8.09251,8.00916
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,54,5.44787,0.002179,1.79514,0.337408,7.64726,7.5826
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,55,5.42589,0.00197,1.79451,0.337312,7.62475,7.55968
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,56,5.56403,0.0019,1.79546,0.332416,7.75662,7.69381
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,57,5.58659,0.00194,1.79635,0.333888,7.78816,7.71877
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,58,5.52173,0.00214,1.79799,0.33584,7.72025,7.6577
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,59,5.59667,0.001931,1.8011,0.334976,7.79697,7.73468
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,60,5.46451,0.00188,1.80602,0.336928,7.6726,7.60934
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,61,5.56058,0.001841,1.79996,0.333408,7.78242,7.69578
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,62,5.57197,0.00178,1.79953,0.333888,7.77299,7.70717
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,63,5.65795,0.00179,1.80522,0.332608,7.86085,7.79757
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,64,5.58115,0.00205,1.79322,0.337088,7.77639,7.71351
3,double,uniform,CPU,"P | P | Ns | Ns | P | P",192,65,5.72886,0.00204,1.80017,0.335136,7.9322,7.86621
