dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"D | N",256,26,0.029792,0,0.017939,0.005056,0.092859,0.052787
1,float,uniform,CPU,"D | N",256,27,0.028992,0,0.01948,0.00544,0.092539,0.053912
1,float,uniform,CPU,"D | N",256,28,0.029216,0,0.01896,0.00672,0.10093,0.054896
1,float,uniform,CPU,"D | N",256,29,0.028288,0,0.0186,0.00736,0.092949,0.054248
1,float,uniform,CPU,"D | N",256,30,0.031232,0,0.01865,0.005664,0.097559,0.055546
1,float,uniform,CPU,"D | N",256,31,0.029856,0,0.01741,0.007968,0.091999,0.055234
1,float,uniform,CPU,"D | N",256,32,0.034848,0,0.01787,0.005408,0.098449,0.058126
1,float,uniform,CPU,"D | N",256,33,0.027712,0,0.018179,0.005344,0.089649,0.051235
1,float,uniform,CPU,"D | N",256,34,0.030368,0,0.01764,0.005184,0.090209,0.053192
1,float,uniform,CPU,"D | N",256,35,0.029088,0,0.01789,0.005536,0.092199,0.052514
1,float,uniform,CPU,"D | N",256,36,0.030144,0,0.018019,0.00624,0.091989,0.054403
1,float,uniform,CPU,"D | N",256,37,0.028832,0,0.01759,0.007328,0.087659,0.05375
1,float,uniform,CPU,"D | N",256,38,0.029024,0,0.01825,0.005312,0.091459,0.052586
1,float,uniform,CPU,"D | N",256,39,0.029248,0,0.01797,0.005536,0.097909,0.052754
1,float,uniform,CPU,"D | N",256,40,0.028288,0,0.01985,0.00544,0.091629,0.053578
1,float,uniform,CPU,"D | N",256,41,0.030464,0,0.01791,0.006656,0.093839,0.05503
1,float,uniform,CPU,"D | N",256,42,0.033088,0,0.01793,0.005696,0.100829,0.056714
1,float,uniform,CPU,"D | N",256,43,0.029344,0,0.01803,0.005536,0.09185,0.05291
1,float,uniform,CPU,"D | N",256,44,0.03104,0,0.018319,0.00704,0.095359,0.056399
1,float,uniform,CPU,"D | N",256,45,0.029312,0,0.01863,0.005824,0.093759,0.053766
1,float,uniform,CPU,"D | N",256,46,0.029408,0,0.01836,0.005888,0.094479,0.053656
1,float,uniform,CPU,"D | N",256,47,0.028832,0,0.01799,0.00528,0.089909,0.052102
1,float,uniform,CPU,"D | N",256,48,0.028096,0,0.018301,0.007136,0.091529,0.053533
1,float,uniform,CPU,"D | N",256,49,0.02736,0,0.014479,0.006496,0.079039,0.048335
1,float,uniform,CPU,"D | N",256,50,0.029568,0,0.01827,0.005856,0.093989,0.053694
1,float,uniform,CPU,"D | N",256,51,0.02768,0,0.01424,0.006976,0.07934,0.048896
1,float,uniform,CPU,"D | N",256,52,0.028608,0,0.01789,0.005376,0.089509,0.051874
1,float,uniform,CPU,"D | N",256,53,0.031232,0,0.018168,0.007424,0.095859,0.056824
1,float,uniform,CPU,"D | N",256,54,0.032512,0,0.01837,0.007072,0.096718,0.057954
1,float,uniform,CPU,"D | N",256,55,0.02928,0,0.01999,0.005344,0.094398,0.054614
