dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,45,2.56832,0.00185,0.161949,0.08128,2.87542,2.8134
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,46,2.59024,0.0017,0.157649,0.074048,2.88295,2.82364
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,47,2.56301,0.00156,0.157507,0.074784,2.85501,2.79686
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,48,2.62378,0.00165,0.159088,0.07744,2.91969,2.86195
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,49,2.57306,0.00175,0.15717,0.074272,2.86811,2.80625
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,50,2.5745,0.00195,0.15858,0.077984,2.87091,2.81301
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,51,2.57962,0.00176,0.159749,0.07584,2.87452,2.81697
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,52,2.56554,0.001549,0.15794,0.075232,2.85861,2.80026
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,53,2.55114,0.00154,0.15907,0.076448,2.84659,2.78819
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,54,2.54938,0.001819,0.155939,0.073632,2.83621,2.78077
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,55,2.8055,0.002109,0.174086,0.082144,3.14333,3.06384
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,56,2.57485,0.0019,0.161306,0.079872,2.8771,2.81793
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,57,2.59453,0.001861,0.15974,0.075488,2.8903,2.83162
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,58,2.66422,0.001721,0.151338,0.07744,2.94386,2.89472
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,59,2.56765,0.00151,0.15825,0.077376,2.86147,2.80478
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,60,2.57046,0.00172,0.157126,0.075936,2.8615,2.80525
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,61,2.60013,0.00175,0.158639,0.07552,2.89491,2.83604
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,62,2.57088,0.0018,0.159029,0.076384,2.86506,2.80809
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,63,2.63728,0.00165,0.159769,0.074944,2.93169,2.87364
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,64,2.57117,0.00172,0.156948,0.076576,2.86233,2.80641
3,float,uniform,CPU,"P | P | P | P | Ds | Ns",192,65,2.5815,0.001701,0.157977,0.075808,2.87457,2.81699
