dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,66,0.027136,0.001609,0.154919,0.032896,0.276647,0.21656
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,67,0.02592,0.00159,0.07813,0.03136,0.197308,0.137
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,68,0.041696,0.008899,0.088909,0.042624,0.243997,0.182128
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,69,0.026784,0.00156,0.079138,0.03056,0.199848,0.138042
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,70,0.026752,0.00151,0.07749,0.02944,0.195928,0.135192
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,71,0.026912,0.00162,0.07815,0.03232,0.199748,0.139002
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,72,0.027328,0.001569,0.076689,0.031552,0.197158,0.137138
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,73,0.026336,0.001599,0.077709,0.03232,0.198687,0.137964
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,74,0.026656,0.00169,0.078738,0.032256,0.201408,0.13934
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,0,0.069984,0.00193,0.158608,0.084,0.369966,0.314522
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,1,0.058304,0.00171,0.163488,0.08736,0.374126,0.310862
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,2,0.072864,0.00192,0.166499,0.09056,0.394356,0.331843
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,3,0.055712,0.00156,0.160979,0.086208,0.367366,0.304459
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,4,0.07296,0.0023,0.169997,0.08976,0.399735,0.335017
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,5,0.072736,0.002102,0.168497,0.091872,0.399045,0.335207
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,6,0.071808,0.00189,0.167669,0.089216,0.393416,0.330583
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,7,0.069632,0.00187,0.167998,0.088,0.389956,0.3275
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,8,0.06352,0.00223,0.164218,0.089472,0.381515,0.31944
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,9,0.054304,0.00197,0.164168,0.084736,0.370026,0.305178
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,10,0.053696,0.00183,0.161908,0.083808,0.370346,0.301242
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,11,0.052832,0.00186,0.162448,0.082336,0.363766,0.299476
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,12,0.065568,0.00191,0.16597,0.088064,0.385625,0.321512
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,13,0.068256,0.00175,0.165487,0.089824,0.387676,0.325317
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,14,0.056256,0.00188,0.165979,0.084224,0.373006,0.308339
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,15,0.057792,0.001681,0.163398,0.087008,0.372246,0.309879
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,16,0.052096,0.00168,0.161429,0.080928,0.358846,0.296133
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,17,0.054656,0.00177,0.162708,0.08048,0.364976,0.299614
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,18,0.051392,0.00155,0.159859,0.0816,0.356356,0.294401
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,19,0.070304,0.001829,0.170167,0.089248,0.394315,0.331548
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,20,0.072224,0.00197,0.169389,0.087392,0.394655,0.330975
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,21,0.058496,0.001699,0.165739,0.08672,0.375956,0.312654
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,22,0.054336,0.00167,0.163558,0.079744,0.362066,0.299308
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,23,0.06096,0.0018,0.165449,0.08496,0.375896,0.313169
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,24,0.053728,0.00164,0.159149,0.083168,0.357116,0.297685
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,25,0.05568,0.00157,0.163539,0.087904,0.372346,0.308693
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,26,0.05376,0.00169,0.164078,0.084,0.366335,0.303528
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,27,0.072224,0.002169,0.169728,0.08928,0.396916,0.333401
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,28,0.056928,0.00146,0.161768,0.081248,0.365985,0.301404
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,29,0.064768,0.00226,0.166839,0.086336,0.382676,0.320203
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,30,0.069792,0.00203,0.168108,0.0912,0.394616,0.33113
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,31,0.071488,0.00204,0.167479,0.091232,0.395125,0.332239
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,32,0.06176,0.00194,0.165768,0.08688,0.379556,0.316348
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,33,0.054592,0.001569,0.164298,0.085184,0.369536,0.305643
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,34,0.051968,0.00163,0.160609,0.082848,0.360836,0.297055
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,35,0.052224,0.00171,0.160267,0.083488,0.361696,0.297689
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,36,0.065664,0.00179,0.165898,0.092832,0.388786,0.326184
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,37,0.073792,0.001841,0.167758,0.090336,0.397756,0.333727
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,38,0.063936,0.00199,0.170576,0.087968,0.387956,0.32447
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,39,0.056864,0.00172,0.162559,0.085664,0.369266,0.306807
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,40,0.071872,0.00198,0.167999,0.091648,0.396495,0.333499
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,41,0.063552,0.001931,0.165436,0.08624,0.381056,0.317159
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,42,0.070976,0.00192,0.16845,0.089056,0.392736,0.330402
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,43,0.053376,0.0017,0.156499,0.088416,0.354526,0.299991
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,44,0.072256,0.001859,0.166757,0.089088,0.392665,0.32996
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,45,0.064064,0.00198,0.166068,0.088256,0.383045,0.320368
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,46,0.072096,0.001922,0.166158,0.087456,0.389896,0.327632
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,47,0.057952,0.00171,0.165409,0.085664,0.372036,0.310735
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,48,0.055008,0.00181,0.163299,0.08176,0.368705,0.301877
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,49,0.067552,0.002039,0.167416,0.090048,0.390855,0.327055
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,50,0.072704,0.00188,0.165758,0.092032,0.395306,0.332374
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,51,0.05488,0.00151,0.162679,0.085536,0.368826,0.304605
