dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,35,0.023424,0.00153,0.485864,0.056704,0.623254,0.567522
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,36,0.022208,0.001591,0.486917,0.06048,0.626903,0.571196
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,37,0.020608,0.00157,0.485317,0.059392,0.621164,0.566887
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,38,0.022272,0.001562,0.487535,0.059808,0.625113,0.571177
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,39,0.02208,0.00159,0.486404,0.059392,0.623424,0.569466
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,40,0.020064,0.0017,0.485976,0.05856,0.621123,0.5663
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,41,0.019232,0.00161,0.484634,0.057088,0.617954,0.562564
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,42,0.019616,0.00146,0.486805,0.059488,0.629604,0.567369
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,43,0.022464,0.00149,0.486407,0.057888,0.624424,0.568249
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,44,0.020352,0.00145,0.485054,0.0576,0.619984,0.564456
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,45,0.022336,0.00138,0.486174,0.058624,0.623174,0.568514
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,46,0.020672,0.00146,0.485584,0.059744,0.624043,0.56746
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,47,0.024224,0.00154,0.479015,0.060192,0.615664,0.564971
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,48,0.028864,0.00163,0.486544,0.0608,0.634074,0.577838
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,49,0.018816,0.00159,0.487236,0.058528,0.621643,0.56617
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,50,0.021088,0.001521,0.487276,0.059616,0.625093,0.569501
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,51,0.020384,0.00155,0.491464,0.058624,0.626494,0.572022
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,52,0.036064,0.001979,0.493116,0.06352,0.648943,0.594679
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,53,0.019904,0.00155,0.486794,0.058592,0.621844,0.56684
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,54,0.021664,0.00162,0.484496,0.05664,0.621743,0.56442
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,55,0.01936,0.001498,0.485816,0.059904,0.622414,0.566578
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,56,0.020512,0.001481,0.485396,0.058848,0.622213,0.566237
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,57,0.022976,0.001729,0.483626,0.059104,0.619543,0.567435
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,58,0.02176,0.00162,0.486646,0.060704,0.625624,0.57073
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,59,0.019104,0.00139,0.485617,0.059808,0.621094,0.565919
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,60,0.029344,0.0016,0.486867,0.05888,0.631034,0.576691
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,61,0.02032,0.00157,0.487274,0.059008,0.623194,0.568172
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,62,0.023008,0.00173,0.478694,0.06192,0.613854,0.565352
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,63,0.019552,0.00148,0.486384,0.06048,0.630234,0.567896
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,64,0.037216,0.00227,0.494444,0.064224,0.654534,0.598154
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,65,0.03872,0.00211,0.494105,0.064416,0.656003,0.599351
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,66,0.019776,0.00153,0.490795,0.058688,0.626744,0.570789
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,67,0.021632,0.00145,0.484917,0.05936,0.622693,0.567359
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,68,0.02,0.001541,0.486986,0.059872,0.623124,0.568399
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,69,0.021088,0.00153,0.486027,0.058368,0.622503,0.567013
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,70,0.019296,0.0015,0.525756,0.060544,0.663293,0.607096
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,71,0.021792,0.00175,0.485525,0.058368,0.623613,0.567435
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,72,0.01984,0.00164,0.519055,0.05904,0.654274,0.599575
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,73,0.022208,0.0016,0.485774,0.057344,0.624554,0.566926
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,74,0.019264,0.00147,0.484956,0.056896,0.619083,0.562586
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,0,0.111616,0.002112,1.48845,0.184768,1.84378,1.78695
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,1,0.11056,0.00193,1.48529,0.18336,1.83807,1.78113
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,2,0.103008,0.001901,1.48424,0.183872,1.83308,1.77302
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,3,0.104928,0.00201,1.48541,0.182496,1.83369,1.77484
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,4,0.106208,0.002009,1.48638,0.184384,1.83428,1.77899
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,5,0.106592,0.00176,1.48298,0.182912,1.82822,1.77425
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,6,0.103776,0.00195,1.48519,0.186976,1.83464,1.77789
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,7,0.10448,0.00183,1.48351,0.183584,1.83079,1.7734
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,8,0.121056,0.00208,1.48411,0.186912,1.84792,1.79415
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,9,0.111744,0.00202,1.48689,0.185184,1.84485,1.78583
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,10,0.103616,0.00164,1.4841,0.182208,1.82869,1.77157
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,11,0.10496,0.00179,1.48533,0.181472,1.8296,1.77355
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,12,0.105184,0.00177,1.48605,0.184352,1.83478,1.77735
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,13,0.108704,0.00184,1.48558,0.1832,1.83738,1.77933
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,14,0.103264,0.006099,1.4836,0.18336,1.8322,1.77632
