dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"N | D",192,56,0.029632,0,0.04245,0.00848,0.120749,0.080562
1,double,uniform,CPU,"N | D",192,57,0.029312,0,0.043199,0.00624,0.120659,0.078751
1,double,uniform,CPU,"N | D",192,58,0.029248,0,0.0421,0.009504,0.120739,0.080852
1,double,uniform,CPU,"N | D",192,59,0.028832,0,0.04195,0.008256,0.118689,0.079038
1,double,uniform,CPU,"N | D",192,60,0.029216,0,0.042029,0.006464,0.118029,0.077709
1,double,uniform,CPU,"N | D",192,61,0.028512,0,0.042129,0.005952,0.117339,0.076593
1,double,uniform,CPU,"N | D",192,62,0.032256,0,0.04241,0.007424,0.122848,0.08209
1,double,uniform,CPU,"N | D",192,63,0.02992,0,0.04175,0.007232,0.120009,0.078902
1,double,uniform,CPU,"N | D",192,64,0.03008,0,0.04276,0.008064,0.119569,0.080904
1,double,uniform,CPU,"N | D",192,65,0.030368,0,0.042099,0.008256,0.120189,0.080723
1,double,uniform,CPU,"N | D",192,66,0.032608,0,0.03865,0.00928,0.112869,0.080538
1,double,uniform,CPU,"N | D",192,67,0.028512,0,0.04202,0.008608,0.124129,0.07914
1,double,uniform,CPU,"N | D",192,68,0.036576,0,0.04231,0.007424,0.234768,0.08631
1,double,uniform,CPU,"N | D",192,69,0.031072,0,0.04256,0.00608,0.124459,0.079712
1,double,uniform,CPU,"N | D",192,70,0.028512,0,0.04191,0.007136,0.117399,0.077558
1,double,uniform,CPU,"N | D",192,71,0.029856,0,0.04187,0.006976,0.120049,0.078702
1,double,uniform,CPU,"N | D",192,72,0.02864,0,0.04214,0.007712,0.119649,0.078492
1,double,uniform,CPU,"N | D",192,73,0.031968,0,0.042179,0.005696,0.118769,0.079843
1,double,uniform,CPU,"N | D",192,74,0.031008,0,0.04188,0.008672,0.121119,0.08156
1,double,uniform,CPU,"N | D",256,0,0.058624,0,0.03935,0.011616,0.157329,0.10959
1,double,uniform,CPU,"N | D",256,1,0.032256,0,0.03485,0.006816,0.114088,0.073922
1,double,uniform,CPU,"N | D",256,2,0.029632,0,0.03138,0.009504,0.102859,0.070516
1,double,uniform,CPU,"N | D",256,3,0.029184,0,0.034799,0.008544,0.111769,0.072527
1,double,uniform,CPU,"N | D",256,4,0.029216,0,0.03528,0.008576,0.118339,0.073072
1,double,uniform,CPU,"N | D",256,5,0.029568,0,0.03539,0.008992,0.112659,0.07395
