dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | D | N",192,29,0.052928,0.00182,0.16508,0.0824,0.369806,0.302228
3,float,uniform,GPU,"P | P | P | P | D | N",192,30,0.053408,0.00173,0.165388,0.081312,0.366386,0.301838
3,float,uniform,GPU,"P | P | P | P | D | N",192,31,0.053472,0.001689,0.161019,0.085664,0.357626,0.301844
3,float,uniform,GPU,"P | P | P | P | D | N",192,32,0.052928,0.00171,0.165488,0.08272,0.367456,0.302846
3,float,uniform,GPU,"P | P | P | P | D | N",192,33,0.054272,0.00171,0.163537,0.08192,0.365276,0.301439
3,float,uniform,GPU,"P | P | P | P | D | N",192,34,0.050752,0.00178,0.1627,0.080192,0.359076,0.295424
3,float,uniform,GPU,"P | P | P | P | D | N",192,35,0.05136,0.00148,0.1647,0.0824,0.362636,0.29994
3,float,uniform,GPU,"P | P | P | P | D | N",192,36,0.052832,0.00182,0.166499,0.080224,0.366096,0.301375
3,float,uniform,GPU,"P | P | P | P | D | N",192,37,0.05296,0.00155,0.16767,0.081024,0.368016,0.303204
3,float,uniform,GPU,"P | P | P | P | D | N",192,38,0.05312,0.001669,0.164598,0.083456,0.370146,0.302843
3,float,uniform,GPU,"P | P | P | P | D | N",192,39,0.052832,0.00166,0.16518,0.081568,0.365976,0.30124
3,float,uniform,GPU,"P | P | P | P | D | N",192,40,0.052416,0.00172,0.16579,0.081344,0.367235,0.30127
3,float,uniform,GPU,"P | P | P | P | D | N",192,41,0.051072,0.00162,0.16355,0.081024,0.361986,0.297266
3,float,uniform,GPU,"P | P | P | P | D | N",192,42,0.053248,0.001741,0.164476,0.090144,0.373896,0.309609
3,float,uniform,GPU,"P | P | P | P | D | N",192,43,0.052736,0.001641,0.159049,0.083968,0.351676,0.297394
3,float,uniform,GPU,"P | P | P | P | D | N",192,44,0.04992,0.001571,0.166337,0.083392,0.366966,0.30122
3,float,uniform,GPU,"P | P | P | P | D | N",192,45,0.051904,0.00159,0.164566,0.083104,0.364696,0.301164
3,float,uniform,GPU,"P | P | P | P | D | N",192,46,0.053216,0.001719,0.163816,0.080928,0.361206,0.299679
3,float,uniform,GPU,"P | P | P | P | D | N",192,47,0.074688,0.002011,0.170459,0.0848,0.399566,0.331958
3,float,uniform,GPU,"P | P | P | P | D | N",192,48,0.052288,0.00161,0.17266,0.08096,0.372746,0.307518
3,float,uniform,GPU,"P | P | P | P | D | N",192,49,0.0536,0.00189,0.165806,0.081728,0.366596,0.303024
3,float,uniform,GPU,"P | P | P | P | D | N",192,50,0.051488,0.00153,0.164707,0.079552,0.362486,0.297277
3,float,uniform,GPU,"P | P | P | P | D | N",192,51,0.052096,0.00165,0.169489,0.080384,0.366516,0.303619
3,float,uniform,GPU,"P | P | P | P | D | N",192,52,0.053024,0.00173,0.166527,0.083808,0.367506,0.305089
3,float,uniform,GPU,"P | P | P | P | D | N",192,53,0.053344,0.00185,0.166018,0.081024,0.366476,0.302236
3,float,uniform,GPU,"P | P | P | P | D | N",192,54,0.073312,0.00177,0.170977,0.087136,0.397155,0.333195
3,float,uniform,GPU,"P | P | P | P | D | N",192,55,0.054112,0.0016,0.165257,0.083872,0.367086,0.304841
3,float,uniform,GPU,"P | P | P | P | D | N",192,56,0.054208,0.001629,0.165318,0.082368,0.367116,0.303523
3,float,uniform,GPU,"P | P | P | P | D | N",192,57,0.075264,0.00189,0.171066,0.085408,0.400415,0.333628
3,float,uniform,GPU,"P | P | P | P | D | N",192,58,0.072032,0.00193,0.169378,0.085728,0.393266,0.329068
3,float,uniform,GPU,"P | P | P | P | D | N",192,59,0.057312,0.001701,0.167609,0.083072,0.373965,0.309694
3,float,uniform,GPU,"P | P | P | P | D | N",192,60,0.051552,0.00184,0.232636,0.082848,0.434185,0.368876
3,float,uniform,GPU,"P | P | P | P | D | N",192,61,0.053856,0.00161,0.16468,0.08256,0.365756,0.302706
3,float,uniform,GPU,"P | P | P | P | D | N",192,62,0.05184,0.00174,0.164049,0.079168,0.360615,0.296797
3,float,uniform,GPU,"P | P | P | P | D | N",192,63,0.05152,0.001571,0.165626,0.081056,0.363696,0.299773
3,float,uniform,GPU,"P | P | P | P | D | N",192,64,0.051488,0.001571,0.162909,0.082976,0.363475,0.298944
3,float,uniform,GPU,"P | P | P | P | D | N",192,65,0.051872,0.00161,0.16484,0.080864,0.362856,0.299186
3,float,uniform,GPU,"P | P | P | P | D | N",192,66,0.053728,0.00166,0.16486,0.081696,0.366886,0.301944
3,float,uniform,GPU,"P | P | P | P | D | N",192,67,0.052544,0.00161,0.163827,0.08144,0.361966,0.299421
3,float,uniform,GPU,"P | P | P | P | D | N",192,68,0.051904,0.001879,0.165056,0.08112,0.364056,0.299959
3,float,uniform,GPU,"P | P | P | P | D | N",192,69,0.051168,0.00168,0.165507,0.081408,0.364436,0.299763
3,float,uniform,GPU,"P | P | P | P | D | N",192,70,0.05248,0.00158,0.165128,0.081888,0.365416,0.301076
3,float,uniform,GPU,"P | P | P | P | D | N",192,71,0.05232,0.00153,0.163848,0.08032,0.362316,0.298018
3,float,uniform,GPU,"P | P | P | P | D | N",192,72,0.052864,0.00168,0.178049,0.081824,0.379455,0.314417
3,float,uniform,GPU,"P | P | P | P | D | N",192,73,0.071872,0.001901,0.17159,0.086144,0.395606,0.331507
3,float,uniform,GPU,"P | P | P | P | D | N",192,74,0.057984,0.001669,0.166698,0.082016,0.376526,0.308367
3,float,uniform,GPU,"P | P | P | P | D | N",256,0,0.138944,0.00231,0.461654,0.305312,0.975999,0.90822
3,float,uniform,GPU,"P | P | P | P | D | N",256,1,0.159072,0.001921,0.457244,0.30336,0.991548,0.921597
3,float,uniform,GPU,"P | P | P | P | D | N",256,2,0.163552,0.001889,0.460965,0.302816,1.00218,0.929222
3,float,uniform,GPU,"P | P | P | P | D | N",256,3,0.169504,0.00193,0.454234,0.303232,0.990949,0.9289
3,float,uniform,GPU,"P | P | P | P | D | N",256,4,0.162176,0.002009,0.461484,0.304224,0.995939,0.929893
