dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,26,0.048128,0,0.02693,0.005696,0.123529,0.080754
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,27,0.049952,0,0.02556,0.007552,0.127029,0.083064
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,28,0.046496,0,0.02532,0.006464,0.121988,0.07828
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,29,0.04704,0,0.02592,0.0048,0.120048,0.07776
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,30,0.051936,0,0.02185,0.008384,0.115489,0.08217
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,31,0.044864,0,0.02535,0.008064,0.120958,0.078278
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,32,0.046272,0,0.02533,0.00704,0.121199,0.078642
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,33,0.048224,0,0.02536,0.007584,0.126659,0.081168
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,34,0.049888,0,0.02529,0.0064,0.124928,0.081578
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,35,0.046272,0,0.02579,0.006592,0.120679,0.078654
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,36,0.046304,0,0.025439,0.006656,0.120729,0.078399
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,37,0.046368,0,0.02727,0.00672,0.121098,0.080358
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,38,0.045312,0,0.02557,0.007456,0.120178,0.078338
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,39,0.04768,0,0.025291,0.006784,0.122869,0.079755
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,40,0.049472,0,0.025509,0.007488,0.124969,0.082469
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,41,0.047712,0,0.02585,0.008032,0.212588,0.081594
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,42,0.047808,0,0.02577,0.009312,0.125849,0.08289
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,43,0.050432,0,0.02625,0.007456,0.126439,0.084138
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,44,0.045856,0,0.026159,0.005792,0.120009,0.077807
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,45,0.045376,0,0.02588,0.008864,0.124069,0.08012
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,46,0.04544,0,0.02544,0.006848,0.120649,0.077728
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,47,0.051136,0,0.025639,0.0072,0.127079,0.083975
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,48,0.04592,0,0.02259,0.008,0.111689,0.07651
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,49,0.048512,0,0.02248,0.009152,0.114128,0.080144
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,50,0.047904,0,0.025329,0.008736,0.123528,0.081969
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,51,0.047008,0,0.02545,0.009152,0.123648,0.08161
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,52,0.0496,0,0.026291,0.005664,0.129579,0.081555
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,53,0.047392,0,0.02584,0.006336,0.122758,0.079568
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,54,0.047008,0,0.02547,0.006592,0.121729,0.07907
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,55,0.045696,0,0.025419,0.007872,0.121589,0.078987
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,56,0.047456,0,0.02618,0.006976,0.121518,0.080612
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,57,0.053312,0,0.0256,0.006112,0.125289,0.085024
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,58,0.15456,0,0.02571,0.007456,0.230197,0.187726
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,59,0.047328,0,0.02556,0.007392,0.125409,0.08028
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,60,0.05104,0,0.025419,0.006912,0.126799,0.083371
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,61,0.04592,0,0.02214,0.008096,0.109868,0.076156
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,62,0.04624,0,0.025419,0.006848,0.121279,0.078507
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,63,0.045472,0,0.02556,0.008416,0.120758,0.079448
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,64,0.045376,0,0.02526,0.005664,0.119818,0.0763
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,65,0.05216,0,0.02533,0.008032,0.127248,0.085522
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,66,0.050432,0,0.02576,0.007264,0.125959,0.083456
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,67,0.046816,0,0.025779,0.009056,0.124579,0.081651
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,68,0.04896,0,0.026139,0.005888,0.123359,0.080987
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,69,0.047424,0,0.025939,0.007552,0.123829,0.080915
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,70,0.045952,0,0.02601,0.007424,0.121819,0.079386
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,71,0.04576,0,0.02983,0.005536,0.125318,0.081126
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,72,0.04848,0,0.02564,0.007552,0.125528,0.081672
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,73,0.049152,0,0.025499,0.007392,0.124729,0.082043
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",192,74,0.05056,0,0.02417,0.007424,0.123249,0.082154
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",256,0,0.09216,0,0.028849,0.01168,0.180148,0.132689
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",256,1,0.062944,0,0.02346,0.009184,0.138318,0.095588
