dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | N | D",128,55,0.78928,0.00183,0.117079,0.018848,0.97523,0.927037
3,float,uniform,CPU,"D | D | D | D | N | D",128,56,0.7832,0.00154,0.117438,0.017376,0.97004,0.919554
3,float,uniform,CPU,"D | D | D | D | N | D",128,57,0.78144,0.001531,0.118069,0.017952,0.969959,0.918992
3,float,uniform,CPU,"D | D | D | D | N | D",128,58,0.769568,0.00162,0.116089,0.018624,0.954359,0.905901
3,float,uniform,CPU,"D | D | D | D | N | D",128,59,0.775392,0.001601,0.222857,0.018656,1.06747,1.01851
3,float,uniform,CPU,"D | D | D | D | N | D",128,60,0.776672,0.00152,0.116549,0.018336,0.96371,0.913077
3,float,uniform,CPU,"D | D | D | D | N | D",128,61,0.784384,0.0015,0.117529,0.018816,0.971189,0.922229
3,float,uniform,CPU,"D | D | D | D | N | D",128,62,0.779232,0.00163,0.260698,0.017984,1.10711,1.05954
3,float,uniform,CPU,"D | D | D | D | N | D",128,63,0.78,0.0016,0.11785,0.01696,0.9662,0.91641
3,float,uniform,CPU,"D | D | D | D | N | D",128,64,0.78912,0.001569,0.116599,0.01664,0.974719,0.923928
3,float,uniform,CPU,"D | D | D | D | N | D",128,65,0.79824,0.00153,0.117989,0.01968,0.984769,0.937439
3,float,uniform,CPU,"D | D | D | D | N | D",128,66,0.771168,0.00167,0.111259,0.020032,0.94681,0.904129
3,float,uniform,CPU,"D | D | D | D | N | D",128,67,0.781152,0.001561,0.116608,0.016512,0.96333,0.915833
3,float,uniform,CPU,"D | D | D | D | N | D",128,68,0.78336,0.001649,0.11582,0.01824,0.96702,0.919069
3,float,uniform,CPU,"D | D | D | D | N | D",128,69,0.913824,0.00158,0.116408,0.018336,1.09824,1.05015
3,float,uniform,CPU,"D | D | D | D | N | D",128,70,0.87168,0.0016,0.118207,0.019072,1.05943,1.01056
3,float,uniform,CPU,"D | D | D | D | N | D",128,71,0.779936,0.00191,0.115309,0.0192,0.96143,0.916355
3,float,uniform,CPU,"D | D | D | D | N | D",128,72,0.78928,0.00155,0.117139,0.017184,0.9753,0.925153
3,float,uniform,CPU,"D | D | D | D | N | D",128,73,0.778784,0.001499,0.116749,0.017216,0.963999,0.914248
3,float,uniform,CPU,"D | D | D | D | N | D",128,74,0.7888,0.00158,0.118419,0.01808,0.977369,0.926879
3,float,uniform,CPU,"D | D | D | D | N | D",192,0,2.94403,0.002001,0.321857,0.049696,3.38851,3.31759
3,float,uniform,CPU,"D | D | D | D | N | D",192,1,2.6031,0.00175,0.318206,0.046944,3.02476,2.97
3,float,uniform,CPU,"D | D | D | D | N | D",192,2,2.63222,0.00162,0.313907,0.04464,3.0449,2.99239
3,float,uniform,CPU,"D | D | D | D | N | D",192,3,2.56659,0.00181,0.321527,0.046528,2.99004,2.93646
3,float,uniform,CPU,"D | D | D | D | N | D",192,4,2.64618,0.00175,0.317207,0.044768,3.06363,3.0099
3,float,uniform,CPU,"D | D | D | D | N | D",192,5,2.6425,0.00185,0.315487,0.044192,3.05857,3.00402
3,float,uniform,CPU,"D | D | D | D | N | D",192,6,2.55434,0.002008,0.316585,0.047104,2.97284,2.92003
3,float,uniform,CPU,"D | D | D | D | N | D",192,7,2.6041,0.001648,0.316317,0.044608,3.02019,2.96667
3,float,uniform,CPU,"D | D | D | D | N | D",192,8,2.648,0.002,0.323396,0.049408,3.10501,3.0228
