dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"N | D | N | N | N | N",128,35,0.026304,0.00169,0.125059,0.020384,0.226327,0.173437
3,float,uniform,GPU,"N | D | N | N | N | N",128,36,0.026688,0.001531,0.124058,0.020608,0.225907,0.172885
3,float,uniform,GPU,"N | D | N | N | N | N",128,37,0.034624,0.001569,0.181946,0.019744,0.291257,0.237883
3,float,uniform,GPU,"N | D | N | N | N | N",128,38,0.02736,0.00149,0.12462,0.02016,0.227187,0.17363
3,float,uniform,GPU,"N | D | N | N | N | N",128,39,0.027136,0.00154,0.124779,0.018304,0.225197,0.171759
3,float,uniform,GPU,"N | D | N | N | N | N",128,40,0.026464,0.00152,0.123078,0.019488,0.223858,0.17055
3,float,uniform,GPU,"N | D | N | N | N | N",128,41,0.027296,0.00152,0.124538,0.019968,0.226918,0.173322
3,float,uniform,GPU,"N | D | N | N | N | N",128,42,0.03536,0.00158,0.116878,0.020576,0.221598,0.174394
3,float,uniform,GPU,"N | D | N | N | N | N",128,43,0.027264,0.001591,0.125658,0.018816,0.227007,0.173329
3,float,uniform,GPU,"N | D | N | N | N | N",128,44,0.02704,0.00158,0.124918,0.01904,0.227828,0.172578
3,float,uniform,GPU,"N | D | N | N | N | N",128,45,0.033504,0.001421,0.124068,0.020288,0.233327,0.179281
3,float,uniform,GPU,"N | D | N | N | N | N",128,46,0.027232,0.001589,0.212478,0.019328,0.315137,0.260627
3,float,uniform,GPU,"N | D | N | N | N | N",128,47,0.025792,0.00161,0.124599,0.020864,0.225048,0.172865
3,float,uniform,GPU,"N | D | N | N | N | N",128,48,0.027776,0.00152,0.124408,0.019776,0.226728,0.17348
3,float,uniform,GPU,"N | D | N | N | N | N",128,49,0.0264,0.0016,0.124598,0.020576,0.225837,0.173174
3,float,uniform,GPU,"N | D | N | N | N | N",128,50,0.027328,0.00162,0.124808,0.018816,0.227058,0.172572
3,float,uniform,GPU,"N | D | N | N | N | N",128,51,0.028896,0.001509,0.124819,0.021632,0.231257,0.176856
3,float,uniform,GPU,"N | D | N | N | N | N",128,52,0.028736,0.00154,0.124668,0.020096,0.228497,0.17504
3,float,uniform,GPU,"N | D | N | N | N | N",128,53,0.027232,0.0015,0.125259,0.020832,0.228177,0.174823
3,float,uniform,GPU,"N | D | N | N | N | N",128,54,0.029664,0.001621,0.12598,0.019264,0.230107,0.176529
3,float,uniform,GPU,"N | D | N | N | N | N",128,55,0.0272,0.00156,0.124588,0.018464,0.226518,0.171812
3,float,uniform,GPU,"N | D | N | N | N | N",128,56,0.027328,0.001511,0.123768,0.019008,0.225878,0.171615
3,float,uniform,GPU,"N | D | N | N | N | N",128,57,0.026944,0.00153,0.124458,0.019616,0.225647,0.172548
3,float,uniform,GPU,"N | D | N | N | N | N",128,58,0.026272,0.00149,0.124518,0.018848,0.224728,0.171128
3,float,uniform,GPU,"N | D | N | N | N | N",128,59,0.026592,0.00156,0.12502,0.019872,0.226138,0.173044
3,float,uniform,GPU,"N | D | N | N | N | N",128,60,0.043168,0.00225,0.135539,0.025856,0.262557,0.206813
3,float,uniform,GPU,"N | D | N | N | N | N",128,61,0.027808,0.00166,0.124389,0.019904,0.228177,0.173761
3,float,uniform,GPU,"N | D | N | N | N | N",128,62,0.026432,0.001579,0.12479,0.020384,0.226157,0.173185
3,float,uniform,GPU,"N | D | N | N | N | N",128,63,0.027552,0.00152,0.124058,0.01968,0.226068,0.17281
3,float,uniform,GPU,"N | D | N | N | N | N",128,64,0.028064,0.00155,0.125288,0.01984,0.227788,0.174742
3,float,uniform,GPU,"N | D | N | N | N | N",128,65,0.026784,0.00144,0.123567,0.0192,0.223458,0.170991
3,float,uniform,GPU,"N | D | N | N | N | N",128,66,0.026368,0.001629,0.124918,0.019392,0.400805,0.172307
3,float,uniform,GPU,"N | D | N | N | N | N",128,67,0.028064,0.00161,0.125209,0.020512,0.229267,0.175395
3,float,uniform,GPU,"N | D | N | N | N | N",128,68,0.028096,0.00163,0.124718,0.02,0.228237,0.174444
3,float,uniform,GPU,"N | D | N | N | N | N",128,69,0.02624,0.001601,0.124378,0.024608,0.230277,0.176827
3,float,uniform,GPU,"N | D | N | N | N | N",128,70,0.027552,0.00161,0.124688,0.019488,0.226578,0.173338
3,float,uniform,GPU,"N | D | N | N | N | N",128,71,0.02704,0.001529,0.124349,0.019936,0.226547,0.172854
3,float,uniform,GPU,"N | D | N | N | N | N",128,72,0.029472,0.00152,0.125439,0.02016,0.229778,0.176591
3,float,uniform,GPU,"N | D | N | N | N | N",128,73,0.035008,0.00162,0.124518,0.020448,0.234707,0.181594
3,float,uniform,GPU,"N | D | N | N | N | N",128,74,0.027264,0.00156,0.116698,0.020896,0.213968,0.166418
3,float,uniform,GPU,"N | D | N | N | N | N",192,0,0.062976,0.00187,0.718412,0.052032,0.891981,0.83529
3,float,uniform,GPU,"N | D | N | N | N | N",192,1,0.077568,0.00176,0.714303,0.051744,0.90223,0.845375
3,float,uniform,GPU,"N | D | N | N | N | N",192,2,0.067712,0.00185,0.709851,0.050656,0.88718,0.830069
3,float,uniform,GPU,"N | D | N | N | N | N",192,3,0.064416,0.001778,0.710982,0.050336,0.88359,0.827512
3,float,uniform,GPU,"N | D | N | N | N | N",192,4,0.053024,0.00161,0.705131,0.048128,0.86425,0.807893
3,float,uniform,GPU,"N | D | N | N | N | N",192,5,0.056064,0.00177,0.710261,0.048448,0.87234,0.816543
3,float,uniform,GPU,"N | D | N | N | N | N",192,6,0.050208,0.0017,0.703802,0.045824,0.860031,0.801534
3,float,uniform,GPU,"N | D | N | N | N | N",192,7,0.072448,0.00193,0.713362,0.051264,0.891299,0.839004
3,float,uniform,GPU,"N | D | N | N | N | N",192,8,0.053088,0.001691,0.704702,0.050176,0.86587,0.809657
3,float,uniform,GPU,"N | D | N | N | N | N",192,9,0.055104,0.001541,0.705254,0.049664,0.86745,0.811563
3,float,uniform,GPU,"N | D | N | N | N | N",192,10,0.067392,0.001791,0.709683,0.049312,0.89106,0.828178
3,float,uniform,GPU,"N | D | N | N | N | N",192,11,0.050816,0.0018,0.702632,0.045984,0.85636,0.801232
3,float,uniform,GPU,"N | D | N | N | N | N",192,12,0.069024,0.00186,0.713302,0.050432,0.89162,0.834618
3,float,uniform,GPU,"N | D | N | N | N | N",192,13,0.050976,0.001729,0.705753,0.049344,0.86622,0.807802
3,float,uniform,GPU,"N | D | N | N | N | N",192,14,0.0688,0.00184,0.716122,0.051264,0.8945,0.838026
3,float,uniform,GPU,"N | D | N | N | N | N",192,15,0.05664,0.00183,0.706612,0.051104,0.86944,0.816186
3,float,uniform,GPU,"N | D | N | N | N | N",192,16,0.057344,0.00166,0.711301,0.049568,0.87813,0.819873
3,float,uniform,GPU,"N | D | N | N | N | N",192,17,0.049184,0.00178,0.703042,0.048288,0.85695,0.802294
3,float,uniform,GPU,"N | D | N | N | N | N",192,18,0.066432,0.00189,0.717512,0.051616,0.89393,0.83745
3,float,uniform,GPU,"N | D | N | N | N | N",192,19,0.05808,0.001601,0.706742,0.048512,0.87036,0.814935
3,float,uniform,GPU,"N | D | N | N | N | N",192,20,0.062432,0.00175,0.708002,0.052352,0.880559,0.824536
3,float,uniform,GPU,"N | D | N | N | N | N",192,21,0.069344,0.00183,0.711771,0.05136,0.89098,0.834305
3,float,uniform,GPU,"N | D | N | N | N | N",192,22,0.056544,0.00164,0.704881,0.05056,0.87008,0.813625
3,float,uniform,GPU,"N | D | N | N | N | N",192,23,0.054912,0.001701,0.705702,0.049696,0.86885,0.812011
