dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,9,1.52566,0,0.509594,0.057984,2.14017,2.09324
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,10,1.54906,0,0.511494,0.06032,2.179,2.12087
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,11,1.55072,0,0.506264,0.06032,2.15881,2.1173
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,12,1.53725,0,0.509674,0.05984,2.15512,2.10676
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,13,1.55235,0,0.513234,0.063008,2.1967,2.12859
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,14,1.54419,0,0.510095,0.05888,2.16295,2.11317
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,15,1.51875,0,0.509104,0.060128,2.13445,2.08798
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,16,1.52522,0,0.509234,0.058496,2.1415,2.09295
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,17,1.5417,0,0.509864,0.05904,2.16158,2.1106
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,18,1.56429,0,0.510214,0.058112,2.17865,2.13261
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,19,1.53216,0,0.509764,0.057568,2.14983,2.09949
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,20,1.5401,0,0.574653,0.057984,2.2208,2.17273
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,21,1.56278,0,0.509434,0.059488,2.18235,2.13171
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,22,1.53168,0,0.509524,0.058016,2.14907,2.09922
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,23,1.5248,0,0.506934,0.060832,2.13621,2.09257
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,24,1.54288,0,0.520595,0.063392,2.20216,2.12687
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,25,1.62486,0,0.508984,0.05936,2.23998,2.19321
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,26,1.60608,0,0.509485,0.059488,2.22273,2.17505
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,27,1.53136,0,0.509865,0.059904,2.14951,2.10113
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,28,1.54269,0,0.513205,0.063328,2.19893,2.11922
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,29,1.54822,0,0.509874,0.059072,2.20882,2.11717
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,30,1.53558,0,0.510424,0.059328,2.1567,2.10534
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,31,1.54048,0,0.509885,0.05856,2.15903,2.10892
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,32,1.5223,0,0.511894,0.06112,2.14554,2.09532
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,33,1.53901,0,0.509094,0.058592,2.15614,2.10669
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,34,1.54026,0,0.509354,0.058304,2.15448,2.10791
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,35,1.53693,0,0.509164,0.058144,2.1533,2.10424
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,36,1.58986,0,0.514614,0.065664,2.24302,2.17013
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,37,1.56003,0,0.514494,0.063456,2.20771,2.13798
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,38,1.51302,0,0.508965,0.069632,2.13945,2.09162
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,39,1.52874,0,0.509065,0.0576,2.14257,2.0954
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,40,1.55171,0,0.509544,0.058688,2.17071,2.11994
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,41,1.53709,0,0.509504,0.06096,2.15625,2.10755
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,42,1.54611,0,0.509105,0.058464,2.16236,2.11368
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,43,1.53926,0,0.508336,0.060384,2.1563,2.10798
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,44,1.58374,0,0.514504,0.0632,2.23122,2.16145
