dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"D | N",192,51,0.012224,0,0.043749,0.005536,0.097399,0.061509
1,double,uniform,GPU,"D | N",192,52,0.011168,0,0.043509,0.008192,0.096679,0.062869
1,double,uniform,GPU,"D | N",192,53,0.010688,0,0.043199,0.007712,0.097049,0.061599
1,double,uniform,GPU,"D | N",192,54,0.012384,0,0.042819,0.007552,0.097579,0.062755
1,double,uniform,GPU,"D | N",192,55,0.012544,0,0.043079,0.00752,0.099259,0.063143
1,double,uniform,GPU,"D | N",192,56,0.010688,0,0.043119,0.007872,0.096949,0.061679
1,double,uniform,GPU,"D | N",192,57,0.01184,0,0.043069,0.007744,0.098729,0.062653
1,double,uniform,GPU,"D | N",192,58,0.011104,0,0.043229,0.006464,0.096379,0.060797
1,double,uniform,GPU,"D | N",192,59,0.012448,0,0.04412,0.008288,0.099369,0.064856
1,double,uniform,GPU,"D | N",192,60,0.010048,0,0.04335,0.010144,0.100319,0.063542
1,double,uniform,GPU,"D | N",192,61,0.00976,0,0.04077,0.007968,0.090879,0.058498
1,double,uniform,GPU,"D | N",192,62,0.011072,0,0.042939,0.00832,0.097699,0.062331
1,double,uniform,GPU,"D | N",192,63,0.011136,0,0.04374,0.005856,0.095409,0.060732
1,double,uniform,GPU,"D | N",192,64,0.010272,0,0.0431,0.007136,0.095459,0.060508
1,double,uniform,GPU,"D | N",192,65,0.01248,0,0.043119,0.007008,0.096459,0.062607
1,double,uniform,GPU,"D | N",192,66,0.009856,0,0.04923,0.006976,0.102869,0.066062
1,double,uniform,GPU,"D | N",192,67,0.011648,0,0.043039,0.007776,0.097579,0.062463
1,double,uniform,GPU,"D | N",192,68,0.011872,0,0.04221,0.008896,0.097629,0.062978
1,double,uniform,GPU,"D | N",192,69,0.01168,0,0.04324,0.007424,0.098839,0.062344
1,double,uniform,GPU,"D | N",192,70,0.012992,0,0.04354,0.00768,0.100019,0.064212
1,double,uniform,GPU,"D | N",192,71,0.013248,0,0.044009,0.008736,0.101319,0.065993
1,double,uniform,GPU,"D | N",192,72,0.0104,0,0.0433,0.007648,0.097039,0.061348
1,double,uniform,GPU,"D | N",192,73,0.011104,0,0.04339,0.00656,0.094879,0.061054
1,double,uniform,GPU,"D | N",192,74,0.011808,0,0.04264,0.006752,0.093359,0.0612
1,double,uniform,GPU,"D | N",256,0,0.022912,0,0.039918,0.010688,0.115469,0.073518
1,double,uniform,GPU,"D | N",256,1,0.011744,0,0.03595,0.008032,0.093669,0.055726
1,double,uniform,GPU,"D | N",256,2,0.009536,0,0.035749,0.008448,0.088679,0.053733
1,double,uniform,GPU,"D | N",256,3,0.010976,0,0.035619,0.007872,0.087989,0.054467
1,double,uniform,GPU,"D | N",256,4,0.01136,0,0.035818,0.00752,0.089329,0.054698
1,double,uniform,GPU,"D | N",256,5,0.008352,0,0.03539,0.00848,0.08636,0.052222
1,double,uniform,GPU,"D | N",256,6,0.01248,0,0.03585,0.00704,0.088309,0.05537
1,double,uniform,GPU,"D | N",256,7,0.01184,0,0.035659,0.00864,0.090899,0.056139
1,double,uniform,GPU,"D | N",256,8,0.0128,0,0.03523,0.007872,0.090669,0.055902
1,double,uniform,GPU,"D | N",256,9,0.010816,0,0.035499,0.009536,0.089939,0.055851
1,double,uniform,GPU,"D | N",256,10,0.010784,0,0.035589,0.009664,0.090729,0.056037
1,double,uniform,GPU,"D | N",256,11,0.011744,0,0.032489,0.009792,0.084979,0.054025
1,double,uniform,GPU,"D | N",256,12,0.013472,0,0.03575,0.009376,0.094148,0.058598
1,double,uniform,GPU,"D | N",256,13,0.01168,0,0.03561,0.008352,0.090509,0.055642
1,double,uniform,GPU,"D | N",256,14,0.011488,0,0.03569,0.008544,0.096499,0.055722
1,double,uniform,GPU,"D | N",256,15,0.010976,0,0.035689,0.00704,0.177618,0.053705
1,double,uniform,GPU,"D | N",256,16,0.014368,0,0.035629,0.008416,0.094459,0.058413
1,double,uniform,GPU,"D | N",256,17,0.011616,0,0.036109,0.008224,0.090839,0.055949
1,double,uniform,GPU,"D | N",256,18,0.010752,0,0.036539,0.009312,0.091219,0.056603
1,double,uniform,GPU,"D | N",256,19,0.011616,0,0.03542,0.008768,0.089889,0.055804
1,double,uniform,GPU,"D | N",256,20,0.010176,0,0.03578,0.008224,0.089769,0.05418
1,double,uniform,GPU,"D | N",256,21,0.010432,0,0.03548,0.007008,0.086109,0.05292
1,double,uniform,GPU,"D | N",256,22,0.013216,0,0.035339,0.008384,0.093759,0.056939
