dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,32,0.108352,0.001789,1.80893,0.33232,2.31696,2.25139
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,33,0.10928,0.00178,1.8157,0.33232,2.32546,2.25908
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,34,0.109216,0.00178,1.81898,0.336256,2.33185,2.26623
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,35,0.113248,0.00204,1.80914,0.334944,2.32456,2.25937
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,36,0.110592,0.00194,1.80537,0.334048,2.31728,2.25195
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,37,0.112256,0.00196,1.80453,0.328512,2.31933,2.24726
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,38,0.1112,0.0021,1.80646,0.33248,2.31922,2.25224
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,39,0.114176,0.00208,1.80092,0.331872,2.31117,2.24905
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,40,0.11088,0.00191,1.80584,0.329664,2.31433,2.24829
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,41,0.1136,0.002291,1.81008,0.334592,2.32683,2.26056
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,42,0.114624,0.00206,1.80493,0.332992,2.3192,2.2546
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,43,0.111968,0.0019,1.80416,0.331264,2.31441,2.24929
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,44,0.113664,0.002131,1.80605,0.332736,2.32127,2.25458
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,45,0.111296,0.00209,1.8159,0.333952,2.32832,2.26324
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,46,0.109984,0.00194,1.80522,0.329984,2.31334,2.24713
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,47,0.12384,0.00217,1.81428,0.336192,2.34301,2.27648
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,48,0.115232,0.00229,1.8073,0.3328,2.32445,2.25762
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,49,0.113472,0.002061,1.81688,0.333952,2.33223,2.26636
