dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,41,0.017472,0.00147,0.077248,0.031648,0.188407,0.127838
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,42,0.02,0.00145,0.07507,0.028512,0.184548,0.125032
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,43,0.016768,0.00152,0.075938,0.029984,0.184907,0.12421
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,44,0.020384,0.00151,0.076149,0.029504,0.188758,0.127547
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,45,0.024512,0.00139,0.077099,0.02944,0.193778,0.132441
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,46,0.01952,0.00144,0.075379,0.027744,0.184538,0.124083
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,47,0.026912,0.00153,0.076039,0.03184,0.196808,0.136321
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,48,0.019744,0.00159,0.076758,0.030688,0.189588,0.12878
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,49,0.025216,0.00148,0.076489,0.0288,0.193458,0.131985
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,50,0.017344,0.001511,0.075969,0.030048,0.185268,0.124872
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,51,0.018112,0.001651,0.07656,0.027456,0.184908,0.123779
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,52,0.018112,0.001459,0.076809,0.030112,0.186478,0.126492
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,53,0.027552,0.00143,0.069579,0.0296,0.181118,0.128161
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,54,0.01744,0.001441,0.076209,0.029024,0.187098,0.124114
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,55,0.017792,0.00143,0.07545,0.029984,0.184098,0.124656
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,56,0.016896,0.00149,0.075899,0.028672,0.188658,0.122957
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,57,0.019584,0.001581,0.076119,0.036128,0.193968,0.133412
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,58,0.0184,0.001581,0.075388,0.03136,0.187167,0.126729
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,59,0.024512,0.00141,0.07581,0.031584,0.193678,0.133316
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,60,0.017248,0.00156,0.0762,0.03008,0.185588,0.125088
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,61,0.018912,0.00148,0.077068,0.031712,0.190677,0.129172
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,62,0.026048,0.001508,0.075348,0.030048,0.192858,0.132952
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,63,0.02512,0.001659,0.074619,0.029824,0.190038,0.131222
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,64,0.017824,0.00152,0.07539,0.027712,0.183208,0.122446
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,65,0.02384,0.00148,0.076809,0.029184,0.192228,0.131313
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,66,0.027072,0.00149,0.075649,0.029472,0.193678,0.133683
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,67,0.017216,0.001551,0.075788,0.029344,0.183948,0.123899
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,68,0.019968,0.00154,0.07718,0.030368,0.189568,0.129056
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,69,0.017568,0.00144,0.075979,0.029984,0.186138,0.124971
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,70,0.017248,0.00149,0.07672,0.03056,0.186378,0.126018
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,71,0.026432,0.001519,0.076519,0.028832,0.195968,0.133302
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,72,0.019136,0.00145,0.068729,0.031872,0.175408,0.121187
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,73,0.01936,0.00165,0.07694,0.029664,0.189098,0.127614
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",128,74,0.026144,0.001491,0.076079,0.028032,0.194078,0.131746
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,0,0.06464,0.00208,0.164897,0.077376,0.373526,0.308993
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,1,0.070496,0.00207,0.177996,0.083904,0.399626,0.334466
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,2,0.070912,0.00205,0.16608,0.081376,0.383356,0.320418
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,3,0.053568,0.001749,0.161758,0.077504,0.358266,0.294579
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,4,0.05872,0.001801,0.163839,0.08064,0.367376,0.305
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,5,0.065696,0.00218,0.157766,0.084864,0.365886,0.310506
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,6,0.055296,0.00174,0.164296,0.08064,0.366626,0.301972
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,7,0.052928,0.00175,0.162567,0.080288,0.360916,0.297533
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,8,0.071904,0.002371,0.166969,0.083072,0.389196,0.324316
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,9,0.07216,0.00222,0.167379,0.082976,0.389076,0.324735
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,10,0.057216,0.001909,0.163489,0.08032,0.367836,0.302934
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,11,0.078112,0.00232,0.163887,0.084736,0.390295,0.329055
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,12,0.0736,0.002201,0.209358,0.084448,0.434445,0.369607
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,13,0.055904,0.00169,0.158117,0.078592,0.352036,0.294303
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,14,0.05264,0.00191,0.161639,0.076736,0.357587,0.292925
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,15,0.073088,0.0023,0.16669,0.084896,0.390996,0.326974
