dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"N | D | N | N | N | N",192,15,2.59018,0.001469,0.712572,0.046496,3.40292,3.35071
3,float,uniform,CPU,"N | D | N | N | N | N",192,16,2.58986,0.0015,0.710741,0.045312,3.39728,3.34741
3,float,uniform,CPU,"N | D | N | N | N | N",192,17,2.55581,0.00196,0.709401,0.046144,3.36281,3.31331
3,float,uniform,CPU,"N | D | N | N | N | N",192,18,2.5712,0.00184,0.714132,0.045568,3.38561,3.33274
3,float,uniform,CPU,"N | D | N | N | N | N",192,19,2.62243,0.00173,0.713672,0.04768,3.43583,3.38551
3,float,uniform,CPU,"N | D | N | N | N | N",192,20,2.55654,0.00156,0.714593,0.045664,3.37065,3.31836
3,float,uniform,CPU,"N | D | N | N | N | N",192,21,2.59408,0.00136,0.712012,0.046368,3.40261,3.35382
3,float,uniform,CPU,"N | D | N | N | N | N",192,22,2.54467,0.0019,0.710323,0.044256,3.34877,3.30115
3,float,uniform,CPU,"N | D | N | N | N | N",192,23,2.60314,0.00193,0.724402,0.051328,3.45308,3.3808
3,float,uniform,CPU,"N | D | N | N | N | N",192,24,2.56925,0.001909,0.724772,0.052448,3.42125,3.34838
3,float,uniform,CPU,"N | D | N | N | N | N",192,25,2.572,0.00167,0.714813,0.050784,3.38691,3.33927
3,float,uniform,CPU,"N | D | N | N | N | N",192,26,2.56867,0.00147,0.711472,0.045248,3.37944,3.32686
3,float,uniform,CPU,"N | D | N | N | N | N",192,27,2.56816,0.00141,0.709942,0.04656,3.37509,3.32607
3,float,uniform,CPU,"N | D | N | N | N | N",192,28,2.56387,0.00171,0.709583,0.04816,3.37088,3.32332
3,float,uniform,CPU,"N | D | N | N | N | N",192,29,2.76022,0.00213,0.723772,0.051968,3.61632,3.53809
3,float,uniform,CPU,"N | D | N | N | N | N",192,30,2.60266,0.00187,0.715221,0.048544,3.42424,3.36829
3,float,uniform,CPU,"N | D | N | N | N | N",192,31,2.58493,0.001769,0.712962,0.048064,3.39938,3.34772
3,float,uniform,CPU,"N | D | N | N | N | N",192,32,2.56387,0.001589,0.709783,0.048384,3.37247,3.32363
3,float,uniform,CPU,"N | D | N | N | N | N",192,33,2.57498,0.00181,0.709231,0.04624,3.38035,3.33226
3,float,uniform,CPU,"N | D | N | N | N | N",192,34,2.5599,0.00153,0.712961,0.04624,3.37334,3.32064
3,float,uniform,CPU,"N | D | N | N | N | N",192,35,2.58326,0.0019,0.712601,0.048896,3.39626,3.34666
3,float,uniform,CPU,"N | D | N | N | N | N",192,36,2.59846,0.00157,0.712342,0.046112,3.40858,3.35849
3,float,uniform,CPU,"N | D | N | N | N | N",192,37,2.59398,0.00145,0.708552,0.046048,3.39838,3.35003
3,float,uniform,CPU,"N | D | N | N | N | N",192,38,2.56077,0.00189,0.710452,0.046752,3.36799,3.31986
3,float,uniform,CPU,"N | D | N | N | N | N",192,39,2.57206,0.00141,0.708722,0.046016,3.3776,3.32821
3,float,uniform,CPU,"N | D | N | N | N | N",192,40,2.58858,0.00156,0.714962,0.04608,3.40108,3.35118
3,float,uniform,CPU,"N | D | N | N | N | N",192,41,2.56234,0.00157,0.709552,0.045632,3.36793,3.31909
3,float,uniform,CPU,"N | D | N | N | N | N",192,42,2.59091,0.0015,0.710233,0.048256,3.3995,3.3509
3,float,uniform,CPU,"N | D | N | N | N | N",192,43,2.54701,0.00178,0.707841,0.04672,3.35154,3.30335
3,float,uniform,CPU,"N | D | N | N | N | N",192,44,2.65395,0.00166,0.713361,0.046048,3.47195,3.41502
3,float,uniform,CPU,"N | D | N | N | N | N",192,45,2.63965,0.00175,0.715113,0.04624,3.45303,3.40275
3,float,uniform,CPU,"N | D | N | N | N | N",192,46,2.73088,0.00164,0.711812,0.049344,3.54348,3.49368
3,float,uniform,CPU,"N | D | N | N | N | N",192,47,2.57283,0.001441,0.714702,0.045792,3.38799,3.33477
3,float,uniform,CPU,"N | D | N | N | N | N",192,48,2.55475,0.00203,0.724001,0.051808,3.40283,3.33259
3,float,uniform,CPU,"N | D | N | N | N | N",192,49,2.53718,0.0017,0.708612,0.047072,3.3429,3.29457
3,float,uniform,CPU,"N | D | N | N | N | N",192,50,2.74176,0.00185,0.714873,0.050464,3.56205,3.50895
3,float,uniform,CPU,"N | D | N | N | N | N",192,51,2.6336,0.001951,0.711392,0.048576,3.4466,3.39552
3,float,uniform,CPU,"N | D | N | N | N | N",192,52,2.60723,0.00168,0.709012,0.04512,3.40972,3.36304
3,float,uniform,CPU,"N | D | N | N | N | N",192,53,2.59242,0.00144,0.715932,0.047776,3.40854,3.35756
3,float,uniform,CPU,"N | D | N | N | N | N",192,54,2.58099,0.001451,0.708612,0.04624,3.38586,3.3373
3,float,uniform,CPU,"N | D | N | N | N | N",192,55,2.56662,0.001812,0.708614,0.046912,3.376,3.32396
3,float,uniform,CPU,"N | D | N | N | N | N",192,56,2.56045,0.00178,0.712462,0.046688,3.37115,3.32138
3,float,uniform,CPU,"N | D | N | N | N | N",192,57,2.59536,0.00166,0.711942,0.047744,3.40435,3.35671
3,float,uniform,CPU,"N | D | N | N | N | N",192,58,2.55734,0.00156,0.715401,0.047488,3.37335,3.32179
3,float,uniform,CPU,"N | D | N | N | N | N",192,59,2.55302,0.00144,0.710142,0.048,3.36293,3.31261
3,float,uniform,CPU,"N | D | N | N | N | N",192,60,2.5744,0.00179,0.707132,0.046176,3.37624,3.3295
3,float,uniform,CPU,"N | D | N | N | N | N",192,61,2.6112,0.001799,0.710754,0.047008,3.42386,3.37076
3,float,uniform,CPU,"N | D | N | N | N | N",192,62,2.57715,0.00201,0.717772,0.052064,3.41744,3.349
3,float,uniform,CPU,"N | D | N | N | N | N",192,63,2.58541,0.00144,0.712411,0.047008,3.39845,3.34627
3,float,uniform,CPU,"N | D | N | N | N | N",192,64,2.56563,0.00153,0.711281,0.047072,3.37438,3.32551
3,float,uniform,CPU,"N | D | N | N | N | N",192,65,2.56192,0.00182,0.710902,0.045568,3.37595,3.32021
3,float,uniform,CPU,"N | D | N | N | N | N",192,66,2.56214,0.001609,0.708691,0.04656,3.36971,3.319
3,float,uniform,CPU,"N | D | N | N | N | N",192,67,2.63622,0.00163,0.715122,0.046336,3.44876,3.39931
3,float,uniform,CPU,"N | D | N | N | N | N",192,68,2.55603,0.00156,0.708522,0.048416,3.36087,3.31453
3,float,uniform,CPU,"N | D | N | N | N | N",192,69,2.57347,0.00142,0.711962,0.046272,3.38382,3.33313
3,float,uniform,CPU,"N | D | N | N | N | N",192,70,2.56659,0.001778,0.711512,0.046784,3.37664,3.32667
3,float,uniform,CPU,"N | D | N | N | N | N",192,71,2.55866,0.00169,0.717322,0.045408,3.37492,3.32308
3,float,uniform,CPU,"N | D | N | N | N | N",192,72,2.58576,0.00161,0.712313,0.04688,3.39662,3.34656
3,float,uniform,CPU,"N | D | N | N | N | N",192,73,2.54301,0.00143,0.705062,0.047136,3.33875,3.29664
3,float,uniform,CPU,"N | D | N | N | N | N",192,74,2.55533,0.00143,0.710582,0.045952,3.36406,3.31329
3,float,uniform,CPU,"N | D | N | N | N | N",256,0,7.02547,0.0023,0.576993,0.100992,7.7793,7.70576
3,float,uniform,CPU,"N | D | N | N | N | N",256,1,6.53917,0.0022,0.578344,0.09984,7.27893,7.21955
3,float,uniform,CPU,"N | D | N | N | N | N",256,2,6.46138,0.0019,0.574354,0.100192,7.19511,7.13782
3,float,uniform,CPU,"N | D | N | N | N | N",256,3,6.5399,0.00211,0.575683,0.100352,7.27381,7.21805
3,float,uniform,CPU,"N | D | N | N | N | N",256,4,6.4385,0.00205,0.574504,0.101312,7.1747,7.11636
