dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"N | N",192,44,0.029376,0,0.02057,0.005024,0.095828,0.05497
1,float,uniform,CPU,"N | N",192,45,0.028032,0,0.020309,0.005568,0.092429,0.053909
1,float,uniform,CPU,"N | N",192,46,0.029184,0,0.021169,0.005344,0.093999,0.055697
1,float,uniform,CPU,"N | N",192,47,0.034016,0,0.02041,0.005408,0.099959,0.059834
1,float,uniform,CPU,"N | N",192,48,0.031776,0,0.02085,0.006016,0.097239,0.058642
1,float,uniform,CPU,"N | N",192,49,0.028544,0,0.017209,0.01392,0.091779,0.059673
1,float,uniform,CPU,"N | N",192,50,0.02944,0,0.0205,0.005664,0.095869,0.055604
1,float,uniform,CPU,"N | N",192,51,0.0296,0,0.02056,0.004352,0.093608,0.054512
1,float,uniform,CPU,"N | N",192,52,0.028704,0,0.021629,0.004992,0.093629,0.055325
1,float,uniform,CPU,"N | N",192,53,0.028672,0,0.020449,0.005152,0.093879,0.054273
1,float,uniform,CPU,"N | N",192,54,0.030432,0,0.020619,0.005664,0.095239,0.056715
1,float,uniform,CPU,"N | N",192,55,0.031616,0,0.02079,0.006944,0.09769,0.05935
1,float,uniform,CPU,"N | N",192,56,0.032128,0,0.02061,0.004704,0.101429,0.057442
1,float,uniform,CPU,"N | N",192,57,0.030464,0,0.020589,0.007104,0.096789,0.058157
1,float,uniform,CPU,"N | N",192,58,0.029024,0,0.02056,0.005312,0.092648,0.054896
1,float,uniform,CPU,"N | N",192,59,0.027552,0,0.020489,0.005088,0.091509,0.053129
1,float,uniform,CPU,"N | N",192,60,0.031232,0,0.02105,0.004704,0.09759,0.056986
1,float,uniform,CPU,"N | N",192,61,0.02912,0,0.02059,0.005632,0.094589,0.055342
1,float,uniform,CPU,"N | N",192,62,0.028224,0,0.02065,0.004384,0.100829,0.053258
1,float,uniform,CPU,"N | N",192,63,0.030656,0,0.02042,0.006848,0.104669,0.057924
1,float,uniform,CPU,"N | N",192,64,0.03024,0,0.020558,0.005632,0.095529,0.05643
1,float,uniform,CPU,"N | N",192,65,0.030368,0,0.02062,0.00448,0.094309,0.055468
1,float,uniform,CPU,"N | N",192,66,0.030304,0,0.02102,0.00544,0.095259,0.056764
1,float,uniform,CPU,"N | N",192,67,0.030176,0,0.02043,0.004384,0.097359,0.05499
1,float,uniform,CPU,"N | N",192,68,0.034528,0,0.02083,0.006656,0.102659,0.062014
1,float,uniform,CPU,"N | N",192,69,0.029024,0,0.02159,0.004736,0.094348,0.05535
1,float,uniform,CPU,"N | N",192,70,0.028512,0,0.02058,0.0072,0.096359,0.056292
1,float,uniform,CPU,"N | N",192,71,0.029376,0,0.020669,0.005248,0.092469,0.055293
1,float,uniform,CPU,"N | N",192,72,0.030688,0,0.02121,0.007392,0.097908,0.05929
1,float,uniform,CPU,"N | N",192,73,0.033696,0,0.020409,0.005792,0.100989,0.059897
1,float,uniform,CPU,"N | N",192,74,0.030112,0,0.01761,0.007232,0.0871,0.054954
1,float,uniform,CPU,"N | N",256,0,0.0608,0,0.02396,0.011136,0.141378,0.095896
1,float,uniform,CPU,"N | N",256,1,0.030848,0,0.01999,0.005216,0.094429,0.056054
1,float,uniform,CPU,"N | N",256,2,0.030656,0,0.019909,0.005472,0.095929,0.056037
1,float,uniform,CPU,"N | N",256,3,0.029728,0,0.02004,0.00592,0.094099,0.055688
