dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,28,1.56112,0.00167,0.486254,0.096096,2.20504,2.14514
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,29,1.52986,0.00161,0.486485,0.095168,2.17312,2.11312
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,30,1.55024,0.00226,0.494894,0.099936,2.23176,2.14733
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,31,1.57155,0.001659,0.484225,0.09584,2.21212,2.15328
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,32,1.53091,0.00173,0.487085,0.095904,2.17493,2.11563
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,33,1.52918,0.001779,0.485444,0.094496,2.17173,2.1109
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,34,1.56128,0.001891,0.487005,0.096448,2.20431,2.14662
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,35,1.50698,0.00167,0.485935,0.094944,2.149,2.08952
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,36,1.5473,0.001641,0.485765,0.093088,2.18873,2.12779
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,37,1.58256,0.00161,0.487435,0.096832,2.22746,2.16844
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,38,1.57504,0.00166,0.486855,0.095072,2.22002,2.15863
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,39,1.52262,0.00163,0.484655,0.094624,2.16057,2.10353
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,40,1.61366,0.00193,0.487464,0.093664,2.25572,2.19672
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,41,1.52486,0.001672,0.487985,0.096288,2.17129,2.11081
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,42,1.5295,0.00165,0.487265,0.094816,2.17449,2.11323
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,43,1.55075,0.00211,0.493595,0.100576,2.23346,2.14703
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,44,1.51907,0.001831,0.486696,0.095808,2.16185,2.10341
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,45,1.52451,0.001719,0.485625,0.095104,2.16614,2.10696
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,46,1.52634,0.00164,0.485224,0.096128,2.16687,2.10933
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,47,1.54461,0.001708,0.487245,0.09696,2.19221,2.13052
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,48,1.56432,0.00169,0.486134,0.093088,2.20394,2.14523
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,49,1.58403,0.00187,0.486605,0.093664,2.22606,2.16617
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,50,1.5215,0.001789,0.482224,0.097024,2.15629,2.10254
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,51,1.56416,0.0017,0.486725,0.096032,2.2068,2.14862
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,52,1.52019,0.00189,0.484704,0.096,2.16235,2.10279
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,53,1.5217,0.00164,0.484665,0.09264,2.15909,2.10064
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,54,1.53139,0.001759,0.485476,0.094144,2.17454,2.11277
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,55,1.52838,0.001671,0.485054,0.092736,2.166,2.10785
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,56,1.53318,0.00165,0.486415,0.095008,2.17685,2.11626
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,57,1.60403,0.00164,0.486006,0.093344,2.24628,2.18502
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,58,1.57843,0.00161,0.485854,0.092928,2.22338,2.15882
