dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,GPU,"P | P | P | P",128,74,0.013472,0,0.02241,0.014656,0.092138,0.050538
2,float,uniform,GPU,"P | P | P | P",192,0,0.022784,0,0.0296,0.023232,0.126409,0.075616
2,float,uniform,GPU,"P | P | P | P",192,1,0.015392,0,0.0239,0.011968,0.095009,0.05126
2,float,uniform,GPU,"P | P | P | P",192,2,0.01264,0,0.02367,0.013792,0.091849,0.050102
2,float,uniform,GPU,"P | P | P | P",192,3,0.015104,0,0.02328,0.014144,0.095589,0.052528
2,float,uniform,GPU,"P | P | P | P",192,4,0.01264,0,0.023599,0.012832,0.093199,0.049071
2,float,uniform,GPU,"P | P | P | P",192,5,0.013216,0,0.023789,0.01392,0.092729,0.050925
2,float,uniform,GPU,"P | P | P | P",192,6,0.014752,0,0.023759,0.012384,0.092699,0.050895
2,float,uniform,GPU,"P | P | P | P",192,7,0.0128,0,0.02064,0.015008,0.083079,0.048448
2,float,uniform,GPU,"P | P | P | P",192,8,0.01136,0,0.02356,0.014272,0.091069,0.049192
2,float,uniform,GPU,"P | P | P | P",192,9,0.012672,0,0.02368,0.014944,0.093429,0.051296
2,float,uniform,GPU,"P | P | P | P",192,10,0.01184,0,0.023199,0.012768,0.089239,0.047807
2,float,uniform,GPU,"P | P | P | P",192,11,0.014016,0,0.0233,0.014816,0.094199,0.052132
2,float,uniform,GPU,"P | P | P | P",192,12,0.012192,0,0.03017,0.014848,0.098829,0.05721
2,float,uniform,GPU,"P | P | P | P",192,13,0.011488,0,0.02389,0.013024,0.090399,0.048402
2,float,uniform,GPU,"P | P | P | P",192,14,0.01248,0,0.02344,0.014912,0.092689,0.050832
2,float,uniform,GPU,"P | P | P | P",192,15,0.012704,0,0.02319,0.015072,0.093019,0.050966
2,float,uniform,GPU,"P | P | P | P",192,16,0.013088,0,0.02328,0.014272,0.092579,0.05064
2,float,uniform,GPU,"P | P | P | P",192,17,0.011968,0,0.02384,0.012704,0.089809,0.048512
2,float,uniform,GPU,"P | P | P | P",192,18,0.01264,0,0.023251,0.014272,0.092649,0.050163
2,float,uniform,GPU,"P | P | P | P",192,19,0.015296,0,0.02529,0.014176,0.095459,0.054762
2,float,uniform,GPU,"P | P | P | P",192,20,0.012128,0,0.02359,0.011456,0.089609,0.047174
2,float,uniform,GPU,"P | P | P | P",192,21,0.012256,0,0.024459,0.014144,0.092789,0.050859
2,float,uniform,GPU,"P | P | P | P",192,22,0.012928,0,0.0237,0.013376,0.091439,0.050004
2,float,uniform,GPU,"P | P | P | P",192,23,0.014528,0,0.02355,0.014368,0.094519,0.052446
2,float,uniform,GPU,"P | P | P | P",192,24,0.014784,0,0.023509,0.013088,0.098699,0.051381
2,float,uniform,GPU,"P | P | P | P",192,25,0.011872,0,0.02361,0.014272,0.091579,0.049754
2,float,uniform,GPU,"P | P | P | P",192,26,0.013024,0,0.02381,0.014944,0.093299,0.051778
2,float,uniform,GPU,"P | P | P | P",192,27,0.01248,0,0.023689,0.013344,0.091149,0.049513
2,float,uniform,GPU,"P | P | P | P",192,28,0.013216,0,0.0235,0.01376,0.093019,0.050476
