dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"Ns | Ds",192,2,0.013312,0,0.04721,0.007584,0.103719,0.068106
1,double,uniform,GPU,"Ns | Ds",192,3,0.010976,0,0.047619,0.009536,0.102069,0.068131
1,double,uniform,GPU,"Ns | Ds",192,4,0.013344,0,0.047179,0.018016,0.114859,0.078539
1,double,uniform,GPU,"Ns | Ds",192,5,0.01392,0,0.047359,0.006784,0.104479,0.068063
1,double,uniform,GPU,"Ns | Ds",192,6,0.012768,0,0.04432,0.009248,0.095069,0.066336
1,double,uniform,GPU,"Ns | Ds",192,7,0.013152,0,0.047119,0.007776,0.101019,0.068047
1,double,uniform,GPU,"Ns | Ds",192,8,0.014176,0,0.04756,0.008288,0.103039,0.070024
1,double,uniform,GPU,"Ns | Ds",192,9,0.013184,0,0.04726,0.009152,0.103328,0.069596
1,double,uniform,GPU,"Ns | Ds",192,10,0.012576,0,0.047909,0.006688,0.100539,0.067173
1,double,uniform,GPU,"Ns | Ds",192,11,0.013536,0,0.04825,0.007232,0.103869,0.069018
1,double,uniform,GPU,"Ns | Ds",192,12,0.013888,0,0.04696,0.009536,0.110689,0.070384
1,double,uniform,GPU,"Ns | Ds",192,13,0.012128,0,0.047409,0.010944,0.105119,0.070481
1,double,uniform,GPU,"Ns | Ds",192,14,0.012384,0,0.047219,0.009184,0.102729,0.068787
1,double,uniform,GPU,"Ns | Ds",192,15,0.012768,0,0.04731,0.009696,0.104659,0.069774
1,double,uniform,GPU,"Ns | Ds",192,16,0.01248,0,0.047239,0.009888,0.103569,0.069607
1,double,uniform,GPU,"Ns | Ds",192,17,0.013728,0,0.047649,0.009664,0.104879,0.071041
1,double,uniform,GPU,"Ns | Ds",192,18,0.011424,0,0.04785,0.00848,0.100269,0.067754
1,double,uniform,GPU,"Ns | Ds",192,19,0.012832,0,0.048019,0.010048,0.105649,0.070899
1,double,uniform,GPU,"Ns | Ds",192,20,0.012704,0,0.04735,0.00832,0.101959,0.068374
1,double,uniform,GPU,"Ns | Ds",192,21,0.012992,0,0.04722,0.007424,0.100569,0.067636
1,double,uniform,GPU,"Ns | Ds",192,22,0.013824,0,0.047519,0.0064,0.101239,0.067743
1,double,uniform,GPU,"Ns | Ds",192,23,0.013312,0,0.04734,0.010208,0.104589,0.07086
1,double,uniform,GPU,"Ns | Ds",192,24,0.015616,0,0.047319,0.007808,0.105519,0.070743
1,double,uniform,GPU,"Ns | Ds",192,25,0.01376,0,0.04334,0.008,0.093689,0.0651
1,double,uniform,GPU,"Ns | Ds",192,26,0.011936,0,0.04687,0.006528,0.099129,0.065334
1,double,uniform,GPU,"Ns | Ds",192,27,0.0128,0,0.04749,0.008416,0.102528,0.068706
1,double,uniform,GPU,"Ns | Ds",192,28,0.013536,0,0.047059,0.008256,0.103449,0.068851
1,double,uniform,GPU,"Ns | Ds",192,29,0.014144,0,0.052059,0.007744,0.109619,0.073947
1,double,uniform,GPU,"Ns | Ds",192,30,0.012384,0,0.04777,0.007808,0.101059,0.067962
1,double,uniform,GPU,"Ns | Ds",192,31,0.013248,0,0.04754,0.007872,0.103219,0.06866
1,double,uniform,GPU,"Ns | Ds",192,32,0.011584,0,0.047409,0.006048,0.100399,0.065041
1,double,uniform,GPU,"Ns | Ds",192,33,0.013056,0,0.04699,0.006592,0.099139,0.066638
1,double,uniform,GPU,"Ns | Ds",192,34,0.013088,0,0.0474,0.007008,0.102309,0.067496
1,double,uniform,GPU,"Ns | Ds",192,35,0.012448,0,0.04722,0.007776,0.100349,0.067444
1,double,uniform,GPU,"Ns | Ds",192,36,0.012896,0,0.04832,0.009216,0.106349,0.070432
1,double,uniform,GPU,"Ns | Ds",192,37,0.012928,0,0.047359,0.009152,0.103819,0.069439
1,double,uniform,GPU,"Ns | Ds",192,38,0.018272,0,0.04857,0.007648,0.109249,0.07449
1,double,uniform,GPU,"Ns | Ds",192,39,0.01296,0,0.04752,0.009888,0.104319,0.070368
1,double,uniform,GPU,"Ns | Ds",192,40,0.016448,0,0.04699,0.010496,0.108048,0.073934
1,double,uniform,GPU,"Ns | Ds",192,41,0.012576,0,0.047209,0.008416,0.101629,0.068201
1,double,uniform,GPU,"Ns | Ds",192,42,0.014336,0,0.04736,0.008352,0.105018,0.070048
1,double,uniform,GPU,"Ns | Ds",192,43,0.013408,0,0.047549,0.010112,0.107469,0.071069
1,double,uniform,GPU,"Ns | Ds",192,44,0.01232,0,0.04475,0.009344,0.178718,0.066414
1,double,uniform,GPU,"Ns | Ds",192,45,0.0128,0,0.047909,0.010464,0.104779,0.071173
1,double,uniform,GPU,"Ns | Ds",192,46,0.011808,0,0.04762,0.008704,0.101598,0.068132
1,double,uniform,GPU,"Ns | Ds",192,47,0.011104,0,0.047,0.008256,0.099419,0.06636
1,double,uniform,GPU,"Ns | Ds",192,48,0.012512,0,0.04692,0.009568,0.102849,0.069
1,double,uniform,GPU,"Ns | Ds",192,49,0.013472,0,0.047279,0.008992,0.103429,0.069743
1,double,uniform,GPU,"Ns | Ds",192,50,0.013248,0,0.04615,0.006304,0.102769,0.065702
1,double,uniform,GPU,"Ns | Ds",192,51,0.013376,0,0.04769,0.006656,0.101468,0.067722
1,double,uniform,GPU,"Ns | Ds",192,52,0.013088,0,0.04727,0.006592,0.099319,0.06695
1,double,uniform,GPU,"Ns | Ds",192,53,0.013792,0,0.047319,0.008768,0.105059,0.069879
1,double,uniform,GPU,"Ns | Ds",192,54,0.012256,0,0.04727,0.007552,0.101409,0.067078
1,double,uniform,GPU,"Ns | Ds",192,55,0.012416,0,0.0472,0.009888,0.103949,0.069504
1,double,uniform,GPU,"Ns | Ds",192,56,0.013088,0,0.047939,0.008288,0.103219,0.069315
1,double,uniform,GPU,"Ns | Ds",192,57,0.012928,0,0.047489,0.009312,0.105439,0.069729
1,double,uniform,GPU,"Ns | Ds",192,58,0.012672,0,0.047429,0.009856,0.103569,0.069957
1,double,uniform,GPU,"Ns | Ds",192,59,0.013024,0,0.04696,0.00928,0.103388,0.069264
1,double,uniform,GPU,"Ns | Ds",192,60,0.013344,0,0.0474,0.007808,0.099869,0.068552
1,double,uniform,GPU,"Ns | Ds",192,61,0.013056,0,0.047209,0.007776,0.100929,0.068041
1,double,uniform,GPU,"Ns | Ds",192,62,0.013376,0,0.048119,0.006976,0.102299,0.068471
1,double,uniform,GPU,"Ns | Ds",192,63,0.011456,0,0.04699,0.009056,0.102008,0.067502
1,double,uniform,GPU,"Ns | Ds",192,64,0.0128,0,0.048389,0.007936,0.103859,0.069125
1,double,uniform,GPU,"Ns | Ds",192,65,0.012096,0,0.04757,0.010048,0.104048,0.069714
1,double,uniform,GPU,"Ns | Ds",192,66,0.0128,0,0.04706,0.010208,0.104259,0.070068
1,double,uniform,GPU,"Ns | Ds",192,67,0.01392,0,0.04695,0.007392,0.101709,0.068262
1,double,uniform,GPU,"Ns | Ds",192,68,0.013152,0,0.04719,0.00976,0.104489,0.070102
1,double,uniform,GPU,"Ns | Ds",192,69,0.013408,0,0.04753,0.008928,0.107728,0.069866
1,double,uniform,GPU,"Ns | Ds",192,70,0.0128,0,0.047409,0.010176,0.103789,0.070385
1,double,uniform,GPU,"Ns | Ds",192,71,0.012992,0,0.048279,0.009088,0.103978,0.070359
1,double,uniform,GPU,"Ns | Ds",192,72,0.01344,0,0.047639,0.006592,0.101699,0.067671
1,double,uniform,GPU,"Ns | Ds",192,73,0.013216,0,0.04718,0.007424,0.101159,0.06782
1,double,uniform,GPU,"Ns | Ds",192,74,0.011968,0,0.047419,0.00656,0.099009,0.065947
1,double,uniform,GPU,"Ns | Ds",256,0,0.023392,0,0.04416,0.014976,0.125458,0.082528
1,double,uniform,GPU,"Ns | Ds",256,1,0.013216,0,0.039238,0.0096,0.097939,0.062054
1,double,uniform,GPU,"Ns | Ds",256,2,0.01312,0,0.03911,0.008224,0.096188,0.060454
1,double,uniform,GPU,"Ns | Ds",256,3,0.012512,0,0.039249,0.011072,0.098519,0.062833
1,double,uniform,GPU,"Ns | Ds",256,4,0.012224,0,0.03964,0.008032,0.094379,0.059896
1,double,uniform,GPU,"Ns | Ds",256,5,0.013376,0,0.039009,0.009248,0.095159,0.061633
1,double,uniform,GPU,"Ns | Ds",256,6,0.013792,0,0.03827,0.010176,0.097849,0.062238
1,double,uniform,GPU,"Ns | Ds",256,7,0.013408,0,0.038969,0.010112,0.096759,0.062489
1,double,uniform,GPU,"Ns | Ds",256,8,0.012672,0,0.03874,0.010336,0.095419,0.061748
1,double,uniform,GPU,"Ns | Ds",256,9,0.013472,0,0.03913,0.008928,0.09581,0.06153
1,double,uniform,GPU,"Ns | Ds",256,10,0.01248,0,0.03875,0.009536,0.09423,0.060766
1,double,uniform,GPU,"Ns | Ds",256,11,0.013952,0,0.039369,0.007808,0.095139,0.061129
1,double,uniform,GPU,"Ns | Ds",256,12,0.01184,0,0.038749,0.00928,0.093919,0.059869
1,double,uniform,GPU,"Ns | Ds",256,13,0.013664,0,0.039369,0.01072,0.098869,0.063753
1,double,uniform,GPU,"Ns | Ds",256,14,0.01216,0,0.03893,0.010272,0.096369,0.061362
1,double,uniform,GPU,"Ns | Ds",256,15,0.01248,0,0.038679,0.009664,0.094359,0.060823
1,double,uniform,GPU,"Ns | Ds",256,16,0.013056,0,0.03907,0.009824,0.096849,0.06195
1,double,uniform,GPU,"Ns | Ds",256,17,0.013088,0,0.03918,0.00992,0.096309,0.062188
1,double,uniform,GPU,"Ns | Ds",256,18,0.012,0,0.03632,0.01072,0.094449,0.05904
1,double,uniform,GPU,"Ns | Ds",256,19,0.012224,0,0.035339,0.01168,0.087339,0.059243
1,double,uniform,GPU,"Ns | Ds",256,20,0.015168,0,0.03932,0.0096,0.099228,0.064088
1,double,uniform,GPU,"Ns | Ds",256,21,0.011456,0,0.03946,0.008288,0.093208,0.059204
1,double,uniform,GPU,"Ns | Ds",256,22,0.011648,0,0.038809,0.00816,0.091349,0.058617
1,double,uniform,GPU,"Ns | Ds",256,23,0.012448,0,0.03866,0.009664,0.094129,0.060772
1,double,uniform,GPU,"Ns | Ds",256,24,0.013344,0,0.038949,0.00944,0.095309,0.061733
1,double,uniform,GPU,"Ns | Ds",256,25,0.01296,0,0.038769,0.008864,0.095199,0.060593
1,double,uniform,GPU,"Ns | Ds",256,26,0.013216,0,0.03917,0.00784,0.095989,0.060226
1,double,uniform,GPU,"Ns | Ds",256,27,0.01328,0,0.03897,0.009536,0.095039,0.061786
1,double,uniform,GPU,"Ns | Ds",256,28,0.012992,0,0.03923,0.009696,0.096479,0.061918
1,double,uniform,GPU,"Ns | Ds",256,29,0.012704,0,0.038959,0.009024,0.097269,0.060687
1,double,uniform,GPU,"Ns | Ds",256,30,0.014368,0,0.03885,0.009088,0.097919,0.062306
1,double,uniform,GPU,"Ns | Ds",256,31,0.012544,0,0.03969,0.0096,0.095499,0.061834
1,double,uniform,GPU,"Ns | Ds",256,32,0.013184,0,0.03855,0.009824,0.095988,0.061558
1,double,uniform,GPU,"Ns | Ds",256,33,0.015072,0,0.03895,0.009696,0.099329,0.063718
1,double,uniform,GPU,"Ns | Ds",256,34,0.0128,0,0.03901,0.008448,0.093839,0.060258
1,double,uniform,GPU,"Ns | Ds",256,35,0.012736,0,0.03886,0.009312,0.095029,0.060908
1,double,uniform,GPU,"Ns | Ds",256,36,0.011776,0,0.03919,0.010496,0.094588,0.061462
