dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,20,0.113664,0.00198,1.78786,0.334752,2.30147,2.23826
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,21,0.113536,0.002191,1.79711,0.335584,2.31341,2.24842
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,22,0.118336,0.00235,1.79138,0.335584,2.31463,2.24765
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,23,0.11488,0.002039,1.79184,0.330848,2.30613,2.23961
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,24,0.111712,0.00209,1.79201,0.333056,2.30504,2.23887
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,25,0.116288,0.00215,1.79316,0.330976,2.31028,2.24257
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,26,0.11792,0.00197,1.78634,0.334048,2.29998,2.24028
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,27,0.113152,0.00202,1.78495,0.331072,2.29643,2.23119
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,28,0.114784,0.001961,1.78851,0.330784,2.30255,2.23604
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,29,0.118944,0.00221,1.80231,0.334816,2.32504,2.25828
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,30,0.113056,0.001919,1.78807,0.332064,2.30084,2.23511
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,31,0.128544,0.00227,1.79462,0.336608,2.32921,2.26204
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,32,0.122048,0.00199,1.79786,0.334656,2.32553,2.25655
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,33,0.11824,0.00242,1.78741,0.33504,2.30918,2.24311
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,34,0.122848,0.00197,1.80007,0.338176,2.32963,2.26306
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,35,0.1144,0.00198,1.78736,0.333536,2.30252,2.23728
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,36,0.11376,0.002011,1.79128,0.333312,2.30619,2.24036
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,37,0.114496,0.002171,1.78608,0.334816,2.30491,2.23756
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,38,0.111072,0.00201,1.79314,0.335776,2.30951,2.242
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,39,0.113696,0.007349,1.78808,0.338304,2.31636,2.24743
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,40,0.115936,0.002419,1.786,0.331648,2.30435,2.236
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,41,0.114528,0.00199,1.79148,0.332448,2.30628,2.24045
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,42,0.115072,0.00204,1.79885,0.337568,2.31871,2.25353
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,43,0.112672,0.00187,1.78203,0.340192,2.29642,2.23676
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,44,0.11632,0.00218,1.78526,0.334144,2.30423,2.2379
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,45,0.111072,0.002081,1.78737,0.331616,2.29732,2.23214
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,46,0.112704,0.002221,1.78733,0.331744,2.29838,2.234
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,47,0.116672,0.00219,1.79691,0.33696,2.32088,2.25273
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,48,0.11328,0.00215,1.79705,0.33168,2.31465,2.24416
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,49,0.120832,0.00193,1.78449,0.333056,2.30299,2.24031
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,50,0.112704,0.00206,1.79983,0.33456,2.31472,2.24915
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,51,0.116928,0.0021,1.79857,0.334784,2.32272,2.25238
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,52,0.110624,0.00212,1.78603,0.33344,2.29868,2.23221
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,53,0.111712,0.00182,1.79108,0.335008,2.30505,2.23962
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,54,0.113344,0.002149,1.78692,0.3352,2.30219,2.23761
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,55,0.114048,0.002,1.79748,0.333728,2.31356,2.24726
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,56,0.114176,0.002051,1.79242,0.33312,2.30811,2.24177
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,57,0.112064,0.00208,1.79022,0.333664,2.30551,2.23803
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,58,0.113568,0.00211,1.79687,0.334464,2.31432,2.24701
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,59,0.113984,0.00215,1.79573,0.334304,2.32046,2.24617
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,60,0.111552,0.00204,1.78987,0.332192,2.29957,2.23566
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,61,0.112256,0.00209,1.79769,0.334176,2.31371,2.24621
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,62,0.113696,0.002309,1.78696,0.332288,2.30184,2.23525
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,63,0.111776,0.002001,1.791,0.334912,2.30655,2.23969
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,64,0.111776,0.0021,1.79622,0.33728,2.31252,2.24738
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",192,65,0.11792,0.002179,1.7877,0.333472,2.30748,2.24127
