dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,39,0.114112,0.00191,1.89758,0.34496,2.42546,2.35856
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,40,0.125728,0.0022,1.89881,0.344032,2.43813,2.37077
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,41,0.131392,0.00225,1.89039,0.343936,2.43464,2.36797
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,42,0.11088,0.002049,1.89043,0.344416,2.41117,2.34777
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,43,0.116384,0.00188,1.89567,0.345792,2.42685,2.35972
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,44,0.120256,0.00198,1.88888,0.338496,2.41585,2.34961
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,45,0.127648,0.002471,1.89217,0.346496,2.43757,2.36878
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,46,0.127072,0.002259,1.89925,0.346016,2.44201,2.3746
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,47,0.114944,0.00171,1.88751,0.341728,2.40725,2.34589
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,48,0.114272,0.00174,1.89897,0.34368,2.42474,2.35866
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,49,0.115968,0.002049,1.89942,0.341792,2.4248,2.35923
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,50,0.12768,0.00214,1.89406,0.345984,2.43715,2.36986
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,51,0.112128,0.0019,1.8887,0.343168,2.41151,2.3459
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",192,52,0.11312,0.002011,1.89425,0.34336,2.41893,2.35274
