dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"Ds | Ds",192,44,0.02976,0,0.122629,0.007008,0.201578,0.159397
1,double,uniform,CPU,"Ds | Ds",192,45,0.030944,0,0.0435,0.00736,0.120739,0.081804
1,double,uniform,CPU,"Ds | Ds",192,46,0.03184,0,0.04323,0.006208,0.122119,0.081278
1,double,uniform,CPU,"Ds | Ds",192,47,0.02912,0,0.043479,0.006432,0.118859,0.079031
1,double,uniform,CPU,"Ds | Ds",192,48,0.030496,0,0.04427,0.007776,0.124239,0.082542
1,double,uniform,CPU,"Ds | Ds",192,49,0.029888,0,0.044429,0.006304,0.121349,0.080621
1,double,uniform,CPU,"Ds | Ds",192,50,0.030432,0,0.048389,0.007168,0.127459,0.085989
1,double,uniform,CPU,"Ds | Ds",192,51,0.029664,0,0.04322,0.006112,0.118849,0.078996
1,double,uniform,CPU,"Ds | Ds",192,52,0.032032,0,0.04367,0.007904,0.125839,0.083606
1,double,uniform,CPU,"Ds | Ds",192,53,0.031712,0,0.043049,0.00736,0.122739,0.082121
1,double,uniform,CPU,"Ds | Ds",192,54,0.0312,0,0.043519,0.007936,0.122649,0.082655
1,double,uniform,CPU,"Ds | Ds",192,55,0.029056,0,0.0437,0.00736,0.120459,0.080116
1,double,uniform,CPU,"Ds | Ds",192,56,0.02864,0,0.03946,0.009504,0.109599,0.077604
1,double,uniform,CPU,"Ds | Ds",192,57,0.029824,0,0.040328,0.010048,0.112509,0.0802
1,double,uniform,CPU,"Ds | Ds",192,58,0.030688,0,0.04326,0.007456,0.12257,0.081404
1,double,uniform,CPU,"Ds | Ds",192,59,0.028544,0,0.04327,0.007712,0.120349,0.079526
1,double,uniform,CPU,"Ds | Ds",192,60,0.030176,0,0.04333,0.007776,0.122179,0.081282
1,double,uniform,CPU,"Ds | Ds",192,61,0.030496,0,0.043119,0.007552,0.121899,0.081167
1,double,uniform,CPU,"Ds | Ds",192,62,0.029568,0,0.04428,0.00928,0.123049,0.083128
1,double,uniform,CPU,"Ds | Ds",192,63,0.030304,0,0.04326,0.007648,0.119659,0.081212
1,double,uniform,CPU,"Ds | Ds",192,64,0.029152,0,0.04305,0.00832,0.120649,0.080522
1,double,uniform,CPU,"Ds | Ds",192,65,0.03344,0,0.04428,0.006816,0.126299,0.084536
1,double,uniform,CPU,"Ds | Ds",192,66,0.029824,0,0.043049,0.008736,0.120469,0.081609
1,double,uniform,CPU,"Ds | Ds",192,67,0.035232,0,0.04353,0.00672,0.125079,0.085482
1,double,uniform,CPU,"Ds | Ds",192,68,0.028256,0,0.04313,0.006944,0.117848,0.07833
1,double,uniform,CPU,"Ds | Ds",192,69,0.029504,0,0.03991,0.009728,0.113899,0.079142
1,double,uniform,CPU,"Ds | Ds",192,70,0.029088,0,0.04342,0.007488,0.120079,0.079996
1,double,uniform,CPU,"Ds | Ds",192,71,0.030464,0,0.04338,0.006752,0.119919,0.080596
1,double,uniform,CPU,"Ds | Ds",192,72,0.029408,0,0.04299,0.008096,0.121659,0.080494
1,double,uniform,CPU,"Ds | Ds",192,73,0.029728,0,0.04319,0.007616,0.122188,0.080534
1,double,uniform,CPU,"Ds | Ds",192,74,0.03056,0,0.043869,0.0072,0.123079,0.081629
1,double,uniform,CPU,"Ds | Ds",256,0,0.056736,0,0.03994,0.017728,0.162068,0.114404
1,double,uniform,CPU,"Ds | Ds",256,1,0.033728,0,0.03604,0.00864,0.123688,0.078408
1,double,uniform,CPU,"Ds | Ds",256,2,0.031392,0,0.03587,0.007744,0.115048,0.075006
1,double,uniform,CPU,"Ds | Ds",256,3,0.030208,0,0.03605,0.008672,0.115649,0.07493
1,double,uniform,CPU,"Ds | Ds",256,4,0.028096,0,0.036239,0.008128,0.114749,0.072463
1,double,uniform,CPU,"Ds | Ds",256,5,0.029856,0,0.03601,0.00784,0.114109,0.073706
1,double,uniform,CPU,"Ds | Ds",256,6,0.031072,0,0.03606,0.008736,0.118119,0.075868
1,double,uniform,CPU,"Ds | Ds",256,7,0.032416,0,0.133909,0.008672,0.214368,0.174997
1,double,uniform,CPU,"Ds | Ds",256,8,0.03072,0,0.03617,0.007712,0.115369,0.074602
1,double,uniform,CPU,"Ds | Ds",256,9,0.028128,0,0.035838,0.00816,0.112019,0.072126
1,double,uniform,CPU,"Ds | Ds",256,10,0.031232,0,0.0356,0.008,0.116179,0.074832
1,double,uniform,CPU,"Ds | Ds",256,11,0.030464,0,0.03577,0.008352,0.114609,0.074586
1,double,uniform,CPU,"Ds | Ds",256,12,0.029024,0,0.032479,0.009696,0.102999,0.071199
1,double,uniform,CPU,"Ds | Ds",256,13,0.02832,0,0.032769,0.010304,0.103009,0.071393
1,double,uniform,CPU,"Ds | Ds",256,14,0.029568,0,0.03568,0.00768,0.111909,0.072928
1,double,uniform,CPU,"Ds | Ds",256,15,0.031424,0,0.041989,0.008352,0.120029,0.081765
1,double,uniform,CPU,"Ds | Ds",256,16,0.02992,0,0.03619,0.008576,0.221298,0.074686
1,double,uniform,CPU,"Ds | Ds",256,17,0.029952,0,0.03594,0.007744,0.115799,0.073636
1,double,uniform,CPU,"Ds | Ds",256,18,0.029888,0,0.035849,0.008576,0.116459,0.074313
1,double,uniform,CPU,"Ds | Ds",256,19,0.030144,0,0.03571,0.007456,0.113759,0.07331
1,double,uniform,CPU,"Ds | Ds",256,20,0.032928,0,0.036178,0.008096,0.118279,0.077202
1,double,uniform,CPU,"Ds | Ds",256,21,0.029696,0,0.03565,0.007136,0.112619,0.072482
1,double,uniform,CPU,"Ds | Ds",256,22,0.030432,0,0.03564,0.007264,0.113349,0.073336
1,double,uniform,CPU,"Ds | Ds",256,23,0.029216,0,0.03607,0.007136,0.112748,0.072422
1,double,uniform,CPU,"Ds | Ds",256,24,0.03104,0,0.03583,0.008192,0.114399,0.075062
1,double,uniform,CPU,"Ds | Ds",256,25,0.029504,0,0.03614,0.008,0.113859,0.073644
1,double,uniform,CPU,"Ds | Ds",256,26,0.029152,0,0.03577,0.008192,0.112969,0.073114
1,double,uniform,CPU,"Ds | Ds",256,27,0.027616,0,0.03543,0.008736,0.111959,0.071782
1,double,uniform,CPU,"Ds | Ds",256,28,0.03136,0,0.03626,0.013312,0.120719,0.080932
1,double,uniform,CPU,"Ds | Ds",256,29,0.031392,0,0.035788,0.00736,0.116449,0.07454
1,double,uniform,CPU,"Ds | Ds",256,30,0.030752,0,0.03667,0.00832,0.11523,0.075742
1,double,uniform,CPU,"Ds | Ds",256,31,0.028288,0,0.0357,0.008096,0.11167,0.072084
1,double,uniform,CPU,"Ds | Ds",256,32,0.027328,0,0.03309,0.010112,0.101489,0.07053
1,double,uniform,CPU,"Ds | Ds",256,33,0.02848,0,0.036119,0.008576,0.115959,0.073175
1,double,uniform,CPU,"Ds | Ds",256,34,0.030208,0,0.03563,0.008352,0.114419,0.07419
1,double,uniform,CPU,"Ds | Ds",256,35,0.031488,0,0.036,0.006464,0.115869,0.073952
