dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,41,0.019616,0.001671,0.320978,0.112448,0.818322,0.454713
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,42,0.042048,0.002221,0.324787,0.114912,0.852571,0.483968
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,43,0.031456,0.00305,0.323276,0.118944,0.849321,0.476726
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,44,0.030336,0.00169,0.320766,0.111776,0.827891,0.464568
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,45,0.019968,0.001768,0.321996,0.109536,0.814641,0.453268
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,46,0.019968,0.00167,0.321096,0.11104,0.817631,0.453774
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,47,0.018784,0.001969,0.321876,0.11216,0.818371,0.454789
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,48,0.01984,0.002671,0.323998,0.112352,0.824822,0.458861
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,49,0.03808,0.002171,0.325327,0.117344,0.849191,0.482922
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,50,0.019072,0.00177,0.317617,0.116736,0.814272,0.455195
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,51,0.027872,0.00167,0.320716,0.110656,0.825611,0.460914
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,52,0.01872,0.0018,0.321076,0.111488,0.816262,0.453084
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,53,0.019904,0.00197,0.321976,0.11136,0.819881,0.45521
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,54,0.028448,0.001581,0.320956,0.111936,0.826671,0.462921
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,55,0.019712,0.00171,0.321086,0.110592,0.818231,0.4531
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,56,0.028768,0.001599,0.367747,0.111808,0.873691,0.509922
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,57,0.023136,0.00168,0.323358,0.111264,0.822892,0.459438
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,58,0.028256,0.00183,0.321966,0.111808,0.828141,0.46386
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,59,0.018848,0.001788,0.320726,0.1136,0.817401,0.454962
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,60,0.020224,0.001749,0.321068,0.111552,0.819832,0.454593
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,61,0.019616,0.001711,0.324736,0.106368,0.816371,0.452431
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,62,0.019616,0.0019,0.320126,0.116128,0.821811,0.45777
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,63,0.020032,0.001649,0.321046,0.10784,0.814951,0.450567
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,64,0.03856,0.002121,0.323506,0.116576,0.843141,0.480763
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,65,0.0192,0.00162,0.321466,0.113408,0.822891,0.455694
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,66,0.020352,0.00192,0.323126,0.11216,0.823482,0.457558
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,67,0.018752,0.00166,0.321806,0.111584,0.817681,0.453802
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,68,0.019904,0.00175,0.321606,0.113952,0.821751,0.457212
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,69,0.020448,0.001651,0.319748,0.112704,0.815402,0.454551
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,70,0.021504,0.001769,0.320676,0.112544,0.821651,0.456493
