dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | N | D",192,52,2.6417,0.0016,0.158277,0.081792,2.94607,2.88337
3,float,uniform,CPU,"P | P | P | P | N | D",192,53,2.54749,0.00219,0.16435,0.085184,2.88502,2.79921
3,float,uniform,CPU,"P | P | P | P | N | D",192,54,2.56227,0.00218,0.164669,0.085632,2.90024,2.81475
3,float,uniform,CPU,"P | P | P | P | N | D",192,55,2.59024,0.00208,0.17443,0.085632,2.9373,2.85238
3,float,uniform,CPU,"P | P | P | P | N | D",192,56,2.70822,0.00186,0.16098,0.085536,3.01653,2.9566
3,float,uniform,CPU,"P | P | P | P | N | D",192,57,2.61302,0.00165,0.15896,0.083232,2.92022,2.85687
3,float,uniform,CPU,"P | P | P | P | N | D",192,58,2.63088,0.00196,0.163418,0.086816,2.95797,2.88307
3,float,uniform,CPU,"P | P | P | P | N | D",192,59,2.71939,0.001851,0.16114,0.081568,3.02849,2.96395
3,float,uniform,CPU,"P | P | P | P | N | D",192,60,2.61635,0.0017,0.159207,0.082784,2.92039,2.86004
3,float,uniform,CPU,"P | P | P | P | N | D",192,61,2.64518,0.00175,0.159407,0.079936,2.94915,2.88628
3,float,uniform,CPU,"P | P | P | P | N | D",192,62,2.57178,0.001839,0.158648,0.080672,2.8762,2.81293
3,float,uniform,CPU,"P | P | P | P | N | D",192,63,2.56486,0.002041,0.165529,0.087456,2.89632,2.81989
3,float,uniform,CPU,"P | P | P | P | N | D",192,64,2.60634,0.00188,0.160279,0.083296,2.91302,2.85179
3,float,uniform,CPU,"P | P | P | P | N | D",192,65,2.57235,0.002081,0.165408,0.086912,2.90925,2.82675
3,float,uniform,CPU,"P | P | P | P | N | D",192,66,2.59136,0.001749,0.160559,0.083232,2.89988,2.8369
3,float,uniform,CPU,"P | P | P | P | N | D",192,67,2.5577,0.00195,0.160817,0.081152,2.86052,2.80161
3,float,uniform,CPU,"P | P | P | P | N | D",192,68,2.52461,0.00182,0.155679,0.082592,2.8757,2.7647
3,float,uniform,CPU,"P | P | P | P | N | D",192,69,2.53379,0.001931,0.15871,0.080288,2.83596,2.77472
3,float,uniform,CPU,"P | P | P | P | N | D",192,70,2.53616,0.001811,0.158386,0.081376,2.84184,2.77773
3,float,uniform,CPU,"P | P | P | P | N | D",192,71,2.63322,0.00174,0.159107,0.081536,2.93718,2.8756
3,float,uniform,CPU,"P | P | P | P | N | D",192,72,2.54202,0.00178,0.159117,0.081312,2.84526,2.78422
3,float,uniform,CPU,"P | P | P | P | N | D",192,73,2.54141,0.00159,0.161217,0.081632,2.84718,2.78585
3,float,uniform,CPU,"P | P | P | P | N | D",192,74,2.61766,0.001689,0.159399,0.082336,2.9244,2.86109
3,float,uniform,CPU,"P | P | P | P | N | D",256,0,7.3991,0.00199,0.458905,0.306144,8.25103,8.16614
3,float,uniform,CPU,"P | P | P | P | N | D",256,1,6.5015,0.002019,0.456716,0.302688,7.3388,7.26293
3,float,uniform,CPU,"P | P | P | P | N | D",256,2,6.9465,0.001999,0.452707,0.305024,7.79114,7.70623
3,float,uniform,CPU,"P | P | P | P | N | D",256,3,6.62768,0.00193,0.458104,0.299744,7.4614,7.38746
3,float,uniform,CPU,"P | P | P | P | N | D",256,4,6.41091,0.00194,0.451456,0.30224,7.2411,7.16655
