dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,4,5.41453,0.00208,1.02527,0.098592,6.86685,6.54047
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,5,5.49501,0.00209,1.02668,0.0984,6.94986,6.62218
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,6,5.91632,0.00212,1.02812,0.098784,7.37572,7.04534
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,7,5.4767,0.00199,1.02846,0.104928,6.9412,6.61208
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,8,5.42784,0.00217,1.02741,0.100448,6.88538,6.55787
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,9,5.45894,0.00199,1.02607,0.09824,6.91059,6.58524
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,10,5.44947,0.001939,1.02723,0.103296,6.91144,6.58194
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,11,5.42083,0.001951,1.02764,0.100704,6.88128,6.55113
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,12,5.8488,0.00206,1.02518,0.098272,7.30119,6.97431
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,13,5.97059,0.00192,1.02884,0.098496,7.44803,7.09985
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,14,5.4384,0.002101,1.02852,0.10384,6.90963,6.57286
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,15,5.44339,0.001861,1.02755,0.101728,6.90371,6.57453
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,16,5.67142,0.00202,1.02614,0.099776,7.12653,6.79936
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,17,5.9112,0.00204,1.02736,0.098976,7.3723,7.03958
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,18,5.50374,0.00218,1.03628,0.09984,6.97549,6.64204
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,19,5.40144,0.00188,1.02716,0.098784,6.85718,6.52926
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,20,5.44707,0.00189,1.02779,0.104448,6.91057,6.5812
