dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,73,0.793536,0.001521,0.078088,0.0288,0.95626,0.901945
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,74,0.80016,0.00148,0.07576,0.030112,0.961559,0.907512
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,0,3.09046,0.002019,0.163118,0.080448,3.41402,3.33605
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,1,2.64298,0.00199,0.163697,0.083392,2.97555,2.89206
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,2,2.67741,0.00208,0.164887,0.085952,3.01244,2.93033
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,3,2.65165,0.0016,0.159139,0.08272,2.95725,2.89511
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,4,2.74774,0.00165,0.160409,0.081664,3.04957,2.99147
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,5,2.64899,0.0018,0.161607,0.081152,2.97432,2.89355
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,6,2.64086,0.0019,0.160228,0.08656,2.96797,2.88955
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,7,2.67894,0.001769,0.161146,0.082112,2.98832,2.92397
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,8,2.73437,0.001939,0.162449,0.084224,3.04932,2.98298
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,9,2.65245,0.00176,0.159438,0.080288,2.95794,2.89393
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,10,2.77066,0.00184,0.162756,0.0808,3.08398,3.01605
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,11,2.65462,0.001579,0.159088,0.081216,2.95601,2.89651
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,12,2.68541,0.001709,0.160287,0.079552,2.98546,2.92696
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,13,2.70829,0.001701,0.156738,0.079136,3.00625,2.94586
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,14,2.68832,0.001891,0.163857,0.082944,3.01419,2.93701
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,15,2.67747,0.0016,0.162688,0.080608,2.98204,2.92237
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,16,2.76944,0.001929,0.165098,0.08288,3.10179,3.01935
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,17,2.644,0.002,0.164806,0.08224,2.97775,2.89305
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,18,2.76928,0.00182,0.160327,0.088032,3.08011,3.01946
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,19,2.74803,0.001819,0.160288,0.080864,3.05246,2.991
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,20,2.63914,0.00198,0.165748,0.086176,2.97742,2.89304
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,21,2.88138,0.00177,0.159738,0.080608,3.18824,3.12349
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,22,2.80432,0.00198,0.164049,0.086272,3.13781,3.05662
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,23,2.76531,0.00166,0.160148,0.083392,3.07103,3.01051
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,24,2.64182,0.00187,0.166299,0.083104,2.97586,2.8931
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,25,2.65254,0.001589,0.158558,0.078816,2.95495,2.89151
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,26,2.64835,0.001739,0.157199,0.081568,2.94721,2.88886
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,27,2.67325,0.00167,0.158878,0.078112,2.9703,2.91191
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,28,2.73904,0.002081,0.164109,0.088064,3.07699,2.99329
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,29,2.77821,0.00186,0.161389,0.083424,3.09062,3.02488
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,30,2.70883,0.00179,0.159299,0.08016,3.01325,2.95008
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,31,2.72813,0.00167,0.159068,0.079776,3.02798,2.96864
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,32,2.74861,0.001671,0.164398,0.082368,3.05932,2.99705
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,33,2.67834,0.001681,0.158289,0.077312,2.97755,2.91562
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,34,2.77261,0.00195,0.170719,0.086432,3.11675,3.03171
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,35,2.72902,0.001939,0.164216,0.084736,3.06391,2.97992
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,36,2.64118,0.00205,0.166289,0.088,2.98175,2.89752
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,37,2.66144,0.00195,0.159359,0.083136,2.97032,2.90588
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,38,2.88474,0.001741,0.160157,0.08112,3.18797,3.12775
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,39,2.63923,0.00206,0.16559,0.08528,2.98126,2.89216
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,40,2.67018,0.00163,0.160949,0.082944,2.98384,2.9157
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,41,2.64506,0.00195,0.16415,0.082624,2.97871,2.89378
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,42,2.70109,0.001859,0.164329,0.085472,3.03613,2.95275
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,43,2.6248,0.00173,0.161857,0.084608,2.93624,2.873
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,44,2.7463,0.00168,0.160218,0.083488,3.05253,2.99169
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,45,2.76944,0.00193,0.159148,0.080384,3.07284,3.0109
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,46,2.64157,0.00161,0.158567,0.08096,2.94351,2.88271
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,47,2.81075,0.00171,0.160919,0.080064,3.11257,3.05344
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,48,2.80346,0.00154,0.160899,0.081056,3.10929,3.04695
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,49,2.75616,0.00161,0.158228,0.078912,3.05161,2.99491
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,50,2.7519,0.001938,0.164559,0.08496,3.08592,3.00336
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,51,2.72803,0.00197,0.164196,0.08384,3.06254,2.97804
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",192,52,2.78272,0.00204,0.164279,0.085696,3.1221,3.03473
