dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | P | P",128,69,1.54477,0,0.471065,0.101216,2.17021,2.11705
3,double,uniform,CPU,"P | P | P | P | P | P",128,70,1.58019,0,0.476035,0.118592,2.24687,2.17482
3,double,uniform,CPU,"P | P | P | P | P | P",128,71,1.54566,0,0.476515,0.117152,2.21645,2.13933
3,double,uniform,CPU,"P | P | P | P | P | P",128,72,1.53443,0,0.471125,0.103616,2.16395,2.10917
3,double,uniform,CPU,"P | P | P | P | P | P",128,73,1.54451,0,0.472025,0.101184,2.17014,2.11772
3,double,uniform,CPU,"P | P | P | P | P | P",128,74,1.57699,0,0.470755,0.101344,2.19835,2.14909
3,double,uniform,CPU,"P | P | P | P | P | P",192,0,5.38982,0,1.67805,0.35168,7.49809,7.41955
3,double,uniform,CPU,"P | P | P | P | P | P",192,1,5.52563,0,1.66794,0.35872,7.6182,7.55229
3,double,uniform,CPU,"P | P | P | P | P | P",192,2,5.51606,0,1.66247,0.3576,7.60079,7.53614
3,double,uniform,CPU,"P | P | P | P | P | P",192,3,5.5128,0,1.66391,0.35712,7.60161,7.53383
3,double,uniform,CPU,"P | P | P | P | P | P",192,4,5.71546,0,1.66327,0.354944,7.79834,7.73367
3,double,uniform,CPU,"P | P | P | P | P | P",192,5,5.59194,0,1.67602,0.358688,7.68981,7.62665
3,double,uniform,CPU,"P | P | P | P | P | P",192,6,5.54694,0,1.66308,0.357856,7.6339,7.56788
3,double,uniform,CPU,"P | P | P | P | P | P",192,7,5.54851,0,1.66713,0.359552,7.63839,7.57519
3,double,uniform,CPU,"P | P | P | P | P | P",192,8,5.79264,0,1.66125,0.352288,7.86869,7.80618
3,double,uniform,CPU,"P | P | P | P | P | P",192,9,5.49626,0,1.66224,0.356928,7.59771,7.51543
3,double,uniform,CPU,"P | P | P | P | P | P",192,10,5.57494,0,1.66281,0.356384,7.66209,7.59414
3,double,uniform,CPU,"P | P | P | P | P | P",192,11,5.56422,0,1.65996,0.35344,7.64151,7.57762
3,double,uniform,CPU,"P | P | P | P | P | P",192,12,5.50438,0,1.6634,0.358752,7.59139,7.52654
3,double,uniform,CPU,"P | P | P | P | P | P",192,13,5.60835,0,1.66233,0.354816,7.68715,7.6255
3,double,uniform,CPU,"P | P | P | P | P | P",192,14,5.58803,0,1.66127,0.360512,7.67478,7.60981
3,double,uniform,CPU,"P | P | P | P | P | P",192,15,5.55923,0,1.66723,0.358976,7.64817,7.58544
3,double,uniform,CPU,"P | P | P | P | P | P",192,16,5.65254,0,1.66219,0.359872,7.74349,7.67461
3,double,uniform,CPU,"P | P | P | P | P | P",192,17,5.54864,0,1.67546,0.361856,7.65029,7.58596
3,double,uniform,CPU,"P | P | P | P | P | P",192,18,5.61078,0,1.6667,0.357504,7.70161,7.63499
3,double,uniform,CPU,"P | P | P | P | P | P",192,19,5.58326,0,1.66349,0.354976,7.66867,7.60173
3,double,uniform,CPU,"P | P | P | P | P | P",192,20,5.6584,0,1.66516,0.354848,7.74079,7.67841
3,double,uniform,CPU,"P | P | P | P | P | P",192,21,6.05734,0,1.66603,0.356672,8.14555,8.08005
3,double,uniform,CPU,"P | P | P | P | P | P",192,22,5.69699,0,1.66259,0.35456,7.77699,7.71414
3,double,uniform,CPU,"P | P | P | P | P | P",192,23,5.64387,0,1.66111,0.35536,7.72232,7.66034
3,double,uniform,CPU,"P | P | P | P | P | P",192,24,5.76682,0,1.66146,0.358592,7.85391,7.78687
3,double,uniform,CPU,"P | P | P | P | P | P",192,25,5.69754,0,1.66384,0.352672,7.7754,7.71405
3,double,uniform,CPU,"P | P | P | P | P | P",192,26,5.68909,0,1.66254,0.35344,7.7699,7.70507
3,double,uniform,CPU,"P | P | P | P | P | P",192,27,5.54915,0,1.66738,0.357568,7.63731,7.5741
3,double,uniform,CPU,"P | P | P | P | P | P",192,28,5.64749,0,1.66788,0.35424,7.73394,7.66961
3,double,uniform,CPU,"P | P | P | P | P | P",192,29,5.59878,0,1.6655,0.355744,7.68297,7.62003
3,double,uniform,CPU,"P | P | P | P | P | P",192,30,5.71494,0,1.67502,0.354144,7.80672,7.74411
3,double,uniform,CPU,"P | P | P | P | P | P",192,31,5.66986,0,1.6616,0.349472,7.74309,7.68093
3,double,uniform,CPU,"P | P | P | P | P | P",192,32,5.71171,0,1.66278,0.35568,7.79151,7.73017
3,double,uniform,CPU,"P | P | P | P | P | P",192,33,5.67133,0,1.66145,0.356448,7.7509,7.68923
3,double,uniform,CPU,"P | P | P | P | P | P",192,34,5.70115,0,1.66218,0.353952,7.78497,7.71729
3,double,uniform,CPU,"P | P | P | P | P | P",192,35,5.70435,0,1.65987,0.355904,7.77893,7.72013
3,double,uniform,CPU,"P | P | P | P | P | P",192,36,5.62934,0,1.66171,0.351872,7.70562,7.64293
3,double,uniform,CPU,"P | P | P | P | P | P",192,37,5.69693,0,1.66077,0.352768,7.77788,7.71047
3,double,uniform,CPU,"P | P | P | P | P | P",192,38,5.7153,0,1.66212,0.356128,7.79601,7.73354
3,double,uniform,CPU,"P | P | P | P | P | P",192,39,5.76221,0,1.66219,0.356672,7.8457,7.78107
3,double,uniform,CPU,"P | P | P | P | P | P",192,40,5.55578,0,1.66285,0.357216,7.64044,7.57584
3,double,uniform,CPU,"P | P | P | P | P | P",192,41,5.57018,0,1.66444,0.35856,7.66423,7.59318
3,double,uniform,CPU,"P | P | P | P | P | P",192,42,5.59315,0,1.66127,0.353664,7.67408,7.60809
3,double,uniform,CPU,"P | P | P | P | P | P",192,43,5.52429,0,1.66375,0.35456,7.60391,7.5426
3,double,uniform,CPU,"P | P | P | P | P | P",192,44,5.58893,0,1.6612,0.356192,7.66783,7.60632
3,double,uniform,CPU,"P | P | P | P | P | P",192,45,5.59152,0,1.66327,0.356,7.67366,7.61079
3,double,uniform,CPU,"P | P | P | P | P | P",192,46,5.59165,0,1.66209,0.359488,7.67841,7.61323
3,double,uniform,CPU,"P | P | P | P | P | P",192,47,5.60493,0,1.66114,0.360576,7.69048,7.62665
3,double,uniform,CPU,"P | P | P | P | P | P",192,48,5.56464,0,1.66369,0.353952,7.64547,7.58228
3,double,uniform,CPU,"P | P | P | P | P | P",192,49,5.64666,0,1.66255,0.353344,7.72697,7.66255
3,double,uniform,CPU,"P | P | P | P | P | P",192,50,5.57078,0,1.66265,0.357888,7.65509,7.59132
3,double,uniform,CPU,"P | P | P | P | P | P",192,51,5.59062,0,1.66279,0.3584,7.67331,7.61182
3,double,uniform,CPU,"P | P | P | P | P | P",192,52,5.63024,0,1.66859,0.36112,7.72648,7.65995
3,double,uniform,CPU,"P | P | P | P | P | P",192,53,5.4824,0,1.66189,0.365632,7.57186,7.50992
3,double,uniform,CPU,"P | P | P | P | P | P",192,54,5.51338,0,1.66633,0.355936,7.59915,7.53564
3,double,uniform,CPU,"P | P | P | P | P | P",192,55,5.52714,0,1.66194,0.357536,7.61554,7.54661
3,double,uniform,CPU,"P | P | P | P | P | P",192,56,5.5689,0,1.66251,0.358208,7.65961,7.58962
3,double,uniform,CPU,"P | P | P | P | P | P",192,57,5.60966,0,1.66729,0.355168,7.69455,7.63212
3,double,uniform,CPU,"P | P | P | P | P | P",192,58,5.59408,0,1.66585,0.357152,7.67927,7.61708
3,double,uniform,CPU,"P | P | P | P | P | P",192,59,6.00707,0,1.66866,0.366528,8.12213,8.04226
3,double,uniform,CPU,"P | P | P | P | P | P",192,60,5.58374,0,1.6667,0.358208,7.67697,7.60865
3,double,uniform,CPU,"P | P | P | P | P | P",192,61,5.60544,0,1.66336,0.383936,7.71744,7.65274
3,double,uniform,CPU,"P | P | P | P | P | P",192,62,5.60858,0,1.66349,0.354848,7.6927,7.62691
3,double,uniform,CPU,"P | P | P | P | P | P",192,63,5.55171,0,1.66248,0.356768,7.63323,7.57096
3,double,uniform,CPU,"P | P | P | P | P | P",192,64,5.59098,0,1.66202,0.356192,7.67288,7.60919
3,double,uniform,CPU,"P | P | P | P | P | P",192,65,5.55923,0,1.66385,0.3568,7.6457,7.57988
3,double,uniform,CPU,"P | P | P | P | P | P",192,66,5.61056,0,1.66604,0.355968,7.69569,7.63257
3,double,uniform,CPU,"P | P | P | P | P | P",192,67,5.66931,0,1.66219,0.356768,7.7531,7.68827
3,double,uniform,CPU,"P | P | P | P | P | P",192,68,5.51635,0,1.66608,0.360672,7.60663,7.54311
3,double,uniform,CPU,"P | P | P | P | P | P",192,69,5.4887,0,1.66279,0.356768,7.57195,7.50826
3,double,uniform,CPU,"P | P | P | P | P | P",192,70,5.59626,0,1.66073,0.359744,7.68084,7.61673
3,double,uniform,CPU,"P | P | P | P | P | P",192,71,5.70739,0,1.66249,0.35664,7.78762,7.72652
3,double,uniform,CPU,"P | P | P | P | P | P",192,72,5.69267,0,1.66412,0.357184,7.78123,7.71398
3,double,uniform,CPU,"P | P | P | P | P | P",192,73,5.53696,0,1.66258,0.356704,7.61575,7.55625
3,double,uniform,CPU,"P | P | P | P | P | P",192,74,5.58355,0,1.66247,0.352832,7.66524,7.59886
3,double,uniform,CPU,"P | P | P | P | P | P",256,0,14.1213,0,4.45508,0.901344,19.5709,19.4777
3,double,uniform,CPU,"P | P | P | P | P | P",256,1,13.3281,0,4.45704,0.918624,18.7808,18.7038
3,double,uniform,CPU,"P | P | P | P | P | P",256,2,13.2142,0,4.46292,0.921984,18.6742,18.5991
3,double,uniform,CPU,"P | P | P | P | P | P",256,3,13.2646,0,4.45713,0.923776,18.724,18.6455
3,double,uniform,CPU,"P | P | P | P | P | P",256,4,13.195,0,4.46693,0.918144,18.6529,18.5801
3,double,uniform,CPU,"P | P | P | P | P | P",256,5,13.3834,0,4.45593,0.914176,18.8272,18.7535
3,double,uniform,CPU,"P | P | P | P | P | P",256,6,13.097,0,4.45332,0.914688,18.5337,18.465
3,double,uniform,CPU,"P | P | P | P | P | P",256,7,13.2273,0,4.45553,0.93152,18.6847,18.6143
