dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,4,5.47523,0,1.67959,0.187936,7.39412,7.34276
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,5,5.75446,0,1.68379,0.187968,7.67758,7.62622
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,6,5.41946,0,1.68019,0.18688,7.34036,7.28653
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,7,5.48787,0,1.67999,0.18752,7.40921,7.35538
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,8,5.54394,0,1.68043,0.186304,7.46302,7.41067
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,9,5.828,0,1.68736,0.190016,7.77704,7.70538
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,10,5.45008,0,1.67994,0.187328,7.37379,7.31735
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,11,5.51562,0,1.68238,0.186144,7.43482,7.38414
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,12,5.37786,0,1.6796,0.186432,7.29449,7.24389
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,13,5.39222,0,1.67795,0.187744,7.31044,7.25792
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,14,5.82557,0,1.68285,0.186176,7.74953,7.69459
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,15,5.56208,0,1.6815,0.185792,7.48151,7.42937
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,16,5.50493,0,1.68049,0.185536,7.42651,7.37096
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,17,5.7007,0,1.68074,0.18672,7.62235,7.56816
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,18,5.44515,0,1.68047,0.187584,7.36358,7.31321
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,19,5.52083,0,1.67963,0.187616,7.44049,7.38808
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,20,5.39683,0,1.68061,0.18864,7.3209,7.26608
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,21,5.4272,0,1.6797,0.188128,7.3464,7.29503
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,22,5.40355,0,1.67948,0.189088,7.32333,7.27212
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,23,5.46429,0,1.67867,0.186336,7.38282,7.32929
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,24,5.75939,0,1.68274,0.189664,7.68831,7.6318
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,25,5.51779,0,1.68042,0.188992,7.43734,7.3872
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,26,5.44736,0,1.72983,0.185632,7.41538,7.36282
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,27,5.48266,0,1.68002,0.185824,7.40178,7.3485
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,28,5.57648,0,1.68094,0.184928,7.49583,7.44235
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,29,5.40106,0,1.68166,0.18544,7.3187,7.26816
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,30,5.47648,0,1.67866,0.1864,7.39662,7.34154
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,31,5.54797,0,1.68256,0.186944,7.47133,7.41747
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,32,5.71958,0,1.68675,0.194144,7.67943,7.60048
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,33,5.58928,0,1.67893,0.186848,7.50741,7.45506
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,34,5.6049,0,1.67771,0.186144,7.51951,7.46875
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,35,5.4545,0,1.67983,0.186816,7.3689,7.32114
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,36,5.544,0,1.68268,0.188032,7.46592,7.41471
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,37,5.68029,0,1.67886,0.185952,7.59847,7.5451
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,38,5.51997,0,1.68597,0.187712,7.44978,7.39365
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,39,5.50976,0,1.68186,0.184544,7.42519,7.37616
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,40,5.47178,0,1.68022,0.186176,7.38926,7.33817
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,41,5.48832,0,1.67917,0.186816,7.41014,7.35431
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,42,5.55424,0,1.67891,0.188224,7.47253,7.42138
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,43,5.43203,0,1.68088,0.18496,7.34874,7.29787
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,44,5.40509,0,1.6796,0.186848,7.3244,7.27154
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,45,5.55299,0,1.68036,0.1856,7.47146,7.41895
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,46,5.4945,0,1.6804,0.185376,7.41113,7.36027
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,47,5.56502,0,1.68016,0.186272,7.48237,7.43146
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,48,5.83933,0,1.69043,0.190208,7.79423,7.71997
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,49,5.5375,0,1.68115,0.188896,7.46109,7.40755
