dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"P | P",192,62,0.012032,0,0.0371,0.014112,0.104899,0.063244
1,double,uniform,GPU,"P | P",192,63,0.011872,0,0.037769,0.015136,0.105949,0.064777
1,double,uniform,GPU,"P | P",192,64,0.012608,0,0.03773,0.014912,0.107979,0.06525
1,double,uniform,GPU,"P | P",192,65,0.01232,0,0.03737,0.01504,0.109658,0.06473
1,double,uniform,GPU,"P | P",192,66,0.013216,0,0.03723,0.013504,0.105788,0.06395
1,double,uniform,GPU,"P | P",192,67,0.011936,0,0.03737,0.014208,0.105499,0.063514
1,double,uniform,GPU,"P | P",192,68,0.012672,0,0.03472,0.015424,0.09887,0.062816
1,double,uniform,GPU,"P | P",192,69,0.012224,0,0.03766,0.020064,0.110759,0.069948
1,double,uniform,GPU,"P | P",192,70,0.012448,0,0.03721,0.014048,0.106118,0.063706
1,double,uniform,GPU,"P | P",192,71,0.013664,0,0.037169,0.014656,0.105819,0.065489
1,double,uniform,GPU,"P | P",192,72,0.012128,0,0.037648,0.01408,0.103479,0.063856
1,double,uniform,GPU,"P | P",192,73,0.013856,0,0.037499,0.013824,0.106019,0.065179
1,double,uniform,GPU,"P | P",192,74,0.012576,0,0.03746,0.013888,0.105149,0.063924
1,double,uniform,GPU,"P | P",256,0,0.023808,0,0.03471,0.022656,0.130389,0.081174
1,double,uniform,GPU,"P | P",256,1,0.012448,0,0.03158,0.015136,0.102688,0.059164
1,double,uniform,GPU,"P | P",256,2,0.01232,0,0.027729,0.01648,0.091839,0.056529
1,double,uniform,GPU,"P | P",256,3,0.012384,0,0.03212,0.016128,0.102269,0.060632
1,double,uniform,GPU,"P | P",256,4,0.012544,0,0.03185,0.013472,0.099949,0.057866
1,double,uniform,GPU,"P | P",256,5,0.012224,0,0.03148,0.016448,0.101989,0.060152
1,double,uniform,GPU,"P | P",256,6,0.013024,0,0.03184,0.01584,0.101679,0.060704
1,double,uniform,GPU,"P | P",256,7,0.012448,0,0.03135,0.01408,0.099989,0.057878
1,double,uniform,GPU,"P | P",256,8,0.012352,0,0.03174,0.016256,0.105939,0.060348
1,double,uniform,GPU,"P | P",256,9,0.013056,0,0.0314,0.016064,0.101879,0.06052
1,double,uniform,GPU,"P | P",256,10,0.013216,0,0.032419,0.016064,0.103199,0.061699
1,double,uniform,GPU,"P | P",256,11,0.013376,0,0.03141,0.014272,0.099969,0.059058
1,double,uniform,GPU,"P | P",256,12,0.014272,0,0.031879,0.014304,0.101949,0.060455
1,double,uniform,GPU,"P | P",256,13,0.014016,0,0.03151,0.013824,0.101249,0.05935
1,double,uniform,GPU,"P | P",256,14,0.012256,0,0.03137,0.015104,0.101119,0.05873
1,double,uniform,GPU,"P | P",256,15,0.013152,0,0.02951,0.016128,0.093449,0.05879
1,double,uniform,GPU,"P | P",256,16,0.012608,0,0.0314,0.015904,0.101479,0.059912
1,double,uniform,GPU,"P | P",256,17,0.01296,0,0.03694,0.016768,0.107988,0.066668
1,double,uniform,GPU,"P | P",256,18,0.012544,0,0.03187,0.014016,0.099759,0.05843
1,double,uniform,GPU,"P | P",256,19,0.01264,0,0.03172,0.014848,0.100228,0.059208
1,double,uniform,GPU,"P | P",256,20,0.013376,0,0.0313,0.012992,0.098339,0.057668
1,double,uniform,GPU,"P | P",256,21,0.012704,0,0.031339,0.013888,0.100009,0.057931
1,double,uniform,GPU,"P | P",256,22,0.012448,0,0.031249,0.013952,0.099749,0.057649
1,double,uniform,GPU,"P | P",256,23,0.012544,0,0.031439,0.01328,0.099269,0.057263
1,double,uniform,GPU,"P | P",256,24,0.012704,0,0.0315,0.016128,0.101479,0.060332
1,double,uniform,GPU,"P | P",256,25,0.01264,0,0.03136,0.013504,0.098849,0.057504
1,double,uniform,GPU,"P | P",256,26,0.013376,0,0.031609,0.017024,0.103299,0.062009
1,double,uniform,GPU,"P | P",256,27,0.01232,0,0.03168,0.015008,0.100929,0.059008
1,double,uniform,GPU,"P | P",256,28,0.012512,0,0.028,0.016544,0.091679,0.057056
1,double,uniform,GPU,"P | P",256,29,0.012928,0,0.031279,0.013728,0.100259,0.057935
1,double,uniform,GPU,"P | P",256,30,0.011232,0,0.03212,0.013856,0.099309,0.057208
1,double,uniform,GPU,"P | P",256,31,0.014976,0,0.03155,0.014912,0.103508,0.061438
1,double,uniform,GPU,"P | P",256,32,0.012608,0,0.0314,0.013888,0.098339,0.057896
1,double,uniform,GPU,"P | P",256,33,0.012224,0,0.03161,0.01504,0.100299,0.058874
1,double,uniform,GPU,"P | P",256,34,0.013312,0,0.0313,0.012736,0.097408,0.057348
1,double,uniform,GPU,"P | P",256,35,0.01248,0,0.03195,0.014304,0.101119,0.058734
1,double,uniform,GPU,"P | P",256,36,0.014144,0,0.03168,0.015904,0.102809,0.061728
1,double,uniform,GPU,"P | P",256,37,0.013408,0,0.031889,0.014624,0.101239,0.059921
1,double,uniform,GPU,"P | P",256,38,0.013184,0,0.031429,0.015136,0.101309,0.059749
1,double,uniform,GPU,"P | P",256,39,0.01376,0,0.03178,0.01408,0.101639,0.05962
1,double,uniform,GPU,"P | P",256,40,0.012032,0,0.03149,0.015936,0.102429,0.059458
1,double,uniform,GPU,"P | P",256,41,0.01232,0,0.031379,0.013472,0.098629,0.057171
1,double,uniform,GPU,"P | P",256,42,0.01328,0,0.03159,0.01312,0.099349,0.05799
1,double,uniform,GPU,"P | P",256,43,0.011968,0,0.03136,0.01584,0.101298,0.059168
1,double,uniform,GPU,"P | P",256,44,0.01392,0,0.03169,0.015744,0.102029,0.061354
1,double,uniform,GPU,"P | P",256,45,0.015008,0,0.03198,0.013312,0.099429,0.0603
1,double,uniform,GPU,"P | P",256,46,0.01296,0,0.113919,0.015712,0.183568,0.142591
1,double,uniform,GPU,"P | P",256,47,0.012224,0,0.03134,0.016064,0.101219,0.059628
1,double,uniform,GPU,"P | P",256,48,0.012064,0,0.03146,0.015712,0.101369,0.059236
1,double,uniform,GPU,"P | P",256,49,0.011872,0,0.031209,0.015328,0.099559,0.058409
1,double,uniform,GPU,"P | P",256,50,0.01248,0,0.03151,0.015936,0.101789,0.059926
1,double,uniform,GPU,"P | P",256,51,0.011872,0,0.03138,0.016416,0.100719,0.059668
1,double,uniform,GPU,"P | P",256,52,0.012928,0,0.031539,0.015168,0.101619,0.059635
1,double,uniform,GPU,"P | P",256,53,0.01232,0,0.027959,0.016544,0.090449,0.056823
1,double,uniform,GPU,"P | P",256,54,0.012928,0,0.03159,0.01376,0.101939,0.058278
1,double,uniform,GPU,"P | P",256,55,0.012128,0,0.03136,0.013952,0.09973,0.05744
1,double,uniform,GPU,"P | P",256,56,0.012448,0,0.031489,0.014208,0.100339,0.058145
1,double,uniform,GPU,"P | P",256,57,0.012064,0,0.03182,0.014272,0.100099,0.058156
