dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | P | P",192,14,2.64486,0,0.144098,0.076928,2.92467,2.86589
3,float,uniform,CPU,"P | P | P | P | P | P",192,15,2.71053,0,0.143269,0.07536,2.99158,2.92916
3,float,uniform,CPU,"P | P | P | P | P | P",192,16,2.73357,0,0.143908,0.076512,3.01461,2.95399
3,float,uniform,CPU,"P | P | P | P | P | P",192,17,2.73882,0,0.154039,0.083776,3.05866,2.97663
3,float,uniform,CPU,"P | P | P | P | P | P",192,18,2.6159,0,0.142698,0.077152,2.89654,2.83575
3,float,uniform,CPU,"P | P | P | P | P | P",192,19,2.59402,0,0.146678,0.080384,2.90529,2.82108
3,float,uniform,CPU,"P | P | P | P | P | P",192,20,2.68214,0,0.14318,0.085312,2.97458,2.91064
3,float,uniform,CPU,"P | P | P | P | P | P",192,21,2.58522,0,0.144898,0.078528,2.87902,2.80864
3,float,uniform,CPU,"P | P | P | P | P | P",192,22,2.58493,0,0.14306,0.075744,2.86571,2.80373
3,float,uniform,CPU,"P | P | P | P | P | P",192,23,2.58717,0,0.14446,0.075712,2.86729,2.80734
3,float,uniform,CPU,"P | P | P | P | P | P",192,24,2.67178,0,0.141978,0.079168,2.95429,2.89292
3,float,uniform,CPU,"P | P | P | P | P | P",192,25,2.63053,0,0.145518,0.079808,2.93362,2.85585
3,float,uniform,CPU,"P | P | P | P | P | P",192,26,2.69514,0,0.143238,0.077408,2.97692,2.91578
3,float,uniform,CPU,"P | P | P | P | P | P",192,27,2.66925,0,0.138548,0.075776,2.939,2.88357
3,float,uniform,CPU,"P | P | P | P | P | P",192,28,2.57661,0,0.142848,0.076096,2.86096,2.79555
3,float,uniform,CPU,"P | P | P | P | P | P",192,29,2.65245,0,0.142448,0.072096,2.92892,2.86699
3,float,uniform,CPU,"P | P | P | P | P | P",192,30,2.71542,0,0.139188,0.080544,2.98733,2.93516
3,float,uniform,CPU,"P | P | P | P | P | P",192,31,2.70461,0,0.142718,0.075616,2.98154,2.92294
