dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | P | P",128,54,0.026624,0,0.061589,0.034208,0.180138,0.122421
3,float,uniform,GPU,"P | P | P | P | P | P",128,55,0.026656,0,0.060829,0.03088,0.176249,0.118365
3,float,uniform,GPU,"P | P | P | P | P | P",128,56,0.033888,0,0.06102,0.030528,0.183558,0.125436
3,float,uniform,GPU,"P | P | P | P | P | P",128,57,0.026912,0,0.06086,0.030752,0.177608,0.118524
3,float,uniform,GPU,"P | P | P | P | P | P",128,58,0.02672,0,0.0612,0.030432,0.177408,0.118352
3,float,uniform,GPU,"P | P | P | P | P | P",128,59,0.0264,0,0.06078,0.032384,0.178208,0.119564
3,float,uniform,GPU,"P | P | P | P | P | P",128,60,0.028672,0,0.05808,0.040864,0.177629,0.127616
3,float,uniform,GPU,"P | P | P | P | P | P",128,61,0.02704,0,0.06028,0.03072,0.175378,0.11804
3,float,uniform,GPU,"P | P | P | P | P | P",128,62,0.027936,0,0.0623,0.031808,0.179598,0.122044
3,float,uniform,GPU,"P | P | P | P | P | P",128,63,0.028,0,0.06175,0.03168,0.179878,0.12143
3,float,uniform,GPU,"P | P | P | P | P | P",128,64,0.027328,0,0.061049,0.031456,0.179008,0.119833
3,float,uniform,GPU,"P | P | P | P | P | P",128,65,0.0336,0,0.127378,0.030528,0.252117,0.191506
3,float,uniform,GPU,"P | P | P | P | P | P",128,66,0.027648,0,0.06092,0.032448,0.279377,0.121016
3,float,uniform,GPU,"P | P | P | P | P | P",128,67,0.027392,0,0.061209,0.037664,0.184078,0.126265
3,float,uniform,GPU,"P | P | P | P | P | P",128,68,0.03456,0,0.057719,0.033984,0.176858,0.126263
3,float,uniform,GPU,"P | P | P | P | P | P",128,69,0.0264,0,0.06121,0.030656,0.175998,0.118266
3,float,uniform,GPU,"P | P | P | P | P | P",128,70,0.0272,0,0.061069,0.030624,0.176688,0.118893
3,float,uniform,GPU,"P | P | P | P | P | P",128,71,0.026464,0,0.060869,0.032672,0.178989,0.120005
3,float,uniform,GPU,"P | P | P | P | P | P",128,72,0.026208,0,0.061149,0.031328,0.177038,0.118685
3,float,uniform,GPU,"P | P | P | P | P | P",128,73,0.027872,0,0.056509,0.033664,0.169038,0.118045
3,float,uniform,GPU,"P | P | P | P | P | P",128,74,0.026784,0,0.061259,0.030528,0.177128,0.118571
3,float,uniform,GPU,"P | P | P | P | P | P",192,0,0.065344,0,0.145998,0.081984,0.354556,0.293326
3,float,uniform,GPU,"P | P | P | P | P | P",192,1,0.070016,0,0.149198,0.091232,0.371996,0.310446
3,float,uniform,GPU,"P | P | P | P | P | P",192,2,0.067552,0,0.147488,0.086176,0.362256,0.301216
3,float,uniform,GPU,"P | P | P | P | P | P",192,3,0.052608,0,0.146048,0.08192,0.341956,0.280576
3,float,uniform,GPU,"P | P | P | P | P | P",192,4,0.05248,0,0.144699,0.081472,0.340477,0.278651
3,float,uniform,GPU,"P | P | P | P | P | P",192,5,0.05344,0,0.144249,0.081536,0.342136,0.279225
3,float,uniform,GPU,"P | P | P | P | P | P",192,6,0.052448,0,0.145428,0.081792,0.343786,0.279668
3,float,uniform,GPU,"P | P | P | P | P | P",192,7,0.052608,0,0.143979,0.083072,0.341557,0.279659
3,float,uniform,GPU,"P | P | P | P | P | P",192,8,0.069184,0,0.147828,0.087392,0.365806,0.304404
3,float,uniform,GPU,"P | P | P | P | P | P",192,9,0.06864,0,0.147648,0.087296,0.365306,0.303584
3,float,uniform,GPU,"P | P | P | P | P | P",192,10,0.0568,0,0.145569,0.085472,0.347877,0.287841
3,float,uniform,GPU,"P | P | P | P | P | P",192,11,0.05376,0,0.145648,0.10912,0.370556,0.308528
3,float,uniform,GPU,"P | P | P | P | P | P",192,12,0.053248,0,0.145118,0.08016,0.340466,0.278526
3,float,uniform,GPU,"P | P | P | P | P | P",192,13,0.053728,0,0.145588,0.083104,0.344327,0.28242
3,float,uniform,GPU,"P | P | P | P | P | P",192,14,0.0544,0,0.142788,0.081344,0.340486,0.278532
3,float,uniform,GPU,"P | P | P | P | P | P",192,15,0.068,0,0.147439,0.086688,0.364106,0.302127
3,float,uniform,GPU,"P | P | P | P | P | P",192,16,0.053344,0,0.145759,0.08096,0.341287,0.280063
3,float,uniform,GPU,"P | P | P | P | P | P",192,17,0.068544,0,0.148058,0.087072,0.364996,0.303674
3,float,uniform,GPU,"P | P | P | P | P | P",192,18,0.054144,0,0.145509,0.083776,0.349647,0.283429
3,float,uniform,GPU,"P | P | P | P | P | P",192,19,0.050816,0,0.144389,0.0816,0.338466,0.276805
3,float,uniform,GPU,"P | P | P | P | P | P",192,20,0.053056,0,0.144498,0.083424,0.342466,0.280978
3,float,uniform,GPU,"P | P | P | P | P | P",192,21,0.053408,0,0.145148,0.0792,0.338546,0.277756
3,float,uniform,GPU,"P | P | P | P | P | P",192,22,0.051872,0,0.144908,0.07968,0.338257,0.27646
3,float,uniform,GPU,"P | P | P | P | P | P",192,23,0.052864,0,0.143198,0.080736,0.338806,0.276798
3,float,uniform,GPU,"P | P | P | P | P | P",192,24,0.054304,0,0.145578,0.079264,0.342096,0.279146
3,float,uniform,GPU,"P | P | P | P | P | P",192,25,0.052512,0,0.143969,0.083008,0.350656,0.279489
3,float,uniform,GPU,"P | P | P | P | P | P",192,26,0.05328,0,0.144468,0.08144,0.340776,0.279188
3,float,uniform,GPU,"P | P | P | P | P | P",192,27,0.06736,0,0.148408,0.087488,0.370676,0.303256
3,float,uniform,GPU,"P | P | P | P | P | P",192,28,0.054144,0,0.145139,0.083712,0.344826,0.282995
3,float,uniform,GPU,"P | P | P | P | P | P",192,29,0.054624,0,0.143008,0.084224,0.336786,0.281856
3,float,uniform,GPU,"P | P | P | P | P | P",192,30,0.069056,0,0.147358,0.085664,0.363046,0.302078
3,float,uniform,GPU,"P | P | P | P | P | P",192,31,0.058112,0,0.142609,0.085568,0.340366,0.286289
3,float,uniform,GPU,"P | P | P | P | P | P",192,32,0.060896,0,0.146158,0.084512,0.352906,0.291566
3,float,uniform,GPU,"P | P | P | P | P | P",192,33,0.0528,0,0.144708,0.084128,0.343716,0.281636
3,float,uniform,GPU,"P | P | P | P | P | P",192,34,0.053888,0,0.144149,0.079136,0.339776,0.277173
3,float,uniform,GPU,"P | P | P | P | P | P",192,35,0.052992,0,0.144488,0.081952,0.341386,0.279432
3,float,uniform,GPU,"P | P | P | P | P | P",192,36,0.063904,0,0.147389,0.087744,0.359836,0.299037
3,float,uniform,GPU,"P | P | P | P | P | P",192,37,0.05568,0,0.143979,0.084704,0.345966,0.284363
3,float,uniform,GPU,"P | P | P | P | P | P",192,38,0.052352,0,0.145068,0.081856,0.340456,0.279276
3,float,uniform,GPU,"P | P | P | P | P | P",192,39,0.070816,0,0.148629,0.088544,0.369087,0.307989
3,float,uniform,GPU,"P | P | P | P | P | P",192,40,0.055456,0,0.145619,0.083744,0.346457,0.284819
3,float,uniform,GPU,"P | P | P | P | P | P",192,41,0.05296,0,0.144709,0.080928,0.344186,0.278597
3,float,uniform,GPU,"P | P | P | P | P | P",192,42,0.052384,0,0.145858,0.079552,0.340837,0.277794
3,float,uniform,GPU,"P | P | P | P | P | P",192,43,0.0648,0,0.147368,0.086848,0.360126,0.299016
3,float,uniform,GPU,"P | P | P | P | P | P",192,44,0.063392,0,0.147188,0.086784,0.360006,0.297364
3,float,uniform,GPU,"P | P | P | P | P | P",192,45,0.052288,0,0.146618,0.08208,0.343107,0.280986
3,float,uniform,GPU,"P | P | P | P | P | P",192,46,0.053312,0,0.145798,0.0824,0.343286,0.28151
3,float,uniform,GPU,"P | P | P | P | P | P",192,47,0.067456,0,0.147948,0.087264,0.364556,0.302668
3,float,uniform,GPU,"P | P | P | P | P | P",192,48,0.06992,0,0.148369,0.088832,0.368226,0.307121
3,float,uniform,GPU,"P | P | P | P | P | P",192,49,0.062176,0,0.147078,0.086368,0.355976,0.295622
3,float,uniform,GPU,"P | P | P | P | P | P",192,50,0.067904,0,0.147949,0.08624,0.363696,0.302093
3,float,uniform,GPU,"P | P | P | P | P | P",192,51,0.05744,0,0.145518,0.085056,0.350356,0.288014
3,float,uniform,GPU,"P | P | P | P | P | P",192,52,0.056,0,0.144579,0.084416,0.349427,0.284995
3,float,uniform,GPU,"P | P | P | P | P | P",192,53,0.066208,0,0.146228,0.085856,0.359587,0.298292
3,float,uniform,GPU,"P | P | P | P | P | P",192,54,0.053376,0,0.14453,0.083296,0.343037,0.281202
3,float,uniform,GPU,"P | P | P | P | P | P",192,55,0.057856,0,0.145638,0.086816,0.353256,0.29031
3,float,uniform,GPU,"P | P | P | P | P | P",192,56,0.051648,0,0.146029,0.081216,0.340757,0.278893
3,float,uniform,GPU,"P | P | P | P | P | P",192,57,0.052384,0,0.145028,0.08016,0.338846,0.277572
3,float,uniform,GPU,"P | P | P | P | P | P",192,58,0.05152,0,0.145609,0.083328,0.342047,0.280457
3,float,uniform,GPU,"P | P | P | P | P | P",192,59,0.06976,0,0.147938,0.087328,0.366436,0.305026
3,float,uniform,GPU,"P | P | P | P | P | P",192,60,0.054304,0,0.144968,0.082144,0.379636,0.281416
3,float,uniform,GPU,"P | P | P | P | P | P",192,61,0.069952,0,0.148407,0.08784,0.367856,0.306199
3,float,uniform,GPU,"P | P | P | P | P | P",192,62,0.066944,0,0.148178,0.089088,0.366436,0.30421
3,float,uniform,GPU,"P | P | P | P | P | P",192,63,0.058272,0,0.145419,0.083104,0.350796,0.286795
3,float,uniform,GPU,"P | P | P | P | P | P",192,64,0.069408,0,0.149119,0.087776,0.368196,0.306303
3,float,uniform,GPU,"P | P | P | P | P | P",192,65,0.067584,0,0.147438,0.086592,0.362856,0.301614
3,float,uniform,GPU,"P | P | P | P | P | P",192,66,0.0616,0,0.146239,0.085824,0.361306,0.293663
3,float,uniform,GPU,"P | P | P | P | P | P",192,67,0.071296,0,0.148478,0.089344,0.371146,0.309118
3,float,uniform,GPU,"P | P | P | P | P | P",192,68,0.054048,0,0.146018,0.080928,0.342816,0.280994
3,float,uniform,GPU,"P | P | P | P | P | P",192,69,0.051456,0,0.144278,0.0808,0.338356,0.276534
3,float,uniform,GPU,"P | P | P | P | P | P",192,70,0.053408,0,0.144918,0.08192,0.342726,0.280246
3,float,uniform,GPU,"P | P | P | P | P | P",192,71,0.068992,0,0.147658,0.087296,0.366096,0.303946
3,float,uniform,GPU,"P | P | P | P | P | P",192,72,0.070464,0,0.148568,0.086912,0.367356,0.305944
3,float,uniform,GPU,"P | P | P | P | P | P",192,73,0.055712,0,0.145798,0.086336,0.350517,0.287846
3,float,uniform,GPU,"P | P | P | P | P | P",192,74,0.059296,0,0.146368,0.08544,0.352066,0.291104
3,float,uniform,GPU,"P | P | P | P | P | P",256,0,0.140832,0,0.440175,0.346528,0.992709,0.927535
3,float,uniform,GPU,"P | P | P | P | P | P",256,1,0.171776,0,0.440615,0.344384,1.0602,0.956775
3,float,uniform,GPU,"P | P | P | P | P | P",256,2,0.170496,0,0.437136,0.347552,1.02163,0.955184
3,float,uniform,GPU,"P | P | P | P | P | P",256,3,0.172864,0,0.437275,0.346816,1.02894,0.956955
3,float,uniform,GPU,"P | P | P | P | P | P",256,4,0.161792,0,0.437715,0.34176,1.00503,0.941267
3,float,uniform,GPU,"P | P | P | P | P | P",256,5,0.169376,0,0.438285,0.347616,1.02417,0.955277
3,float,uniform,GPU,"P | P | P | P | P | P",256,6,0.16672,0,0.435654,0.345696,1.01246,0.94807
3,float,uniform,GPU,"P | P | P | P | P | P",256,7,0.1688,0,0.439605,0.342752,1.01544,0.951157
3,float,uniform,GPU,"P | P | P | P | P | P",256,8,0.168544,0,0.439624,0.34208,1.01706,0.950248
3,float,uniform,GPU,"P | P | P | P | P | P",256,9,0.17136,0,0.438344,0.346656,1.02405,0.95636
3,float,uniform,GPU,"P | P | P | P | P | P",256,10,0.169184,0,0.441245,0.342208,1.02359,0.952637
3,float,uniform,GPU,"P | P | P | P | P | P",256,11,0.170944,0,0.440315,0.345824,1.0221,0.957083
3,float,uniform,GPU,"P | P | P | P | P | P",256,12,0.173024,0,0.440115,0.346432,1.03047,0.959571
3,float,uniform,GPU,"P | P | P | P | P | P",256,13,0.1712,0,0.439135,0.344416,1.02135,0.954751
3,float,uniform,GPU,"P | P | P | P | P | P",256,14,0.171136,0,0.439006,0.345248,1.02132,0.95539
