dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,57,1.51693,0.00172,0.487414,0.09328,2.16102,2.09934
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,58,1.55274,0.002019,0.494534,0.103136,2.2386,2.15243
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,59,1.53005,0.00166,0.522564,0.096032,2.20742,2.1503
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,60,1.54,0.00158,0.486215,0.093824,2.1818,2.12162
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,61,1.55546,0.00176,0.482654,0.097408,2.1892,2.13728
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,62,1.53053,0.00201,0.487195,0.094976,2.17514,2.11471
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,63,1.52422,0.00175,0.487395,0.093984,2.16394,2.10735
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,64,1.53098,0.00156,0.548015,0.09408,2.23686,2.17463
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,65,1.58195,0.001978,0.494836,0.100352,2.26313,2.17912
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,66,1.5599,0.00171,0.487244,0.095232,2.20095,2.14409
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,67,1.52467,0.00167,0.486984,0.096576,2.17167,2.1099
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,68,1.55501,0.001758,0.536053,0.092672,2.24449,2.18549
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,69,1.51773,0.00162,0.486054,0.093504,2.16033,2.09891
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,70,1.50819,0.00167,0.487084,0.091904,2.15163,2.08885
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,71,1.52458,0.001639,0.486656,0.093664,2.16424,2.10653
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,72,1.54634,0.00174,0.486264,0.09424,2.18824,2.12858
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,73,1.51104,0.00179,0.486365,0.092096,2.15026,2.09129
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,74,1.50893,0.001739,0.486186,0.09408,2.14914,2.09093
