dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | D | D",128,48,1.58634,0,2.13195,0.06416,3.83182,3.78245
3,double,uniform,CPU,"D | D | D | D | D | D",128,49,1.5304,0,2.13078,0.059168,3.76756,3.72035
3,double,uniform,CPU,"D | D | D | D | D | D",128,50,1.54256,0,2.13223,0.06208,3.78871,3.73687
3,double,uniform,CPU,"D | D | D | D | D | D",128,51,1.5105,0,2.12786,0.061152,3.74048,3.69951
3,double,uniform,CPU,"D | D | D | D | D | D",128,52,1.54445,0,2.13098,0.060896,3.78494,3.73633
3,double,uniform,CPU,"D | D | D | D | D | D",128,53,1.51843,0,2.13339,0.061312,3.76622,3.71314
3,double,uniform,CPU,"D | D | D | D | D | D",128,54,1.53034,0,2.13128,0.062688,3.77162,3.72431
3,double,uniform,CPU,"D | D | D | D | D | D",128,55,1.52435,0,2.13344,0.060416,3.76648,3.71821
3,double,uniform,CPU,"D | D | D | D | D | D",128,56,1.52118,0,2.1295,0.068608,3.76744,3.71929
3,double,uniform,CPU,"D | D | D | D | D | D",128,57,1.54762,0,2.13711,0.063776,3.82399,3.7485
3,double,uniform,CPU,"D | D | D | D | D | D",128,58,1.50669,0,2.13115,0.06144,3.74991,3.69928
3,double,uniform,CPU,"D | D | D | D | D | D",128,59,1.54522,0,2.1312,0.058688,3.78582,3.73511
3,double,uniform,CPU,"D | D | D | D | D | D",128,60,1.55664,0,2.13656,0.062816,3.83688,3.75602
3,double,uniform,CPU,"D | D | D | D | D | D",128,61,1.58474,0,2.12984,0.057888,3.82011,3.77247
3,double,uniform,CPU,"D | D | D | D | D | D",128,62,1.54186,0,2.13335,0.062272,3.79507,3.73748
3,double,uniform,CPU,"D | D | D | D | D | D",128,63,1.51654,0,2.13087,0.06224,3.76151,3.70966
3,double,uniform,CPU,"D | D | D | D | D | D",128,64,1.53549,0,2.13214,0.059616,3.77697,3.72725
3,double,uniform,CPU,"D | D | D | D | D | D",128,65,1.53354,0,2.13575,0.065088,3.80348,3.73437
3,double,uniform,CPU,"D | D | D | D | D | D",128,66,1.52614,0,2.13162,0.060864,3.76751,3.71863
3,double,uniform,CPU,"D | D | D | D | D | D",128,67,1.48902,0,2.13213,0.06096,3.73073,3.68212
3,double,uniform,CPU,"D | D | D | D | D | D",128,68,1.55994,0,2.12943,0.060576,3.79729,3.74994
3,double,uniform,CPU,"D | D | D | D | D | D",128,69,1.52691,0,2.13087,0.059936,3.76649,3.71772
3,double,uniform,CPU,"D | D | D | D | D | D",128,70,1.52554,0,2.12997,0.057632,3.76102,3.71314
3,double,uniform,CPU,"D | D | D | D | D | D",128,71,1.53171,0,2.13022,0.058592,3.77002,3.72053
