dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"Ds | Ns",128,68,0.029056,0,0.0182,0.006464,0.090789,0.05372
1,float,uniform,CPU,"Ds | Ns",128,69,0.034944,0,0.01865,0.005184,0.100269,0.058778
1,float,uniform,CPU,"Ds | Ns",128,70,0.031744,0,0.01815,0.005248,0.092509,0.055142
1,float,uniform,CPU,"Ds | Ns",128,71,0.029696,0,0.01858,0.00608,0.093429,0.054356
1,float,uniform,CPU,"Ds | Ns",128,72,0.030176,0,0.01833,0.00576,0.093729,0.054266
1,float,uniform,CPU,"Ds | Ns",128,73,0.029824,0,0.01854,0.005152,0.091169,0.053516
1,float,uniform,CPU,"Ds | Ns",128,74,0.030368,0,0.01934,0.0056,0.094149,0.055308
1,float,uniform,CPU,"Ds | Ns",192,0,0.058144,0,0.02267,0.009792,0.135658,0.090606
1,float,uniform,CPU,"Ds | Ns",192,1,0.029632,0,0.02019,0.007136,0.096569,0.056958
1,float,uniform,CPU,"Ds | Ns",192,2,0.03616,0,0.019549,0.005792,0.100789,0.061501
1,float,uniform,CPU,"Ds | Ns",192,3,0.029024,0,0.01951,0.004448,0.093109,0.052982
1,float,uniform,CPU,"Ds | Ns",192,4,0.028576,0,0.018949,0.005248,0.090129,0.052773
1,float,uniform,CPU,"Ds | Ns",192,5,0.030464,0,0.01918,0.005472,0.093759,0.055116
1,float,uniform,CPU,"Ds | Ns",192,6,0.028448,0,0.01933,0.00464,0.091959,0.052418
1,float,uniform,CPU,"Ds | Ns",192,7,0.030208,0,0.01905,0.00528,0.093568,0.054538
1,float,uniform,CPU,"Ds | Ns",192,8,0.030976,0,0.019569,0.007232,0.097019,0.057777
1,float,uniform,CPU,"Ds | Ns",192,9,0.029728,0,0.01954,0.006048,0.092719,0.055316
1,float,uniform,CPU,"Ds | Ns",192,10,0.031104,0,0.019369,0.005632,0.095869,0.056105
1,float,uniform,CPU,"Ds | Ns",192,11,0.028512,0,0.01912,0.00544,0.089389,0.053072
1,float,uniform,CPU,"Ds | Ns",192,12,0.0296,0,0.02059,0.005664,0.09425,0.055854
1,float,uniform,CPU,"Ds | Ns",192,13,0.029408,0,0.01906,0.005248,0.092319,0.053716
1,float,uniform,CPU,"Ds | Ns",192,14,0.028512,0,0.01895,0.00528,0.089579,0.052742
1,float,uniform,CPU,"Ds | Ns",192,15,0.029376,0,0.01904,0.0056,0.092408,0.054016
1,float,uniform,CPU,"Ds | Ns",192,16,0.034048,0,0.01953,0.006848,0.099168,0.060426
1,float,uniform,CPU,"Ds | Ns",192,17,0.030912,0,0.017269,0.00704,0.092019,0.055221
1,float,uniform,CPU,"Ds | Ns",192,18,0.033088,0,0.018869,0.005824,0.095779,0.057781
1,float,uniform,CPU,"Ds | Ns",192,19,0.029728,0,0.01927,0.006016,0.094539,0.055014
1,float,uniform,CPU,"Ds | Ns",192,20,0.029024,0,0.01913,0.00544,0.091609,0.053594
1,float,uniform,CPU,"Ds | Ns",192,21,0.02912,0,0.01987,0.006336,0.094179,0.055326
1,float,uniform,CPU,"Ds | Ns",192,22,0.029536,0,0.01921,0.00672,0.093059,0.055466
1,float,uniform,CPU,"Ds | Ns",192,23,0.029376,0,0.019139,0.005248,0.091549,0.053763
1,float,uniform,CPU,"Ds | Ns",192,24,0.029248,0,0.01943,0.00608,0.093519,0.054758
1,float,uniform,CPU,"Ds | Ns",192,25,0.03056,0,0.01912,0.004416,0.094248,0.054096
1,float,uniform,CPU,"Ds | Ns",192,26,0.031328,0,0.01922,0.005248,0.093809,0.055796
1,float,uniform,CPU,"Ds | Ns",192,27,0.030112,0,0.01918,0.00528,0.092979,0.054572
1,float,uniform,CPU,"Ds | Ns",192,28,0.027968,0,0.01908,0.005632,0.09033,0.05268
1,float,uniform,CPU,"Ds | Ns",192,29,0.028832,0,0.019399,0.005824,0.094159,0.054055
1,float,uniform,CPU,"Ds | Ns",192,30,0.030144,0,0.01916,0.006848,0.095649,0.056152
1,float,uniform,CPU,"Ds | Ns",192,31,0.029376,0,0.019219,0.005856,0.092369,0.054451
1,float,uniform,CPU,"Ds | Ns",192,32,0.02976,0,0.019169,0.00512,0.093259,0.054049
1,float,uniform,CPU,"Ds | Ns",192,33,0.030528,0,0.01912,0.00528,0.093299,0.054928
1,float,uniform,CPU,"Ds | Ns",192,34,0.028768,0,0.01929,0.005472,0.089519,0.05353
1,float,uniform,CPU,"Ds | Ns",192,35,0.030688,0,0.01943,0.005216,0.094849,0.055334
1,float,uniform,CPU,"Ds | Ns",192,36,0.028544,0,0.0201,0.0064,0.092569,0.055044
1,float,uniform,CPU,"Ds | Ns",192,37,0.030912,0,0.01956,0.005728,0.092459,0.0562
1,float,uniform,CPU,"Ds | Ns",192,38,0.030976,0,0.019,0.006944,0.096679,0.05692
1,float,uniform,CPU,"Ds | Ns",192,39,0.030208,0,0.01949,0.005984,0.093289,0.055682
1,float,uniform,CPU,"Ds | Ns",192,40,0.02976,0,0.020049,0.005248,0.093359,0.055057
1,float,uniform,CPU,"Ds | Ns",192,41,0.028672,0,0.01915,0.00544,0.091459,0.053262
1,float,uniform,CPU,"Ds | Ns",192,42,0.029536,0,0.01884,0.00544,0.09879,0.053816
1,float,uniform,CPU,"Ds | Ns",192,43,0.029632,0,0.0217,0.005344,0.097179,0.056676
1,float,uniform,CPU,"Ds | Ns",192,44,0.143424,0,0.019309,0.006272,0.208758,0.169005
1,float,uniform,CPU,"Ds | Ns",192,45,0.031488,0,0.01902,0.005504,0.093259,0.056012
1,float,uniform,CPU,"Ds | Ns",192,46,0.029408,0,0.01907,0.0056,0.09229,0.054078
1,float,uniform,CPU,"Ds | Ns",192,47,0.029184,0,0.01942,0.004448,0.093909,0.053052
1,float,uniform,CPU,"Ds | Ns",192,48,0.0288,0,0.01921,0.005216,0.090149,0.053226
1,float,uniform,CPU,"Ds | Ns",192,49,0.032736,0,0.020359,0.005536,0.096039,0.058631
1,float,uniform,CPU,"Ds | Ns",192,50,0.028,0,0.01574,0.006592,0.084119,0.050332
1,float,uniform,CPU,"Ds | Ns",192,51,0.027456,0,0.019149,0.004608,0.090109,0.051213
1,float,uniform,CPU,"Ds | Ns",192,52,0.029728,0,0.01913,0.005152,0.092859,0.05401
1,float,uniform,CPU,"Ds | Ns",192,53,0.031104,0,0.01913,0.00544,0.093859,0.055674
1,float,uniform,CPU,"Ds | Ns",192,54,0.032192,0,0.0193,0.00688,0.095849,0.058372
1,float,uniform,CPU,"Ds | Ns",192,55,0.029152,0,0.01934,0.0072,0.093719,0.055692
1,float,uniform,CPU,"Ds | Ns",192,56,0.029664,0,0.01928,0.00864,0.095779,0.057584
1,float,uniform,CPU,"Ds | Ns",192,57,0.030656,0,0.01925,0.00544,0.093229,0.055346
1,float,uniform,CPU,"Ds | Ns",192,58,0.029184,0,0.01941,0.007008,0.095329,0.055602
1,float,uniform,CPU,"Ds | Ns",192,59,0.029984,0,0.019219,0.005728,0.093859,0.054931
1,float,uniform,CPU,"Ds | Ns",192,60,0.0296,0,0.01963,0.005504,0.091769,0.054734
1,float,uniform,CPU,"Ds | Ns",192,61,0.034208,0,0.01948,0.005568,0.09641,0.059256
1,float,uniform,CPU,"Ds | Ns",192,62,0.030976,0,0.0191,0.006624,0.102879,0.0567
1,float,uniform,CPU,"Ds | Ns",192,63,0.030848,0,0.01904,0.006112,0.092249,0.056
1,float,uniform,CPU,"Ds | Ns",192,64,0.030048,0,0.01976,0.005632,0.101899,0.05544
1,float,uniform,CPU,"Ds | Ns",192,65,0.0312,0,0.01919,0.005568,0.095899,0.055958
1,float,uniform,CPU,"Ds | Ns",192,66,0.029024,0,0.020269,0.007712,0.268807,0.057005
1,float,uniform,CPU,"Ds | Ns",192,67,0.032384,0,0.01981,0.005888,0.096279,0.058082
1,float,uniform,CPU,"Ds | Ns",192,68,0.029856,0,0.01919,0.005344,0.091899,0.05439
1,float,uniform,CPU,"Ds | Ns",192,69,0.027488,0,0.01557,0.008224,0.083179,0.051282
1,float,uniform,CPU,"Ds | Ns",192,70,0.03184,0,0.019039,0.005248,0.093859,0.056127
1,float,uniform,CPU,"Ds | Ns",192,71,0.033024,0,0.019451,0.006912,0.099419,0.059387
