dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"Ns | Ds",128,56,0.010656,0,0.01733,0.005312,0.066659,0.033298
1,float,uniform,GPU,"Ns | Ds",128,57,0.009792,0,0.01821,0.004352,0.0664,0.032354
1,float,uniform,GPU,"Ns | Ds",128,58,0.010656,0,0.01807,0.00512,0.066929,0.033846
1,float,uniform,GPU,"Ns | Ds",128,59,0.010816,0,0.0183,0.005184,0.067309,0.0343
1,float,uniform,GPU,"Ns | Ds",128,60,0.01216,0,0.01899,0.005504,0.070459,0.036654
1,float,uniform,GPU,"Ns | Ds",128,61,0.012,0,0.01811,0.005184,0.075199,0.035294
1,float,uniform,GPU,"Ns | Ds",128,62,0.01056,0,0.019439,0.005184,0.068019,0.035183
1,float,uniform,GPU,"Ns | Ds",128,63,0.010752,0,0.017999,0.00608,0.068019,0.034831
1,float,uniform,GPU,"Ns | Ds",128,64,0.011264,0,0.01805,0.005664,0.06819,0.034978
1,float,uniform,GPU,"Ns | Ds",128,65,0.011584,0,0.018499,0.00512,0.068099,0.035203
1,float,uniform,GPU,"Ns | Ds",128,66,0.011904,0,0.018019,0.0056,0.069899,0.035523
1,float,uniform,GPU,"Ns | Ds",128,67,0.011456,0,0.018639,0.005824,0.068899,0.035919
1,float,uniform,GPU,"Ns | Ds",128,68,0.009408,0,0.01835,0.005088,0.066179,0.032846
1,float,uniform,GPU,"Ns | Ds",128,69,0.010208,0,0.01841,0.004544,0.066429,0.033162
1,float,uniform,GPU,"Ns | Ds",128,70,0.011456,0,0.01769,0.005088,0.067529,0.034234
1,float,uniform,GPU,"Ns | Ds",128,71,0.011072,0,0.01787,0.005344,0.067039,0.034286
1,float,uniform,GPU,"Ns | Ds",128,72,0.012864,0,0.01786,0.005568,0.071099,0.036292
1,float,uniform,GPU,"Ns | Ds",128,73,0.010944,0,0.01859,0.005088,0.074399,0.034622
1,float,uniform,GPU,"Ns | Ds",128,74,0.01248,0,0.01891,0.00544,0.071489,0.03683
1,float,uniform,GPU,"Ns | Ds",192,0,0.023104,0,0.022949,0.010784,0.099019,0.056837
1,float,uniform,GPU,"Ns | Ds",192,1,0.010496,0,0.01914,0.004608,0.068019,0.034244
1,float,uniform,GPU,"Ns | Ds",192,2,0.011744,0,0.01886,0.005568,0.06935,0.036172
1,float,uniform,GPU,"Ns | Ds",192,3,0.012192,0,0.01964,0.005312,0.07124,0.037144
1,float,uniform,GPU,"Ns | Ds",192,4,0.010496,0,0.01906,0.005408,0.068569,0.034964
1,float,uniform,GPU,"Ns | Ds",192,5,0.00944,0,0.02021,0.005184,0.06865,0.034834
1,float,uniform,GPU,"Ns | Ds",192,6,0.011424,0,0.015801,0.006848,0.062439,0.034073
1,float,uniform,GPU,"Ns | Ds",192,7,0.010848,0,0.01866,0.005856,0.069229,0.035364
1,float,uniform,GPU,"Ns | Ds",192,8,0.011648,0,0.01901,0.007552,0.07835,0.03821
1,float,uniform,GPU,"Ns | Ds",192,9,0.010848,0,0.0192,0.00528,0.06853,0.035328
1,float,uniform,GPU,"Ns | Ds",192,10,0.011936,0,0.01913,0.005696,0.071099,0.036762
1,float,uniform,GPU,"Ns | Ds",192,11,0.01072,0,0.01935,0.005184,0.068379,0.035254
1,float,uniform,GPU,"Ns | Ds",192,12,0.009472,0,0.01898,0.005184,0.066029,0.033636
1,float,uniform,GPU,"Ns | Ds",192,13,0.011488,0,0.0188,0.006112,0.071799,0.0364
1,float,uniform,GPU,"Ns | Ds",192,14,0.01136,0,0.018689,0.005088,0.069009,0.035137
1,float,uniform,GPU,"Ns | Ds",192,15,0.01104,0,0.018778,0.00544,0.069859,0.035258
1,float,uniform,GPU,"Ns | Ds",192,16,0.00976,0,0.019,0.005248,0.066639,0.034008
1,float,uniform,GPU,"Ns | Ds",192,17,0.010976,0,0.01948,0.005248,0.06826,0.035704
1,float,uniform,GPU,"Ns | Ds",192,18,0.009504,0,0.01557,0.006432,0.06036,0.031506
1,float,uniform,GPU,"Ns | Ds",192,19,0.010496,0,0.0181,0.006752,0.070089,0.035348
1,float,uniform,GPU,"Ns | Ds",192,20,0.01136,0,0.01894,0.005728,0.070689,0.036028
