dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | D | N",128,14,1.59037,0.001889,0.526103,0.093504,2.27196,2.21186
3,double,uniform,CPU,"P | P | P | P | D | N",128,15,1.55578,0.00167,0.526605,0.094112,2.23746,2.17816
3,double,uniform,CPU,"P | P | P | P | D | N",128,16,1.49901,0.00191,0.526455,0.094464,2.18231,2.12184
3,double,uniform,CPU,"P | P | P | P | D | N",128,17,1.55811,0.00181,0.525834,0.095296,2.24057,2.18105
3,double,uniform,CPU,"P | P | P | P | D | N",128,18,1.51418,0.0018,0.525435,0.093664,2.19257,2.13507
3,double,uniform,CPU,"P | P | P | P | D | N",128,19,1.53952,0.00169,0.525594,0.094688,2.22282,2.16149
3,double,uniform,CPU,"P | P | P | P | D | N",128,20,1.56237,0.00221,0.531514,0.09984,2.28057,2.19593
3,double,uniform,CPU,"P | P | P | P | D | N",128,21,1.54134,0.00188,0.524965,0.09776,2.22709,2.16595
3,double,uniform,CPU,"P | P | P | P | D | N",128,22,1.52336,0.00166,0.524435,0.094304,2.22082,2.14376
3,double,uniform,CPU,"P | P | P | P | D | N",128,23,1.61101,0.00171,0.525005,0.094976,2.29402,2.2327
3,double,uniform,CPU,"P | P | P | P | D | N",128,24,1.52835,0.00185,0.525763,0.096352,2.21314,2.15232
3,double,uniform,CPU,"P | P | P | P | D | N",128,25,1.53651,0.00167,0.525544,0.09408,2.21893,2.15781
3,double,uniform,CPU,"P | P | P | P | D | N",128,26,1.50941,0.001781,0.525524,0.095072,2.19088,2.13179
3,double,uniform,CPU,"P | P | P | P | D | N",128,27,1.53248,0.00179,0.525504,0.095072,2.21621,2.15485
3,double,uniform,CPU,"P | P | P | P | D | N",128,28,1.524,0.00203,0.525505,0.094848,2.20794,2.14638
3,double,uniform,CPU,"P | P | P | P | D | N",128,29,1.48848,0.00174,0.518465,0.097408,2.15723,2.10609
3,double,uniform,CPU,"P | P | P | P | D | N",128,30,1.50339,0.001811,0.525404,0.094656,2.18639,2.12526
3,double,uniform,CPU,"P | P | P | P | D | N",128,31,1.53472,0.0018,0.524874,0.094592,2.21526,2.15599
3,double,uniform,CPU,"P | P | P | P | D | N",128,32,1.51888,0.00166,0.524014,0.093024,2.19847,2.13758
3,double,uniform,CPU,"P | P | P | P | D | N",128,33,1.52304,0.001709,0.524334,0.094944,2.20456,2.14403
3,double,uniform,CPU,"P | P | P | P | D | N",128,34,1.53718,0.00171,0.520373,0.096832,2.20965,2.1561
3,double,uniform,CPU,"P | P | P | P | D | N",128,35,1.51344,0.00172,0.526234,0.095072,2.19639,2.13647
3,double,uniform,CPU,"P | P | P | P | D | N",128,36,1.51411,0.00186,0.535594,0.093696,2.20468,2.14526
3,double,uniform,CPU,"P | P | P | P | D | N",128,37,1.50694,0.001859,0.525724,0.09424,2.18915,2.12877
3,double,uniform,CPU,"P | P | P | P | D | N",128,38,1.50461,0.00187,0.525795,0.097664,2.1905,2.12994
3,double,uniform,CPU,"P | P | P | P | D | N",128,39,1.50323,0.001721,0.524654,0.094464,2.18217,2.12407
3,double,uniform,CPU,"P | P | P | P | D | N",128,40,1.52966,0.00172,0.524775,0.095008,2.21156,2.15117
3,double,uniform,CPU,"P | P | P | P | D | N",128,41,1.51955,0.00192,0.521765,0.096416,2.1936,2.13965
3,double,uniform,CPU,"P | P | P | P | D | N",128,42,1.51715,0.00168,0.524685,0.0936,2.19787,2.13712
3,double,uniform,CPU,"P | P | P | P | D | N",128,43,1.53318,0.001688,0.525816,0.09456,2.21477,2.15525
3,double,uniform,CPU,"P | P | P | P | D | N",128,44,1.51546,0.00181,0.526406,0.094176,2.19971,2.13785
3,double,uniform,CPU,"P | P | P | P | D | N",128,45,1.57792,0.0017,0.524385,0.09424,2.25755,2.19824
3,double,uniform,CPU,"P | P | P | P | D | N",128,46,1.53306,0.00192,0.526594,0.0944,2.21571,2.15597
3,double,uniform,CPU,"P | P | P | P | D | N",128,47,1.56669,0.0017,0.524953,0.092736,2.24568,2.18608
3,double,uniform,CPU,"P | P | P | P | D | N",128,48,1.60922,0.00184,0.521103,0.095488,2.28384,2.22765
3,double,uniform,CPU,"P | P | P | P | D | N",128,49,1.50048,0.00184,0.525374,0.094688,2.18112,2.12238
3,double,uniform,CPU,"P | P | P | P | D | N",128,50,1.49738,0.0017,0.525944,0.095648,2.18134,2.12067
3,double,uniform,CPU,"P | P | P | P | D | N",128,51,1.55213,0.002041,0.531844,0.100544,2.27013,2.18656
3,double,uniform,CPU,"P | P | P | P | D | N",128,52,1.51453,0.00167,0.525605,0.093792,2.19767,2.1356
3,double,uniform,CPU,"P | P | P | P | D | N",128,53,1.50163,0.00182,0.525835,0.09552,2.18344,2.12481
3,double,uniform,CPU,"P | P | P | P | D | N",128,54,1.52787,0.00174,0.526675,0.093216,2.21265,2.1495
3,double,uniform,CPU,"P | P | P | P | D | N",128,55,1.51264,0.00183,0.526044,0.094848,2.19424,2.13536
3,double,uniform,CPU,"P | P | P | P | D | N",128,56,1.52493,0.001841,0.526854,0.094496,2.20933,2.14812
3,double,uniform,CPU,"P | P | P | P | D | N",128,57,1.55075,0.00169,0.525104,0.094816,2.23118,2.17236
3,double,uniform,CPU,"P | P | P | P | D | N",128,58,1.49798,0.00176,0.530874,0.09376,2.18393,2.12438
3,double,uniform,CPU,"P | P | P | P | D | N",128,59,1.51274,0.002029,0.533575,0.09872,2.23045,2.14706
3,double,uniform,CPU,"P | P | P | P | D | N",128,60,1.52653,0.00218,0.531655,0.0992,2.24778,2.15956
3,double,uniform,CPU,"P | P | P | P | D | N",128,61,1.52278,0.00174,0.524506,0.09408,2.20049,2.14311
3,double,uniform,CPU,"P | P | P | P | D | N",128,62,1.50762,0.00163,0.524903,0.093952,2.18905,2.1281
3,double,uniform,CPU,"P | P | P | P | D | N",128,63,1.55258,0.00169,0.524975,0.09424,2.23226,2.17348
3,double,uniform,CPU,"P | P | P | P | D | N",128,64,1.58611,0.00166,0.525323,0.092064,2.26668,2.20516
3,double,uniform,CPU,"P | P | P | P | D | N",128,65,1.53459,0.001731,0.520654,0.096512,2.20771,2.15349
3,double,uniform,CPU,"P | P | P | P | D | N",128,66,1.56701,0.001911,0.526645,0.092928,2.24982,2.18849
3,double,uniform,CPU,"P | P | P | P | D | N",128,67,1.57478,0.00162,0.524895,0.093792,2.25509,2.19509
3,double,uniform,CPU,"P | P | P | P | D | N",128,68,1.55146,0.00181,0.524444,0.095488,2.23473,2.1732
3,double,uniform,CPU,"P | P | P | P | D | N",128,69,1.52189,0.00176,0.523154,0.09584,2.19972,2.14264
3,double,uniform,CPU,"P | P | P | P | D | N",128,70,1.59501,0.00167,0.524145,0.099584,2.27901,2.22041
3,double,uniform,CPU,"P | P | P | P | D | N",128,71,1.50278,0.001771,0.524893,0.095168,2.18284,2.12462
3,double,uniform,CPU,"P | P | P | P | D | N",128,72,1.54077,0.001691,0.522044,0.095552,2.21956,2.16005
3,double,uniform,CPU,"P | P | P | P | D | N",128,73,1.50595,0.001789,0.524664,0.095008,2.18698,2.12741
3,double,uniform,CPU,"P | P | P | P | D | N",128,74,1.52154,0.001719,0.524915,0.093216,2.2022,2.14139
3,double,uniform,CPU,"P | P | P | P | D | N",192,0,5.70906,0.00217,1.81193,0.330496,7.94227,7.85365
3,double,uniform,CPU,"P | P | P | P | D | N",192,1,5.81997,0.00233,1.80521,0.330272,8.03226,7.95778
3,double,uniform,CPU,"P | P | P | P | D | N",192,2,5.43862,0.00235,1.80449,0.332192,7.65131,7.57766
3,double,uniform,CPU,"P | P | P | P | D | N",192,3,5.49376,0.00236,1.81531,0.333536,7.71353,7.64497
3,double,uniform,CPU,"P | P | P | P | D | N",192,4,5.37338,0.002128,1.80724,0.333184,7.5916,7.51593
3,double,uniform,CPU,"P | P | P | P | D | N",192,5,5.42304,0.00229,1.80869,0.333312,7.64066,7.56733
3,double,uniform,CPU,"P | P | P | P | D | N",192,6,5.8329,0.002239,1.8063,0.33456,8.07363,7.976
3,double,uniform,CPU,"P | P | P | P | D | N",192,7,5.33331,0.00229,1.80751,0.331616,7.55218,7.47473
3,double,uniform,CPU,"P | P | P | P | D | N",192,8,5.46006,0.00212,1.81601,0.333088,7.68558,7.61128
3,double,uniform,CPU,"P | P | P | P | D | N",192,9,5.80979,0.002081,1.80892,0.333312,8.04386,7.9541
3,double,uniform,CPU,"P | P | P | P | D | N",192,10,5.32749,0.0021,1.81007,0.334464,7.54086,7.47412
3,double,uniform,CPU,"P | P | P | P | D | N",192,11,5.62205,0.0022,1.81972,0.330592,7.84616,7.77456
3,double,uniform,CPU,"P | P | P | P | D | N",192,12,5.37053,0.00218,1.80439,0.3328,7.57757,7.5099
3,double,uniform,CPU,"P | P | P | P | D | N",192,13,5.35626,0.00211,1.80991,0.331744,7.57244,7.50002
3,double,uniform,CPU,"P | P | P | P | D | N",192,14,5.80205,0.00239,1.80509,0.329376,8.0124,7.9389
3,double,uniform,CPU,"P | P | P | P | D | N",192,15,5.4321,0.002171,1.80314,0.333216,7.6433,7.57062
3,double,uniform,CPU,"P | P | P | P | D | N",192,16,5.58186,0.00201,1.81256,0.33184,7.7987,7.72827
3,double,uniform,CPU,"P | P | P | P | D | N",192,17,5.82474,0.00222,1.80861,0.332352,8.05065,7.96792
3,double,uniform,CPU,"P | P | P | P | D | N",192,18,5.49357,0.00231,1.81368,0.330816,7.70873,7.64037
3,double,uniform,CPU,"P | P | P | P | D | N",192,19,5.66032,0.00186,1.80512,0.326912,7.86458,7.79421
3,double,uniform,CPU,"P | P | P | P | D | N",192,20,5.43728,0.00201,1.80332,0.328608,7.6426,7.57122
3,double,uniform,CPU,"P | P | P | P | D | N",192,21,5.42726,0.0022,1.81755,0.327648,7.6486,7.57466
3,double,uniform,CPU,"P | P | P | P | D | N",192,22,5.42275,0.00207,1.81567,0.329824,7.6445,7.57032
3,double,uniform,CPU,"P | P | P | P | D | N",192,23,5.89859,0.00241,1.81726,0.332288,8.12501,8.05055
3,double,uniform,CPU,"P | P | P | P | D | N",192,24,5.41958,0.00204,1.81424,0.332736,7.64719,7.5686
3,double,uniform,CPU,"P | P | P | P | D | N",192,25,5.46621,0.00206,1.805,0.32976,7.67649,7.60303
3,double,uniform,CPU,"P | P | P | P | D | N",192,26,5.46262,0.002111,1.80307,0.330336,7.66995,7.59814
3,double,uniform,CPU,"P | P | P | P | D | N",192,27,5.36717,0.00215,1.80148,0.328704,7.57048,7.4995
3,double,uniform,CPU,"P | P | P | P | D | N",192,28,5.5024,0.002278,1.81668,0.330624,7.72516,7.65198
3,double,uniform,CPU,"P | P | P | P | D | N",192,29,5.38288,0.00203,1.80241,0.33168,7.59045,7.519
3,double,uniform,CPU,"P | P | P | P | D | N",192,30,5.69203,0.00209,1.81,0.32864,7.90383,7.83276
3,double,uniform,CPU,"P | P | P | P | D | N",192,31,5.50509,0.00212,1.81538,0.330848,7.72343,7.65344
3,double,uniform,CPU,"P | P | P | P | D | N",192,32,5.45267,0.002341,1.80375,0.327936,7.66063,7.5867
3,double,uniform,CPU,"P | P | P | P | D | N",192,33,5.46538,0.00198,1.81802,0.333792,7.69661,7.61917
3,double,uniform,CPU,"P | P | P | P | D | N",192,34,5.47206,0.00202,1.80399,0.333152,7.68114,7.61123
3,double,uniform,CPU,"P | P | P | P | D | N",192,35,5.3705,0.00214,1.80214,0.329056,7.57897,7.50383
3,double,uniform,CPU,"P | P | P | P | D | N",192,36,5.59558,0.00225,1.81569,0.33376,7.82043,7.74728
3,double,uniform,CPU,"P | P | P | P | D | N",192,37,5.94618,0.00215,1.80864,0.332352,8.17832,8.08932
3,double,uniform,CPU,"P | P | P | P | D | N",192,38,5.6449,0.00237,1.80838,0.330528,7.86247,7.78617
3,double,uniform,CPU,"P | P | P | P | D | N",192,39,5.41152,0.00202,1.80354,0.332928,7.62241,7.55001
3,double,uniform,CPU,"P | P | P | P | D | N",192,40,5.92502,0.00218,1.80989,0.332384,8.1412,8.06948
3,double,uniform,CPU,"P | P | P | P | D | N",192,41,5.40771,0.00214,1.81319,0.329344,7.62611,7.55239
