dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,16,0.064832,0,0.145819,0.052416,0.316207,0.263067
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,17,0.05088,0,0.141168,0.04944,0.294927,0.241488
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,18,0.055392,0,0.142398,0.050304,0.300376,0.248094
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,19,0.06928,0,0.146068,0.053632,0.322236,0.26898
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,20,0.051808,0,0.142758,0.049184,0.297177,0.24375
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,21,0.05536,0,0.14375,0.047616,0.301097,0.246726
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,22,0.068352,0,0.146518,0.052256,0.320506,0.267126
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,23,0.051776,0,0.142058,0.047264,0.293827,0.241098
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,24,0.052768,0,0.142848,0.049824,0.298887,0.24544
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,25,0.063616,0,0.145399,0.0512,0.313137,0.260215
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,26,0.050144,0,0.141368,0.049568,0.294856,0.24108
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,27,0.070656,0,0.146828,0.050048,0.321307,0.267532
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,28,0.049152,0,0.236418,0.048352,0.386826,0.333922
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,29,0.060704,0,0.144608,0.051872,0.310056,0.257184
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,30,0.059136,0,0.143678,0.051328,0.307257,0.254142
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,31,0.060192,0,0.145109,0.0512,0.366036,0.256501
