dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,68,1.57869,0.00232,0.501234,0.100128,2.26676,2.18237
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,69,1.54698,0.00203,0.500935,0.098752,2.22804,2.14869
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,70,1.55962,0.00168,0.496385,0.099072,2.2162,2.15675
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,71,1.5823,0.00173,0.494175,0.093984,2.23465,2.17219
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,72,1.60816,0.00176,0.493704,0.095744,2.25876,2.19937
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,73,1.54538,0.00174,0.495384,0.098592,2.20664,2.14109
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,74,1.54438,0.001661,0.494735,0.094912,2.19669,2.13569
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,0,5.8441,0.002158,1.55883,0.33504,7.83255,7.74013
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,1,5.37987,0.002201,1.55446,0.331008,7.33511,7.26755
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,2,5.43827,0.00204,1.56573,0.334464,7.40835,7.34051
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,3,5.84544,0.00241,1.55846,0.332704,7.8135,7.73902
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,4,5.47274,0.002181,1.56855,0.333824,7.44522,7.37729
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,5,5.39677,0.002019,1.57017,0.335904,7.37512,7.30486
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,6,5.67091,0.00227,1.56174,0.334592,7.64171,7.56952
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,7,5.52112,0.00204,1.56694,0.333664,7.49199,7.42377
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,8,5.53504,0.00233,1.55494,0.33008,7.48977,7.42239
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,9,5.37392,0.00205,1.56263,0.331296,7.33657,7.2699
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,10,5.66336,0.00228,1.56165,0.334176,7.63347,7.56147
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,11,5.51574,0.00204,1.55556,0.330144,7.48197,7.40349
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,12,5.47389,0.00188,1.56182,0.333568,7.44237,7.37116
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,13,5.89341,0.002331,1.57084,0.335104,7.8899,7.80169
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,14,5.50189,0.00222,1.56664,0.3312,7.47233,7.40195
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,15,5.47165,0.001969,1.564,0.33552,7.44372,7.37314
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,16,5.4495,0.00216,1.56118,0.334432,7.41378,7.34728
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,17,5.4329,0.002161,1.56495,0.332544,7.40433,7.33255
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,18,5.38531,0.00209,1.56591,0.33392,7.35398,7.28723
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,19,5.42298,0.00192,1.56274,0.334112,7.39172,7.32175
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,20,5.49331,0.00212,1.56203,0.336064,7.46309,7.39353
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,21,5.99786,0.00232,1.57131,0.335104,7.99115,7.90659
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,22,5.50518,0.0022,1.57028,0.33536,7.4806,7.41303
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,23,5.98483,0.002311,1.56581,0.334368,7.95456,7.88733
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,24,5.45501,0.00239,1.5674,0.331328,7.42671,7.35613
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,25,5.48752,0.00223,1.55573,0.330528,7.44441,7.37601
