dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"P | P",192,25,0.019296,0,0.0176,0.015328,0.098448,0.052224
1,float,uniform,CPU,"P | P",192,26,0.019808,0,0.01739,0.013312,0.093439,0.05051
1,float,uniform,CPU,"P | P",192,27,0.018784,0,0.01795,0.013888,0.096639,0.050622
1,float,uniform,CPU,"P | P",192,28,0.020224,0,0.017929,0.014816,0.098729,0.052969
1,float,uniform,CPU,"P | P",192,29,0.018528,0,0.01773,0.014752,0.096149,0.05101
1,float,uniform,CPU,"P | P",192,30,0.02112,0,0.01794,0.01312,0.096339,0.05218
1,float,uniform,CPU,"P | P",192,31,0.018944,0,0.018209,0.013376,0.096119,0.050529
1,float,uniform,CPU,"P | P",192,32,0.019488,0,0.01764,0.018848,0.100969,0.055976
1,float,uniform,CPU,"P | P",192,33,0.019968,0,0.01819,0.014176,0.180478,0.052334
1,float,uniform,CPU,"P | P",192,34,0.020352,0,0.01776,0.0136,0.098459,0.051712
1,float,uniform,CPU,"P | P",192,35,0.020928,0,0.01786,0.014976,0.099269,0.053764
1,float,uniform,CPU,"P | P",192,36,0.020864,0,0.01906,0.01552,0.105618,0.055444
1,float,uniform,CPU,"P | P",192,37,0.01936,0,0.01801,0.014496,0.098329,0.051866
1,float,uniform,CPU,"P | P",192,38,0.02096,0,0.017949,0.017344,0.103709,0.056253
1,float,uniform,CPU,"P | P",192,39,0.018976,0,0.014589,0.01568,0.088109,0.049245
1,float,uniform,CPU,"P | P",192,40,0.020224,0,0.01778,0.015296,0.099498,0.0533
1,float,uniform,CPU,"P | P",192,41,0.019328,0,0.01783,0.01824,0.102459,0.055398
1,float,uniform,CPU,"P | P",192,42,0.01936,0,0.01818,0.015552,0.098268,0.053092
1,float,uniform,CPU,"P | P",192,43,0.021408,0,0.01794,0.018176,0.103978,0.057524
1,float,uniform,CPU,"P | P",192,44,0.027296,0,0.018,0.015776,0.108728,0.061072
1,float,uniform,CPU,"P | P",192,45,0.019104,0,0.01826,0.021824,0.104959,0.059188
1,float,uniform,CPU,"P | P",192,46,0.018816,0,0.0177,0.02208,0.103339,0.058596
1,float,uniform,CPU,"P | P",192,47,0.019072,0,0.01754,0.014496,0.097219,0.051108
1,float,uniform,CPU,"P | P",192,48,0.025472,0,0.017919,0.015104,0.104969,0.058495
1,float,uniform,CPU,"P | P",192,49,0.018944,0,0.01773,0.014784,0.097659,0.051458
1,float,uniform,CPU,"P | P",192,50,0.018912,0,0.01802,0.014688,0.098809,0.05162
1,float,uniform,CPU,"P | P",192,51,0.0208,0,0.018291,0.01376,0.098099,0.052851
1,float,uniform,CPU,"P | P",192,52,0.018048,0,0.01387,0.01456,0.083099,0.046478
1,float,uniform,CPU,"P | P",192,53,0.020224,0,0.01821,0.014048,0.099219,0.052482
1,float,uniform,CPU,"P | P",192,54,0.020768,0,0.02036,0.013984,0.101529,0.055112
1,float,uniform,CPU,"P | P",192,55,0.018784,0,0.01769,0.015744,0.098348,0.052218
1,float,uniform,CPU,"P | P",192,56,0.019232,0,0.01767,0.01456,0.098088,0.051462
1,float,uniform,CPU,"P | P",192,57,0.019232,0,0.017599,0.014816,0.098969,0.051647
1,float,uniform,CPU,"P | P",192,58,0.018944,0,0.018179,0.013856,0.095799,0.050979
1,float,uniform,CPU,"P | P",192,59,0.018656,0,0.01785,0.013216,0.093339,0.049722
1,float,uniform,CPU,"P | P",192,60,0.019744,0,0.018149,0.014272,0.099139,0.052165
1,float,uniform,CPU,"P | P",192,61,0.01856,0,0.018229,0.014432,0.097779,0.051221
1,float,uniform,CPU,"P | P",192,62,0.022432,0,0.01805,0.014144,0.101369,0.054626
1,float,uniform,CPU,"P | P",192,63,0.01904,0,0.01859,0.014528,0.100619,0.052158
1,float,uniform,CPU,"P | P",192,64,0.019872,0,0.01799,0.014432,0.099419,0.052294
1,float,uniform,CPU,"P | P",192,65,0.021664,0,0.0177,0.01536,0.102399,0.054724
1,float,uniform,CPU,"P | P",192,66,0.018752,0,0.0181,0.013472,0.096289,0.050324
1,float,uniform,CPU,"P | P",192,67,0.01984,0,0.01765,0.015008,0.097739,0.052498
1,float,uniform,CPU,"P | P",192,68,0.020352,0,0.01784,0.014336,0.097309,0.052528
1,float,uniform,CPU,"P | P",192,69,0.019456,0,0.01794,0.015168,0.09841,0.052564
1,float,uniform,CPU,"P | P",192,70,0.02016,0,0.01812,0.017568,0.101898,0.055848
1,float,uniform,CPU,"P | P",192,71,0.020192,0,0.018569,0.014496,0.098499,0.053257
