dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,15,0.033472,0.00155,0.07602,0.019904,0.184057,0.130946
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,16,0.025888,0.0015,0.07592,0.019136,0.175678,0.122444
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,17,0.026976,0.001529,0.076108,0.021216,0.179258,0.125829
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,18,0.026592,0.001489,0.0768,0.019488,0.178748,0.124369
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,19,0.025824,0.00144,0.076219,0.018496,0.175758,0.121979
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,20,0.034432,0.00156,0.076579,0.019776,0.187378,0.132347
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,21,0.027424,0.00147,0.07603,0.01936,0.178408,0.124284
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,22,0.026048,0.00149,0.075999,0.018816,0.176898,0.122353
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,23,0.02736,0.00158,0.07144,0.020928,0.167858,0.121308
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,24,0.026528,0.00144,0.07664,0.019744,0.177508,0.124352
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,25,0.033536,0.00149,0.07561,0.01856,0.183238,0.129196
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,26,0.032896,0.00158,0.075399,0.018656,0.181958,0.128531
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,27,0.034944,0.00157,0.069189,0.0216,0.175078,0.127303
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,28,0.02672,0.001651,0.076559,0.018624,0.177888,0.123554
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,29,0.033952,0.00156,0.076169,0.019712,0.187878,0.131393
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,30,0.041248,0.002,0.093838,0.02496,0.218388,0.162046
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,31,0.02864,0.00169,0.236458,0.020896,0.342466,0.287684
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,32,0.027488,0.001592,0.076969,0.019296,0.179628,0.125345
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,33,0.032704,0.00149,0.076579,0.0184,0.184669,0.129173
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,34,0.025856,0.00158,0.07545,0.020288,0.176738,0.123174
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,35,0.033376,0.00155,0.076349,0.019392,0.184148,0.130667
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,36,0.027104,0.0015,0.069219,0.021856,0.167958,0.119679
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,37,0.026784,0.001489,0.081869,0.0192,0.184448,0.129342
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,38,0.027776,0.001532,0.084358,0.019488,0.186688,0.133154
