dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,32,0.104448,0.00195,1.55598,0.332192,2.05883,1.99457
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,33,0.11024,0.00205,1.56248,0.336704,2.07887,2.01148
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,34,0.112544,0.002141,1.55856,0.331232,2.06774,2.00448
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,35,0.115776,0.00211,1.55918,0.335456,2.08363,2.01252
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,36,0.112032,0.00192,1.5736,0.33456,2.08745,2.02212
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,37,0.116736,0.0022,1.5635,0.33104,2.07906,2.01348
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,38,0.115456,0.002101,1.55953,0.330848,2.07408,2.00794
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,39,0.111008,0.00206,1.55919,0.332192,2.07143,2.00445
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,40,0.111936,0.00208,1.56151,0.333664,2.07438,2.00919
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,41,0.103392,0.00184,1.56019,0.332736,2.05902,1.99816
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,42,0.097568,0.001831,1.56088,0.332576,2.05853,1.99286
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,43,0.115136,0.002039,1.56192,0.330496,2.07532,2.00959
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,44,0.113696,0.00216,1.55572,0.332384,2.06769,2.00396
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,45,0.108704,0.00197,1.55671,0.332736,2.06604,2.00012
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,46,0.109536,0.002169,1.55783,0.333984,2.07519,2.00352
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,47,0.11488,0.00204,1.55775,0.331424,2.06985,2.0061
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,48,0.102272,0.00189,1.55479,0.33088,2.05298,1.98983
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,49,0.112704,0.00205,1.55955,0.331072,2.07118,2.00538
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,50,0.101152,0.00224,1.56538,0.33152,2.06539,2.0003
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,51,0.115296,0.00211,1.56362,0.331648,2.07949,2.01268
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,52,0.1152,0.00208,1.55914,0.331456,2.075,2.00788
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,53,0.11264,0.00213,1.56598,0.33408,2.08136,2.01483
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,54,0.108704,0.00206,1.55709,0.33184,2.06622,1.9997
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,55,0.104896,0.00201,1.55724,0.331648,2.05952,1.9958
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,56,0.103072,0.00195,1.55459,0.328896,2.05244,1.98851
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,57,0.115488,0.00215,1.56769,0.333184,2.08909,2.01852
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,58,0.113344,0.00223,1.57203,0.334272,2.08718,2.02188
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,59,0.102752,0.0019,1.55609,0.332032,2.05761,1.99278
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,60,0.113408,0.002079,1.57049,0.334432,2.08644,2.02041
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,61,0.098912,0.001969,1.56505,0.333984,2.06426,1.99992
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,62,0.110176,0.00211,1.55741,0.335616,2.07224,2.00532
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,63,0.11328,0.00222,1.55976,0.334336,2.07626,2.0096
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,64,0.11264,0.00222,1.55908,0.332096,2.07245,2.00604
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,65,0.11456,0.002031,1.55847,0.332992,2.07359,2.00806
