dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"N | N",192,43,0.028096,0,0.079889,0.006464,0.156218,0.114449
1,double,uniform,CPU,"N | N",192,44,0.028128,0,0.07975,0.006784,0.156909,0.114662
1,double,uniform,CPU,"N | N",192,45,0.028288,0,0.079429,0.007968,0.156919,0.115685
1,double,uniform,CPU,"N | N",192,46,0.028672,0,0.079549,0.007872,0.157579,0.116093
1,double,uniform,CPU,"N | N",192,47,0.029856,0,0.079409,0.007776,0.158599,0.117041
1,double,uniform,CPU,"N | N",192,48,0.03024,0,0.07946,0.009024,0.159369,0.118724
1,double,uniform,CPU,"N | N",192,49,0.030784,0,0.079589,0.006848,0.260197,0.117221
1,double,uniform,CPU,"N | N",192,50,0.03328,0,0.079359,0.006784,0.162509,0.119423
1,double,uniform,CPU,"N | N",192,51,0.03104,0,0.079589,0.008448,0.161299,0.119077
1,double,uniform,CPU,"N | N",192,52,0.031488,0,0.07901,0.0064,0.158928,0.116898
1,double,uniform,CPU,"N | N",192,53,0.030272,0,0.082979,0.007744,0.160318,0.120995
1,double,uniform,CPU,"N | N",192,54,0.028896,0,0.079249,0.007264,0.157388,0.115409
1,double,uniform,CPU,"N | N",192,55,0.028096,0,0.07907,0.006752,0.156069,0.113918
1,double,uniform,CPU,"N | N",192,56,0.031136,0,0.07939,0.006784,0.161178,0.11731
1,double,uniform,CPU,"N | N",192,57,0.030912,0,0.0797,0.007712,0.161898,0.118324
1,double,uniform,CPU,"N | N",192,58,0.031104,0,0.08047,0.007712,0.161969,0.119286
1,double,uniform,CPU,"N | N",192,59,0.029664,0,0.07942,0.008384,0.157209,0.117468
1,double,uniform,CPU,"N | N",192,60,0.030208,0,0.079589,0.007552,0.159878,0.117349
1,double,uniform,CPU,"N | N",192,61,0.029536,0,0.07944,0.007776,0.159258,0.116752
1,double,uniform,CPU,"N | N",192,62,0.031552,0,0.079479,0.007328,0.161148,0.118359
1,double,uniform,CPU,"N | N",192,63,0.029344,0,0.079798,0.006816,0.158399,0.115958
1,double,uniform,CPU,"N | N",192,64,0.029824,0,0.079379,0.00736,0.158788,0.116563
1,double,uniform,CPU,"N | N",192,65,0.03072,0,0.079569,0.006976,0.158279,0.117265
