dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,28,0.113376,0.00187,1.4932,0.334432,2.00934,1.94288
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,29,0.111776,0.00203,1.50325,0.335296,2.01803,1.95236
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,30,0.112832,0.00161,1.50107,0.337984,2.01428,1.9535
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,31,0.118496,0.00177,1.49407,0.338432,2.02083,1.95277
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,32,0.114752,0.00214,1.49357,0.335232,2.01175,1.9457
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,33,0.11456,0.00162,1.49077,0.332608,2.00145,1.93956
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,34,0.113152,0.00181,1.49816,0.33376,2.01249,1.94689
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,35,0.113056,0.0018,1.49779,0.335104,2.01265,1.94775
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,36,0.113408,0.00199,1.49581,0.33456,2.01263,1.94577
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,37,0.11248,0.00202,1.49418,0.334368,2.01217,1.94305
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,38,0.116224,0.00184,1.49101,0.336768,2.01595,1.94585
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,39,0.11696,0.00194,1.49893,0.334912,2.01959,1.95275
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,40,0.12832,0.0021,1.4994,0.339072,2.03404,1.96889
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,41,0.111808,0.001849,1.49605,0.335904,2.01193,1.94562
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,42,0.113632,0.001689,1.49278,0.333888,2.00742,1.94199
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,43,0.116256,0.001879,1.50359,0.336256,2.02476,1.95798
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,44,0.114208,0.001879,1.49287,0.333952,2.0094,1.94291
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,45,0.113504,0.001871,1.49461,0.335584,2.01189,1.94557
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,46,0.118976,0.00196,1.49278,0.334016,2.014,1.94774
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,47,0.115264,0.001911,1.5033,0.337824,2.02274,1.9583
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,48,0.109312,0.001878,1.49126,0.335392,2.00401,1.93785
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,49,0.113024,0.00195,1.4929,0.336096,2.00889,1.94397
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,50,0.113216,0.001878,1.49263,0.33424,2.00846,1.94197
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,51,0.113568,0.00193,1.49727,0.338304,2.01704,1.95108
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,52,0.113952,0.0018,1.48726,0.33856,2.00345,1.94158
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,53,0.115392,0.001741,1.49276,0.334912,2.01057,1.94481
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,54,0.11648,0.00208,1.49468,0.333344,2.01601,1.94659
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,55,0.12928,0.002,1.50305,0.33744,2.03895,1.97177
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,56,0.112064,0.00177,1.49252,0.337472,2.00976,1.94383
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,57,0.115488,0.0017,1.49381,0.3344,2.0116,1.9454
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,58,0.112096,0.00286,1.49534,0.334528,2.0105,1.94483
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,59,0.1128,0.00187,1.51479,0.33568,2.03035,1.96514
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,60,0.112704,0.00167,1.49267,0.331712,2.00353,1.93876
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,61,0.119328,0.001941,1.49421,0.33632,2.0178,1.9518
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,62,0.12256,0.00209,1.50002,0.335616,2.02681,1.96029
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,63,0.12576,0.0021,1.49657,0.339456,2.03178,1.96389
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,64,0.115904,0.00164,1.49227,0.333184,2.00784,1.943
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,65,0.114944,0.00194,1.49174,0.336512,2.01005,1.94514
