dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,67,0.801344,0.001609,0.082449,0.030368,0.968629,0.91577
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,68,0.80512,0.00157,0.082069,0.029248,0.969399,0.918007
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,69,0.804384,0.001581,0.081928,0.028544,0.968059,0.916437
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,70,0.798048,0.001589,0.08866,0.031328,0.971638,0.919625
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,71,0.795328,0.00153,0.082649,0.029504,0.967999,0.909011
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,72,0.798464,0.001551,0.08177,0.029088,0.963829,0.910873
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,73,0.931296,0.0015,0.081678,0.030624,1.09673,1.0451
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,74,0.796288,0.001781,0.088509,0.03216,0.971759,0.918738
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,0,2.61264,0.002181,0.181439,0.082432,2.95871,2.87869
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,1,2.62845,0.00215,0.181597,0.085664,2.9679,2.89786
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,2,2.66474,0.002029,0.169279,0.081248,2.97981,2.91729
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,3,2.6136,0.00156,0.169127,0.07728,2.91858,2.86157
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,4,2.63875,0.001761,0.167427,0.076704,2.93914,2.88464
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,5,2.61946,0.00161,0.166869,0.073728,2.91614,2.86166
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,6,2.70525,0.001609,0.16847,0.07776,3.01302,2.95309
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,7,2.56829,0.00201,0.16462,0.077408,2.86884,2.81233
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,8,2.58496,0.00195,0.168297,0.074944,2.89019,2.83015
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,9,2.55923,0.001719,0.168379,0.07552,2.86211,2.80485
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,10,2.62429,0.00161,0.168257,0.075072,2.92599,2.86923
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,11,2.66282,0.00217,0.181607,0.084512,3.01066,2.93111
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,12,2.59757,0.00187,0.168906,0.080096,2.90545,2.84844
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,13,2.75882,0.00182,0.172276,0.081504,3.08072,3.01442
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,14,2.58842,0.0018,0.16852,0.076288,2.89813,2.83502
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,15,2.57981,0.00166,0.16863,0.075232,2.88241,2.82533
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,16,2.64179,0.001589,0.167566,0.07488,2.94195,2.88583
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,17,2.58733,0.00165,0.16728,0.07488,2.88748,2.83114
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,18,2.68989,0.00215,0.180728,0.083648,3.03735,2.95641
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,19,2.58576,0.00183,0.170159,0.078784,2.89904,2.83653
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,20,2.64445,0.00173,0.161886,0.079072,2.9429,2.88714
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,21,2.6055,0.00175,0.171596,0.074656,2.92757,2.85351
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,22,2.66477,0.00168,0.167837,0.076704,2.96782,2.91099
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,23,2.56992,0.00172,0.166026,0.074912,2.86969,2.81258
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,24,2.56954,0.001769,0.165728,0.077056,2.87249,2.81409
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,25,2.58486,0.001791,0.161949,0.0792,2.88211,2.8278
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,26,2.61072,0.00178,0.168378,0.073408,2.91196,2.85429
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,27,2.59939,0.00158,0.167537,0.075584,2.90097,2.84409
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,28,2.57453,0.001709,0.167357,0.075488,2.87618,2.81908
