dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"N | N",256,55,       0.004860
1,double,uniform,PoisFFT,"N | N",256,56,       0.004850
1,double,uniform,PoisFFT,"N | N",256,57,       0.004920
1,double,uniform,PoisFFT,"N | N",256,58,       0.004870
1,double,uniform,PoisFFT,"N | N",256,59,       0.004890
1,double,uniform,PoisFFT,"N | N",256,60,       0.004871
1,double,uniform,PoisFFT,"N | N",256,61,       0.004880
1,double,uniform,PoisFFT,"N | N",256,62,       0.004880
1,double,uniform,PoisFFT,"N | N",256,63,       0.004880
1,double,uniform,PoisFFT,"N | N",256,64,       0.004910
1,double,uniform,PoisFFT,"N | N",256,65,       0.004930
1,double,uniform,PoisFFT,"N | N",256,66,       0.004900
1,double,uniform,PoisFFT,"N | N",256,67,       0.004870
1,double,uniform,PoisFFT,"N | N",256,68,       0.004890
1,double,uniform,PoisFFT,"N | N",256,69,       0.004900
1,double,uniform,PoisFFT,"N | N",256,70,       0.004891
1,double,uniform,PoisFFT,"N | N",256,71,       0.005230
1,double,uniform,PoisFFT,"N | N",256,72,       0.004880
1,double,uniform,PoisFFT,"N | N",256,73,       0.004960
1,double,uniform,PoisFFT,"N | N",256,74,       0.004890
1,double,uniform,PoisFFT,"N | N",320,0,       0.008420
1,double,uniform,PoisFFT,"N | N",320,1,       0.007960
1,double,uniform,PoisFFT,"N | N",320,2,       0.007890
1,double,uniform,PoisFFT,"N | N",320,3,       0.007900
1,double,uniform,PoisFFT,"N | N",320,4,       0.007830
1,double,uniform,PoisFFT,"N | N",320,5,       0.007849
1,double,uniform,PoisFFT,"N | N",320,6,       0.007910
1,double,uniform,PoisFFT,"N | N",320,7,       0.007890
1,double,uniform,PoisFFT,"N | N",320,8,       0.007850
1,double,uniform,PoisFFT,"N | N",320,9,       0.007860
1,double,uniform,PoisFFT,"N | N",320,10,       0.007970
1,double,uniform,PoisFFT,"N | N",320,11,       0.007860
1,double,uniform,PoisFFT,"N | N",320,12,       0.007900
1,double,uniform,PoisFFT,"N | N",320,13,       0.007830
1,double,uniform,PoisFFT,"N | N",320,14,       0.007860
1,double,uniform,PoisFFT,"N | N",320,15,       0.007900
1,double,uniform,PoisFFT,"N | N",320,16,       0.007870
1,double,uniform,PoisFFT,"N | N",320,17,       0.007890
1,double,uniform,PoisFFT,"N | N",320,18,       0.007870
1,double,uniform,PoisFFT,"N | N",320,19,       0.007899
1,double,uniform,PoisFFT,"N | N",320,20,       0.007880
1,double,uniform,PoisFFT,"N | N",320,21,       0.007940
1,double,uniform,PoisFFT,"N | N",320,22,       0.007870
1,double,uniform,PoisFFT,"N | N",320,23,       0.007920
1,double,uniform,PoisFFT,"N | N",320,24,       0.007810
1,double,uniform,PoisFFT,"N | N",320,25,       0.007880
1,double,uniform,PoisFFT,"N | N",320,26,       0.007850
1,double,uniform,PoisFFT,"N | N",320,27,       0.007910
1,double,uniform,PoisFFT,"N | N",320,28,       0.007870
1,double,uniform,PoisFFT,"N | N",320,29,       0.007880
1,double,uniform,PoisFFT,"N | N",320,30,       0.007850
1,double,uniform,PoisFFT,"N | N",320,31,       0.007860
