dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,62,      21.867995
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,63,      21.902415
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,64,      22.119043
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,65,      21.902984
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,66,      21.794496
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,67,      21.860135
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,68,      21.894025
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,69,      21.844196
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,70,      21.829905
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,71,      21.809186
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,72,      21.880785
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,73,      21.837906
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,74,      21.823645
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,0,      43.178256
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,1,      42.732880
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,2,      43.172076
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,3,      42.635871
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,4,      42.753080
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,5,      43.383304
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,6,      43.160936
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,7,      43.239595
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,8,      42.713161
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,9,      42.735081
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,10,      43.105686
