dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,70,       5.162408
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,71,       4.758203
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,72,       4.772952
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,73,       4.810672
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,74,       5.192399
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,0,      11.420226
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,1,      11.295487
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,2,      11.280927
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,3,      11.392497
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,4,      11.005610
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,5,      11.304207
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,6,      10.973331
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,7,      10.982991
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,8,      11.132798
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,9,      10.919211
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,10,      10.971830
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,11,      11.139918
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,12,      11.350157
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,13,      11.001790
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,14,      11.094259
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,15,      11.029740
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,16,      11.233308
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,17,      10.895872
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,18,      11.287787
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,19,      10.904781
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,20,      11.248208
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,21,      11.292908
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,22,      10.941710
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,23,      11.023809
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,24,      11.310938
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,25,      11.112909
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,26,      11.334338
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,27,      11.280978
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,28,      11.294928
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,29,      11.145389
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,30,      11.298278
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,31,      11.303997
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,32,      11.289477
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,33,      11.225828
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,34,      11.088050
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,35,      11.008960
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,36,      10.952611
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,37,      11.403746
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,38,      11.345477
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,39,      11.054780
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,40,      11.113859
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,41,      11.277058
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,42,      11.098179
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,43,      10.860521
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,44,      11.057189
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,45,      10.958791
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,46,      11.069210
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,47,      11.012400
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,48,      10.941080
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,49,      10.888342
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,50,      11.313518
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,51,      11.269927
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,52,      11.026261
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,53,      11.013419
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,54,      11.211148
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,55,      11.165558
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,56,      11.382086
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,57,      11.194449
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,58,      11.169538
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,59,      11.144549
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,60,      11.086580
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,61,      10.965381
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,62,      11.003290
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,63,      10.846072
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,64,      11.001311
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,65,      11.316627
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,66,      11.312797
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,67,      11.349657
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,68,      11.043879
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,69,      11.279988
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,70,      11.153369
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,71,      11.027080
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,72,      11.304117
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,73,      11.218719
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",256,74,      11.013541
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,0,      20.534795
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,1,      20.282557
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,2,      20.244818
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,3,      20.671143
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,4,      20.290027
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,5,      20.300437
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,6,      20.475896
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,7,      20.673464
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,8,      20.153179
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,9,      20.570695
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,10,      20.496015
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,11,      20.136699
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,12,      20.134669
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,13,      20.697143
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,14,      20.464996
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,15,      20.764533
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,16,      20.302938
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,17,      20.580804
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,18,      20.611504
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,19,      20.122400
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,20,      20.420766
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,21,      20.361767
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,22,      20.174228
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,23,      20.219519
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,24,      20.248058
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,25,      20.592854
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,26,      20.325667
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,27,      20.496635
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",320,28,      20.712763
